target,target_region,r2_region,rmse_region,finite_ratio_plasma,negative_ratio_plasma,distribution_error_score_mean,shape_corr_mean,peak_location_error_px_mean,center_of_mass_error_px_mean
ne,plasma_only,0.9702172406791348,1.6647690323447434e+17,1.0,0.0,0.1206919827703382,0.981684644937465,45.17607259469457,4.110896139766568
ni,plasma_only,0.9733447770094872,1.5749246339894563e+17,1.0,0.0,0.11854178435469438,0.9811997867001246,57.36759052147121,4.039243669400765
Te,plasma_only,0.9748384425653307,0.22223931208602055,1.0,0.0,0.17461081015974766,0.9182840769692279,66.94925762866717,1.3343793184769135
phi,plasma_only,0.9806374287476698,0.5491329672930563,1.0,0.0002434895868645981,0.053942576342413485,0.9917420865330647,50.12689548781806,1.6530662846088573
Br,all_domain,0.9469266634044443,6.0059294517937994e-05,1.0,0.24783582985401154,0.1271829116320572,0.9788800020597335,82.98270720883961,2.507164007913905
Bz,all_domain,0.7785180185129174,0.00013163741731804396,1.0,0.38714614510536194,0.2449281946139685,0.9201935479736664,58.15545214384448,4.67552066877383
Jelr,plasma_only,0.9514546777604355,20.44238294441878,1.0,0.8345107436180115,0.09982466945342831,0.9827840416064243,17.554167443296414,15.040269703386286
Jelz,plasma_only,0.9384957719161785,30.212660342657117,1.0,0.41531598567962646,0.14211514759048133,0.9762281787082405,112.75714823994718,7.850805245615056
