optimizer_seed,measurement_id,case_id,method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1,3.0,0.125,0.07,3.0,0.125,0.07,0.5628434392461068,0.5628434392461068,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,2,2.952377638231467,0.1379881607004041,0.05643110950204995,3.0,0.125,0.07,0.6103686286378484,0.5628434392461068,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,3,2.828704899870286,0.10072212483785926,0.08289266505455867,2.828704899870286,0.10072212483785926,0.08289266505455867,0.34071017638144363,0.34071017638144363,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,4,4.647774487105887,0.1383378000021553,0.043280846041267036,2.828704899870286,0.10072212483785926,0.08289266505455867,1.274327593559393,0.34071017638144363,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,5,2.5666024324253756,0.11613554134179309,0.06909788023495814,2.5666024324253756,0.11613554134179309,0.06909788023495814,0.3199666854915952,0.3199666854915952,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,6,3.9542355376115337,0.10371267398048528,0.061105807012278496,2.5666024324253756,0.11613554134179309,0.06909788023495814,0.7758235410824712,0.3199666854915952,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,7,4.112534295348555,0.1477826535873767,0.09307126040317734,2.5666024324253756,0.11613554134179309,0.06909788023495814,1.1595228561330233,0.3199666854915952,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,8,2.901093223869884,0.08783219355175235,0.04495687299632324,2.901093223869884,0.08783219355175235,0.04495687299632324,0.274593713777191,0.274593713777191,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,9,2.3795788420822133,0.09678071421895101,0.06129879994475396,2.3795788420822133,0.09678071421895101,0.06129879994475396,0.1333124348684367,0.1333124348684367,True
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,2.2387472079247575,0.11370451182252585,0.08433431077383047,2.3795788420822133,0.09678071421895101,0.06129879994475396,0.1635166727079324,0.1333124348684367,True
