optimizer_seed,measurement_id,case_id,method,final_ratio_to_true_input,hit_ratio_1p10,first_hit_ratio_1p10,hit_ratio_1p00,first_hit_ratio_1p00,last_improvement_trial,profile_truth_rel_l2,fullfield_truth_rel_l2
20260717,M1,case_td003_pa050_pp0_3_gamma_010__steady,random,1.0282945812796638,True,21,False,,21,0.012813366470731492,0.031159168421079134
20260717,M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.9194835457948229,True,28,True,40,66,0.019098855481609285,0.04930740074118601
20260717,M2,case_td016_pp0_1_gamma_007__steady,tpe,0.9460495601056844,True,21,True,23,89,0.012549805054516635,0.03358313867027888
20260717,M2,case_td016_pp0_1_gamma_007__steady,random,0.9983407174559354,True,3,True,8,8,0.015104948977926058,0.03661060005064057
20260717,M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,1.1226435743051835,False,,False,,91,0.021524421672375053,0.023566545930313813
20260717,M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,1.0079711609289366,True,23,False,,44,0.013819071146912814,0.016498542509733597
20260717,M3,case_td030_pa200_pp0_5_gamma_004__steady,random,1.161697382605041,False,,False,,58,0.024968502538269682,0.026439205260057518
20260718,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1.009829644975576,True,53,False,,99,0.016863755958918796,0.04733479542446646
20260718,M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,0.9945909231561102,True,32,True,33,33,0.009805053770636863,0.031353443949382394
20260718,M1,case_td003_pa050_pp0_3_gamma_010__steady,random,1.0898978048167525,True,5,False,,5,0.03323608924794834,0.03954648060842434
20260718,M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.9198567852017843,True,28,True,31,31,0.015276582764906621,0.03880562634354049
20260718,M2,case_td016_pp0_1_gamma_007__steady,tpe,0.9145919461198193,True,24,True,27,74,0.013641598438007826,0.038588477185698446
20260718,M2,case_td016_pp0_1_gamma_007__steady,random,0.9295197701928266,True,62,True,62,62,0.011002786606947939,0.03466289200327798
20260718,M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,1.0201936987988052,True,100,False,,100,0.0141660682653105,0.016972359004676255
20260718,M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,1.002275869806073,True,21,False,,88,0.013681093855928786,0.016659750192882614
20260718,M3,case_td030_pa200_pp0_5_gamma_004__steady,random,1.4608086954584192,False,,False,,85,0.046460166116016985,0.04696754534734332
20260719,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,0.9885067743818968,True,80,True,84,95,0.010482860004690314,0.03139007278293751
20260719,M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,0.9976643605858752,True,11,True,63,63,0.01697937917635247,0.029420757493424612
20260719,M1,case_td003_pa050_pp0_3_gamma_010__steady,random,1.01591354172274,True,44,False,,44,0.01703384866440108,0.04990774783044081
20260719,M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.9556387003608404,True,37,True,37,85,0.01271878449077221,0.03265267214124958
20260719,M2,case_td016_pp0_1_gamma_007__steady,tpe,0.90865314196903,True,16,True,16,94,0.01660508649006983,0.04135708384152741
20260719,M2,case_td016_pp0_1_gamma_007__steady,random,1.1477736249712231,False,,False,,80,0.046709992799140704,0.0819586124612377
20260719,M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,1.1371114731686478,False,,False,,100,0.02324832936337485,0.024951701497673062
20260719,M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,1.0030111979866432,True,17,False,,70,0.013603953695942165,0.01667231553892336
20260719,M3,case_td030_pa200_pp0_5_gamma_004__steady,random,1.130645468424895,False,,False,,85,0.022259285864693095,0.02438494189479192
