optimizer_seed,measurement_id,case_id,method,final_ratio_to_true_input,hit_ratio_1p10,first_hit_ratio_1p10,hit_ratio_1p00,first_hit_ratio_1p00,last_improvement_trial,profile_truth_rel_l2,fullfield_truth_rel_l2
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1.0317433246524068,True,27,False,,90,0.02248342572433389,0.05527515343843621
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,0.9923360909125183,True,9,True,40,40,0.015238354416079793,0.028249558918335076
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,random,1.0099471692561257,True,24,False,,24,0.018554854957524635,0.047257879130804294
20260715,M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.9172564504428352,True,66,True,76,77,0.017912031980547027,0.04593467756012728
20260715,M2,case_td016_pp0_1_gamma_007__steady,tpe,0.9267778226048698,True,20,True,20,20,0.016405253673906245,0.04347439933466968
20260715,M2,case_td016_pp0_1_gamma_007__steady,random,1.1827199221971327,False,,False,,10,0.04675079049854522,0.06419419188096115
20260715,M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,1.0767192602337332,True,94,False,,99,0.017455083535852758,0.020073419991462647
20260715,M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,1.0251101430498515,True,35,False,,100,0.014040453944108848,0.01725998412118473
20260715,M3,case_td030_pa200_pp0_5_gamma_004__steady,random,1.2396965915468057,False,,False,,83,0.0306357483482342,0.03148456932080937
20260716,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1.0146025185816976,True,35,False,,36,0.01498723313241018,0.045939429066244424
20260716,M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,1.0754044590429297,True,49,False,,49,0.022371123271949348,0.057152636815021016
20260716,M1,case_td003_pa050_pp0_3_gamma_010__steady,random,1.1782443455102292,False,,False,,23,0.04107423983506144,0.09762859884105043
20260716,M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.9466171507906417,True,19,True,38,70,0.027959093081481992,0.06209421232501751
20260716,M2,case_td016_pp0_1_gamma_007__steady,tpe,0.9226741197517406,True,19,True,19,57,0.018813777028375975,0.04188048328283507
20260716,M2,case_td016_pp0_1_gamma_007__steady,random,1.0202567122515416,True,86,False,,86,0.036628346145087094,0.07658952394707279
20260716,M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,1.0452443927385489,True,92,False,,92,0.015648310353645358,0.018495401068672934
20260716,M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,0.9975241313078942,True,32,True,32,32,0.013856819162694939,0.016767806849054944
20260716,M3,case_td030_pa200_pp0_5_gamma_004__steady,random,1.2585963301783136,False,,False,,93,0.03246075998523999,0.03350252705112773
20260717,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1.012570630694433,True,57,False,,93,0.018485725246969044,0.04912374345395456
20260717,M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,1.010794517581243,True,24,False,,66,0.02076177172917292,0.03612760752393064
