method,n_case_seed_runs,ratio_1p10_successes,ratio_1p10_success_rate,ratio_1p10_hit_trial_median,ratio_1p10_hit_trial_q25,ratio_1p10_hit_trial_q75,ratio_1p10_ert_trials,ratio_1p00_successes,ratio_1p00_success_rate,final_ratio_median,final_ratio_q25,final_ratio_q75,truth_profile_error_median,fullfield_truth_error_median,mean_last_improvement_trial_not_speed_metric,successes_at_25,success_rate_at_25,success_rate_at_25_seed_bootstrap_low,success_rate_at_25_seed_bootstrap_high,successes_at_50,success_rate_at_50,success_rate_at_50_seed_bootstrap_low,success_rate_at_50_seed_bootstrap_high,successes_at_100,success_rate_at_100,success_rate_at_100_seed_bootstrap_low,success_rate_at_100_seed_bootstrap_high
cmaes,15,13,0.8666666666666667,53.0,28.0,80.0,70.46153846153847,6,0.4,1.012570630694433,0.951127925575741,1.0384938586954777,0.017455083535852758,0.03880562634354049,81.6,1,0.06666666666666667,0.0,0.2,6,0.4,0.3333333333333333,0.5333333333333333,13,0.8666666666666667,0.7333333333333332,1.0
tpe,15,15,1.0,21.0,18.0,28.0,23.533333333333335,9,0.6,0.9975241313078942,0.9364136913552772,1.0054911794577899,0.014040453944108848,0.031353443949382394,61.266666666666666,11,0.7333333333333333,0.5333333333333333,0.9333333333333332,15,1.0,1.0,1.0,15,1.0,1.0,1.0
random,15,7,0.4666666666666667,24.0,13.0,53.0,149.28571428571428,2,0.13333333333333333,1.130645468424895,1.018085126987141,1.180482133853681,0.0306357483482342,0.03954648060842434,51.13333333333333,4,0.26666666666666666,0.06666666666666667,0.4666666666666667,5,0.3333333333333333,0.13333333333333333,0.5333333333333333,7,0.4666666666666667,0.3333333333333333,0.6
