optimizer_seed,measurement_id,case_id,method,trial,best_loss,true_input_sensor_loss,ratio_to_true_input
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1,0.5628434392461068,0.05425676600499663,10.373700474412228
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,2,0.5628434392461068,0.05425676600499663,10.373700474412228
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,3,0.34071017638144363,0.05425676600499663,6.279588730925592
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,4,0.34071017638144363,0.05425676600499663,6.279588730925592
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,5,0.3199666854915952,0.05425676600499663,5.897267917924351
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,6,0.3199666854915952,0.05425676600499663,5.897267917924351
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,7,0.3199666854915952,0.05425676600499663,5.897267917924351
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,8,0.274593713777191,0.05425676600499663,5.061004073702126
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,9,0.1333124348684367,0.05425676600499663,2.45706562857358
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.1333124348684367,0.05425676600499663,2.45706562857358
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,11,0.1333124348684367,0.05425676600499663,2.45706562857358
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,12,0.1333124348684367,0.05425676600499663,2.45706562857358
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,13,0.1333124348684367,0.05425676600499663,2.45706562857358
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,14,0.1313377709337762,0.05425676600499663,2.4206708324945314
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,15,0.1313377709337762,0.05425676600499663,2.4206708324945314
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,16,0.1313377709337762,0.05425676600499663,2.4206708324945314
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,17,0.1313377709337762,0.05425676600499663,2.4206708324945314
20260715,M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,18,0.1313377709337762,0.05425676600499663,2.4206708324945314
