measurement_id,case_id,Td,truth_PP0,truth_PA,truth_gamma,realized_sensor_noise_rel,initial_sensor_loss,initial_profile_truth_rel_l2,initial_fullfield_truth_rel_l2,truth_input_sensor_loss,truth_input_profile_truth_rel_l2,truth_input_fullfield_truth_rel_l2,method,effective_sampler,loss,PP0,PA,gamma,PP0_abs_error,PA_abs_error,gamma_abs_error,condition_normalized_rmse,profile_sensor_rel_l2,profile_truth_rel_l2,fullfield_truth_rel_l2,wall_s,n_trials,invalid_trials,best_trial,sensor_loss_reduction_fraction,profile_truth_improved,fullfield_truth_improved
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.03,3.0,0.05,0.1,0.051418192385038836,0.5628434392461068,0.5506242146893123,0.49007615650163294,0.05425676600499663,0.013277025640316105,0.024353289677698325,cmaes,cmaes,0.05597905614288291,2.2073311283250456,0.08638198978192002,0.09098237345408536,0.7926688716749544,0.03638198978192002,0.009017626545914648,0.200571946989707,0.05597905614288291,0.02248342572433389,0.05527515343843621,19.49482480000006,100,0,90,0.9005424026655382,True,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.03,3.0,0.05,0.1,0.051418192385038836,0.5628434392461068,0.5506242146893123,0.49007615650163294,0.05425676600499663,0.013277025640316105,0.024353289677698325,tpe,tpe,0.05384094708295357,2.789169591581624,0.05714123702201164,0.07164414554389521,0.21083040841837608,0.007141237022011637,0.028355854456104793,0.2759185288502454,0.05384094708295357,0.015238354416079793,0.028249558918335076,19.30331619999197,100,0,40,0.9043411660708525,True,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.03,3.0,0.05,0.1,0.051418192385038836,0.5628434392461068,0.5506242146893123,0.49007615650163294,0.05425676600499663,0.013277025640316105,0.024353289677698325,random,random,0.05479646723973834,2.3198094321608598,0.07975031411581623,0.07395671852636251,0.6801905678391402,0.02975031411581623,0.026043281473637492,0.29249308669312973,0.05479646723973834,0.018554854957524635,0.047257879130804294,19.60703270000522,100,0,24,0.902643500094565,True,True
M2,case_td016_pp0_1_gamma_007__steady,0.16,1.0,0.1,0.07,0.04555054715632155,1.7278961645927335,1.7504060242044541,1.700202995592583,0.04631699798266529,0.009610722744429192,0.033446358479028486,cmaes,cmaes,0.04248456516474752,1.2799975221888944,0.07064796355404858,0.07141466339862136,0.2799975221888944,0.029352036445951427,0.0014146633986213547,0.12075675247299252,0.04248456516474752,0.017912031980547027,0.04593467756012728,19.408205100000487,100,0,77,0.9754125473304924,True,True
M2,case_td016_pp0_1_gamma_007__steady,0.16,1.0,0.1,0.07,0.04555054715632155,1.7278961645927335,1.7504060242044541,1.700202995592583,0.04631699798266529,0.009610722744429192,0.033446358479028486,tpe,tpe,0.042925566539968686,1.2564943243772737,0.07223493792007159,0.06913233904142271,0.2564943243772737,0.027765062079928418,0.0008676609585772932,0.11340652222404833,0.042925566539968686,0.016405253673906245,0.04347439933466968,19.427520500001265,100,0,20,0.975157322864892,True,True
M2,case_td016_pp0_1_gamma_007__steady,0.16,1.0,0.1,0.07,0.04555054715632155,1.7278961645927335,1.7504060242044541,1.700202995592583,0.04631699798266529,0.009610722744429192,0.033446358479028486,random,random,0.05478003625046264,1.2754587613659063,0.07655947578498729,0.08588348037207641,0.2754587613659063,0.02344052421501272,0.015883480372076403,0.18188078637328342,0.05478003625046264,0.04675079049854522,0.06419419188096115,19.306058699992718,100,0,10,0.968296685082709,True,True
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.3,5.0,0.2,0.04,0.045684609598840104,0.4420755918508906,0.4344063520442718,0.42336713440300755,0.050309085967164796,0.013868441827018938,0.016967188777437192,cmaes,cmaes,0.05416876182560097,4.998370156947426,0.19185455388404482,0.05222588906445677,0.0016298430525738539,0.00814544611595519,0.01222588906445677,0.12174985279946114,0.05416876182560097,0.017455083535852758,0.020073419991462647,19.513221499990323,100,0,99,0.877467196053946,True,True
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.3,5.0,0.2,0.04,0.045684609598840104,0.4420755918508906,0.4344063520442718,0.42336713440300755,0.050309085967164796,0.013868441827018938,0.016967188777437192,tpe,tpe,0.05157235431250758,4.976224416275756,0.19799181005076935,0.04319051952949643,0.02377558372424371,0.00200818994923066,0.0031905195294964286,0.03184431864479023,0.05157235431250758,0.014040453944108848,0.01725998412118473,19.77969640000083,100,0,100,0.883340416745056,True,True
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.3,5.0,0.2,0.04,0.045684609598840104,0.4420755918508906,0.4344063520442718,0.42336713440300755,0.050309085967164796,0.013868441827018938,0.016967188777437192,random,random,0.06236800239732943,4.970192008468853,0.1847568720444675,0.06470201803386721,0.029807991531146882,0.01524312795553251,0.024702018033867214,0.24486694858585978,0.06236800239732943,0.0306357483482342,0.03148456932080937,19.833035200004815,100,0,83,0.8589200499936993,True,True
