method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
cmaes,1,3.0,0.125,0.07,3.0,0.125,0.07,1.7278961645927335,1.7278961645927335,True
cmaes,2,2.6341583421288997,0.09142592607144959,0.09796478780216777,2.6341583421288997,0.09142592607144959,0.09796478780216777,1.0923119127756227,1.0923119127756227,True
cmaes,3,4.374305569951224,0.14981912897870428,0.07071691525881688,2.6341583421288997,0.09142592607144959,0.09796478780216777,2.9634624622768277,1.0923119127756227,True
cmaes,4,3.5621588268666216,0.14960019758147824,0.09813528013779668,2.6341583421288997,0.09142592607144959,0.09796478780216777,2.4067778365077435,1.0923119127756227,True
cmaes,5,2.7973360297757477,0.08649856147847142,0.08307713559540261,2.6341583421288997,0.09142592607144959,0.09796478780216777,1.1421464548497882,1.0923119127756227,True
cmaes,6,2.070791779205593,0.10739867767837752,0.07445027698893164,2.070791779205593,0.10739867767837752,0.07445027698893164,0.8298135991159333,0.8298135991159333,True
cmaes,7,3.499904043136034,0.1823703180026327,0.0766256567720971,2.070791779205593,0.10739867767837752,0.07445027698893164,2.6351778982961114,0.8298135991159333,True
cmaes,8,2.9865245409471624,0.063443736234415,0.0774418642397801,2.070791779205593,0.10739867767837752,0.07445027698893164,0.944108918883487,0.8298135991159333,True
cmaes,9,2.8927804828561356,0.12017356396279145,0.07313309376760915,2.070791779205593,0.10739867767837752,0.07445027698893164,1.5962502695640042,0.8298135991159333,True
cmaes,10,1.247752705377948,0.1749804138951457,0.06687399761326152,1.247752705377948,0.1749804138951457,0.06687399761326152,0.49598065948451897,0.49598065948451897,True
cmaes,11,2.8292905737141476,0.1616137512722541,0.05452487490749634,1.247752705377948,0.1749804138951457,0.06687399761326152,1.9010590698721528,0.49598065948451897,True
cmaes,12,3.2219065715754582,0.13507411961541144,0.07604618502963459,1.247752705377948,0.1749804138951457,0.06687399761326152,2.0022121370085233,0.49598065948451897,True
cmaes,13,2.8791024035713306,0.11809614209932867,0.0622469887716018,1.247752705377948,0.1749804138951457,0.06687399761326152,1.5618017238844015,0.49598065948451897,True
cmaes,14,2.4227351819004617,0.07318758584168049,0.09235041112270163,1.247752705377948,0.1749804138951457,0.06687399761326152,0.7380540172341031,0.49598065948451897,True
cmaes,15,1.7539841049150278,0.15241265300397344,0.07983733296067728,1.247752705377948,0.1749804138951457,0.06687399761326152,0.8613045863582071,0.49598065948451897,True
cmaes,16,1.8269073792311294,0.07056458561208416,0.07691298818557118,1.8269073792311294,0.07056458561208416,0.07691298818557118,0.33251541129672324,0.33251541129672324,True
cmaes,17,3.3246028180190867,0.08806915060531767,0.05906406864084013,1.8269073792311294,0.07056458561208416,0.07691298818557118,1.4953403490176276,0.33251541129672324,True
