trial,PP0,PA,gamma,loss,feasible
1,1.5,0.18,0.045,0.639858934936014,True
2,1.4465366371656074,0.15712649233249576,0.04916092981088375,0.668992079240154,True
3,2.512485196315784,0.1920001846876463,0.07387996052857085,0.4292046632019803,True
4,2.2182212617007,0.1122039625895475,0.058200553704904366,0.593147572250422,True
5,1.6213794896532847,0.18052063219175474,0.04503550943876856,0.6161058117389715,True
6,2.8782668940321563,0.1288683026475997,0.058296837819607095,0.45452065577644246,True
7,1.5913703342621626,0.19758446665920937,0.05848164189780774,0.6088379813816186,True
8,1.2047442099676409,0.1610938429167472,0.045214216543554966,0.7091713161488223,True
9,2.7487694477609343,0.16677409382519712,0.04541520793581161,0.41433181021267274,True
10,2.8358548802044616,0.16116361976942117,0.0571443297250533,0.4062057339949762,True
11,4.432261915208539,0.18286625616318364,0.05203877695522227,0.1245196936034167,True
12,2.593121362070049,0.17900466560598804,0.05888894922120405,0.4278324620007583,True
13,2.3641047280396172,0.13253822396003154,0.05155346670349855,0.5342367726205295,True
14,3.7794660426298092,0.08242768661024888,0.08937447770585047,0.4577760002299897,True
15,2.781585931039607,0.11874495133150749,0.04447483230919192,0.4906990269448646,True
16,2.305725985503114,0.1761252511172906,0.06443853485391608,0.4865306276297664,True
17,3.5095327889331047,0.1924985334045905,0.04319570573820226,0.24615795153467973,True
18,2.5022408604498674,0.1750915149146552,0.05693554314003635,0.4498279339802767,True
19,2.5895400029418103,0.164913457630268,0.05876241827231865,0.4459675416602216,True
20,3.45678005331058,0.09447076985101269,0.08201984874901289,0.4566500122191922,True
21,3.0969917273590246,0.18165107594034613,0.044645726003898545,0.3314826491898531,True
22,3.618277407421455,0.1777721209764297,0.04622956438679721,0.24858853150941493,True
23,3.9293887726018464,0.12624684139890277,0.08541041153237913,0.3075744796218335,True
24,4.181625412551026,0.13252807072746575,0.05236214064648569,0.2603065700888829,True
25,4.834654734524209,0.15274769270244243,0.07796130891110978,0.13689976268848839,True
26,4.5064672128945755,0.17108033601082645,0.04832936654442828,0.13589716530171847,True
27,1.5695278201112695,0.13749975941475906,0.05447747297032479,0.666528299414044,True
28,1.0046777527259585,0.11089151685853471,0.04804922736317047,0.7849893213961187,True
29,3.9780962907341673,0.16528812827476275,0.06297592729411781,0.21466983859082708,True
30,3.060265295798442,0.19766640574685113,0.05691021036325229,0.3186639788437713,True
31,4.855377968900655,0.158702381882253,0.07006714745997603,0.12155394367611638,True
32,4.439464973704664,0.0972976629689834,0.0503711485779163,0.3389754379929295,True
33,3.9311569678293212,0.19239293723043882,0.04226501331315825,0.17950347920999057,True
34,1.996085739723335,0.1886588858014756,0.048106245496666346,0.5353896046930994,True
35,3.9776139782374558,0.1458473417364402,0.0708584716013291,0.253907724473683,True
36,4.393535681793228,0.15112322533911177,0.06160782352169811,0.18955162567304296,True
37,1.897781073591946,0.17360697281782428,0.049043392172370526,0.5686890229603884,True
38,3.0370702935025564,0.19938640151042353,0.04105243361780736,0.3216843245668123,True
39,4.348604412383908,0.1431912466636251,0.05645832708041367,0.2135335403396997,True
40,4.288371707481504,0.11697278714361498,0.07613233182726964,0.29089892757463437,True
41,4.310620386588828,0.18737161574229944,0.05410163639371799,0.13286621898253465,True
42,4.13354463503308,0.15397150785769756,0.07621857956433906,0.21558466706812762,True
43,4.665837676771581,0.16312905288394497,0.06979768865308837,0.13224955079470302,True
44,2.9255890705263714,0.17233718565468126,0.05778339441635623,0.37424003747898255,True
45,3.0760260263909465,0.13496985593741395,0.08935003906785274,0.4102882626480971,True
46,4.027556528253321,0.1736135612228259,0.04682917674507882,0.1937515843265065,True
47,3.2287048562881386,0.169969037803759,0.04469867237398842,0.3246962336268565,True
48,4.823395722358409,0.16922089674118304,0.06156851211184436,0.10377267173564902,True
49,4.924980212026766,0.16699820516870467,0.09609925928027882,0.09794603970612537,True
50,3.365630154663892,0.17712949397384609,0.0581384970999901,0.29043671489671674,True
51,4.02478564314211,0.18299592529192954,0.04389297973117681,0.17924127591202008,True
52,4.664819272942209,0.16725531370066832,0.0524145903291869,0.12474952187733057,True
53,4.928816846989635,0.15853451246495012,0.04457951058241768,0.1155257172941471,True
54,3.953633942966023,0.18003820999772474,0.07534180966305726,0.19283114564496404,True
55,4.513029842084373,0.18503616541732143,0.06407351136488398,0.11082260617377346,True
56,4.793832038508508,0.18324634062432882,0.09879452698165901,0.0828841566878051,True
57,4.376301217567663,0.16257842727419464,0.09261200838487968,0.1670816107864857,True
58,3.492276014318958,0.18760374019139375,0.09900454311532776,0.254122564615682,True
59,4.818123396560614,0.17741617847368268,0.06434062625856117,0.08971212870168362,True
60,4.882064238720288,0.13214958315785374,0.054871502024338555,0.18549820628251307,True
61,2.7850512866818087,0.17721838323909078,0.05076945699994053,0.3939020884588644,True
62,4.867561240420702,0.143393071465163,0.07840623818855219,0.1563612210478238,True
63,3.978001972079535,0.1845949809503804,0.05825110016637745,0.1828135457128573,True
64,4.521136231419493,0.18301555275361542,0.06713549672326957,0.11293409298663319,True
65,3.6011277793302297,0.18213399369887817,0.06209814715717692,0.24423154844248865,True
66,3.6064510853510785,0.16410433362843221,0.08922832858833854,0.27148422879581136,True
67,4.73119893060105,0.17831533616379225,0.0769619032937937,0.09692331803861687,True
68,3.8515710062263464,0.19483508306509512,0.0724288272587324,0.18695378988384173,True
69,3.7041518747171014,0.19794177114407713,0.09355378134489213,0.20603423484293967,True
70,3.4881229239291307,0.19308971630697758,0.06551560894769926,0.24805491731210041,True
71,3.9767391792811253,0.1651020188566918,0.07202723988515024,0.21497539737861102,True
72,3.166947061333709,0.19621569642375258,0.06711590757465734,0.3004953087859463,True
73,4.7943517055801825,0.18257154682827115,0.08646010543870675,0.08363912667684494,True
74,4.293364904794533,0.18708200876128045,0.09363294172691977,0.1347954733030226,True
75,4.522785337763816,0.16820578621932417,0.08717809142794423,0.13840815763733433,True
76,4.635341774147523,0.1833600011956668,0.07693701518500654,0.09913089431169449,True
77,3.8295553835258245,0.19413951844710814,0.053172441935089854,0.19196181716441577,True
78,4.659610966560404,0.18013560011495133,0.09709905083805094,0.10177396401207611,True
79,4.8534895869068855,0.17495711502563954,0.09246698427311216,0.09027183965128437,True
80,4.72716019368127,0.1665967164824183,0.06422406013067053,0.11879501159214947,True
81,4.82651980252297,0.1773696188715156,0.06081453593892656,0.08906007028599931,True
82,4.559340791573243,0.1758094421390533,0.06278932434748308,0.12057423622698026,True
83,4.526423079230809,0.19709799370211395,0.05918915720570564,0.09230349940098491,True
84,4.377442049115011,0.15011176026095227,0.07523941428077194,0.19351590423986736,True
85,4.1783379591849945,0.1928434450034051,0.08794663529055385,0.14182885349364985,True
86,4.355119349833735,0.19082700821710574,0.06701129707750295,0.12152614147328868,True
87,4.524364384675491,0.19577589314455113,0.07808201958854283,0.09377507591439467,True
88,4.447260223830689,0.198405080778018,0.06942481439373265,0.09962192216454228,True
89,4.2414400481724925,0.188778872127226,0.08725713660848747,0.1390905250512563,True
90,4.775815806067721,0.17775745649002767,0.09476162828267179,0.09335100772551115,True
91,4.592685116642459,0.17522227366249848,0.07871692419650914,0.11744559452770263,True
92,4.679882163314423,0.1937240082204187,0.08833122486202664,0.07943835568542916,True
93,4.796189050790224,0.1906795217530622,0.07437908323194042,0.0720080315257643,True
94,4.452909546110888,0.17770837534068712,0.08651545410249784,0.1296178236452102,True
95,4.622694294815789,0.1794093362123249,0.08184979295248568,0.10688660623963092,True
96,4.1559740905934826,0.1951100031614968,0.07191778889206057,0.14197568775875014,True
97,4.921368958375914,0.1700487980784292,0.07641053582224892,0.09229712181290607,True
98,4.539466623905233,0.1917691691281071,0.07414166512398412,0.09754448211410573,True
99,4.708093261872266,0.1868707730926974,0.07408081394903701,0.08601635356208061,True
100,4.6170359542283865,0.19576309716901963,0.08005207538478985,0.08340907818426795,True
101,4.519642716372723,0.1868920763061246,0.07354475982062969,0.10696705279045088,True
102,4.477834044567313,0.18765291826415048,0.0796938764451583,0.11072317989005652,True
103,4.927270960435271,0.19864817666292695,0.09506245769041471,0.05317866165043537,True
104,4.920107059045419,0.1882329494896528,0.09339148243576481,0.06436979638169148,True
105,4.863309890420443,0.17715410319478275,0.07863420164512352,0.0854884899277999,True
106,4.675716068622378,0.18687478471361396,0.08100853573806067,0.08936714407454299,True
107,4.201165993332337,0.19602267597359918,0.060367652657876164,0.1348951205668758,True
108,4.8148939320713,0.18514926605070253,0.08163220681688765,0.07777623266177029,True
109,4.5905320154927205,0.18754811867474586,0.09091249209896181,0.0977655006582944,True
110,4.569985713170073,0.19728139303978182,0.09046877843444735,0.08663354506880455,True
111,4.694482677530118,0.17756396881443182,0.07901230013524858,0.10209087330754962,True
112,4.99152616088756,0.17470059187347736,0.09543879817904027,0.07793926353437826,True
113,4.42128095580032,0.1969802785553924,0.09310901623438982,0.10449770521745647,True
114,4.995132275045889,0.19398640224888092,0.08270570875409528,0.05289252647112797,True
115,4.634683976932331,0.1824422479971734,0.09334336951624156,0.10071403541544795,True
116,4.280358402332469,0.19508683809926314,0.08529657093486087,0.12498135087882009,True
117,4.712263785772234,0.1714892289246147,0.06870527790276837,0.11102022994788698,True
118,4.420419337841229,0.19669763315065592,0.07719362722169469,0.10498225122099787,True
119,4.7149395746096,0.19282354762748977,0.07179765905646329,0.07712953981252996,True
120,4.998235500825299,0.18313828233196955,0.09098951382310555,0.06464573831005778,True
121,4.929043276074771,0.18338107994160424,0.08714404344259855,0.06994717594107823,True
122,4.631632039903571,0.19077372977579204,0.07964268140381339,0.08853023072596293,True
123,4.95686053808081,0.190582841220717,0.08511683037158681,0.05870695186921564,True
124,4.976163164336263,0.19174254966107152,0.07558140517094772,0.05615021342490133,True
125,4.801555544758747,0.18224857748642054,0.09339198414563954,0.08351900514210184,True
126,4.877275215081037,0.17335467763230816,0.07640597823855158,0.090612911977143,True
127,4.587883731980874,0.18547448920293436,0.06802421073190801,0.10134289548389727,True
128,4.9673474562649975,0.1930803123628445,0.08259749913087269,0.05542218193874313,True
129,4.946382871609911,0.16961084978934582,0.07355492774842418,0.09074863007316772,True
130,4.839472881587241,0.1998045599726156,0.08606707450690756,0.05800884411601973,True
131,4.919083318108363,0.18427908214341393,0.08572140352504293,0.06953891680288635,True
132,4.872822851591735,0.19032721160701072,0.08310547310204557,0.06559031729587356,True
133,4.995145969950186,0.19192136969504114,0.0989973898765524,0.05496864970436097,True
134,4.816550124688728,0.19488467950610056,0.09401401183201902,0.06509771353016916,True
135,4.801725143841052,0.1877932919497573,0.06358207073472388,0.07556680116206962,True
136,4.646950436778557,0.18851477918191778,0.07738609063916929,0.09009311704833965,True
137,4.889654496237517,0.1969494938836861,0.0747153570486497,0.05705508582513775,True
138,4.763344344245173,0.19716372489245293,0.07144979031065213,0.06718437716623699,True
139,4.832053966465654,0.1974996549275777,0.0976382530798542,0.06102098914150806,True
140,4.949065773037368,0.19181424009867976,0.08700642639712104,0.057965673599835545,True
141,4.930205650648761,0.1970798745291384,0.08476855068780834,0.054189638737858516,True
142,4.934069783436685,0.1881954146609659,0.07583378369419186,0.06318720395126942,True
143,4.793705209734973,0.19403880034269483,0.0969607232338208,0.06816093285586437,True
