bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_floor_penalty,objective_density_ratio,objective_main,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.6956991075389474,11.581841468811035,6.24011009378878,0.32598899062112197,0.6204521666201932,6.860562260408973,0.2076348640578676,0.02231511101126671,2613.4032236978405,0.01858783911753423,1.0577445473656921,5.655157008433588,3.472319766657085,3.0,6.71290155579928,3.7195357084941474,23.858240375891985,2.140822495468042,0,6.860562260408973,ood:cond:pp:2613.4 outside [505.725,2097.14]
0.0,0.8634354131812828,13.523659706115723,0.9714525432933485,0.8528547456706651,0.22582229524269062,1.1972748385360392,0.1985977578698181,0.030168814584612846,2030.4593406433778,0.07429009780916818,0.5152896565967116,4.1527770468566185,3.016163655170557,3.0,4.66806670345333,6.833166836511441,20.83736694687143,4.988818404614882,1,1.1972748385360392,
0.0,0.7867103753861213,28.88359260559082,8.42247969524265,0.10775203047573491,2.879482211155692,11.301961906398342,0.35247978213315906,0.02654184401035309,2581.656995771844,0.006565195331627712,1.0675398131484446,3.866316712606106,4.437360548180414,4.0,4.933856525754551,2.055412636114146,21.790838739132347,0.8246110676319784,2,11.301961906398342,ood:cond:pp:2581.66 outside [505.725,2097.14]
0.0,0.7236486963113676,8.641961097717285,3.6975521792289365,0.5802447820771063,0.439305575992782,4.136857755221719,0.28027057085019774,0.027123913168907166,1657.8817493048532,0.05789321806526683,0.9519092238371517,1.6301352578372077,5.679102720433051,6.0,2.5820444816743593,8.51939365495326,24.011660544999415,1.0158077823091538,3,4.136857755221719,
0.0,0.761815211116153,10.174603462219238,1.6404401429905047,0.7859559857009495,0.2655080678053116,1.9059482107958163,0.21830135970630266,0.02969413436949253,1399.4150508216196,0.08645343964792208,0.8488155545829247,1.7915690814542091,5.964262488165591,6.0,2.6403846360371337,6.526150716060495,22.3684585322833,3.2934865252559042,4,1.9059482107958163,
0.0,0.7315391252800467,9.9966402053833,3.648054687724771,0.5851945312275229,0.3903708591175858,4.038425546842356,0.24122190015965075,0.02790648117661476,2152.378114709005,0.05282107151738755,0.779092971659151,3.360779340217353,4.519672787338006,5.0,4.139872311876504,5.833526589384837,26.532888148767352,2.7112013854441304,5,4.038425546842356,ood:cond:pp:2152.38 outside [505.725,2097.14]
0.0,0.7987294137425285,9.647894859313965,3.50711898708153,0.599288101291847,0.3274341719237666,3.8345531590052966,0.20200749721718594,0.026856625452637672,808.034443601717,0.09097447585084681,0.5172132603875571,6.16931715094267,3.2430425155748397,3.0,6.686530411330227,3.3709084914166088,23.43049972540729,3.0875736731245498,6,3.8345531590052966,
0.0,0.7144920408176799,9.846990585327148,1.9743017878222946,0.7525698212177705,0.26885453045145125,2.243156318273746,0.2070921101980336,0.029047612100839615,1879.553502435253,0.07232588739955495,0.9894537339227958,3.1499151836886456,5.365991992433937,5.0,4.139368917611441,4.783605637029907,25.480450225087115,2.5221964539789936,7,2.243156318273746,
0.0,0.9675750809529141,13.64686107635498,8.655341872579346,0.08446581274206537,2.942018085935386,11.597359958514732,0.25026777836292474,0.026348792016506195,560.7334536078225,0.02507427280779568,0.5836572359774456,6.376136267660048,2.995279163448616,3.0,6.959793503637493,2.052702417481253,22.932082928393733,1.8694362648120162,8,11.597359958514732,
0.0,0.79012436914561,12.343626976013184,0.0,0.9943133391811696,0.1980121871243818,0.1980121871243818,0.2006883680049399,0.029726993292570114,2118.9502136465594,0.08468052867406536,0.9154901010574061,2.314339529287418,4.526673930189853,5.0,3.229829630344824,6.158122776537513,22.307270928261634,0.9946252621709012,9,0.1980121871243818,ood:cond:pp:2118.95 outside [505.725,2097.14]
