path,dataset_targets,dataset_target_sources,dataset_target_value_transforms,preprocessing_target_transforms,runtime_input_mode,eval_target_vars_for_score,model_name_if_inferred,notes
configs/benchmarkrun_ext0520/templates/benchmark_ext0520_unetpp_attn.yaml,ne;ni;Te;phi,log_ne;log_ni;Te;phi,pow10;pow10;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unetpp_attn;unetpp;unet,
configs/experimental/dual_input_modes/table_only_deeponet_pod.yaml,,,,,table_only,,deeponet_pod;deeponet,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_only_global_mlp.yaml,,,,,table_only,,global_mlp,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_cno_part_lite.yaml,,,,,table_plus_structure,,cno,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_coord_mlp_fourier_part_lite.yaml,,,,,table_plus_structure,,coord_mlp_fourier;coord_mlp,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_deeponet_pod_descriptor.yaml,,,,,table_plus_structure,,deeponet_pod;deeponet,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_ffno_part_lite.yaml,,,,,table_plus_structure,,ffno;fno,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_geom_deeponet_siren_part_lite.yaml,,,,,table_plus_structure,,deeponet,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/dual_input_modes/table_plus_structure_u_no_part_lite.yaml,,,,,table_plus_structure,,u_no,dataset.targets missing;preprocessing.scalers.target_transforms missing;eval target_vars_for_score missing
configs/experimental/icp_stage4/conference_structure_feature_study.yaml,,,,,,,cno_operator_unet;ffno;unet;fno;cno,dataset.targets missing;preprocessing.scalers.target_transforms missing;runtime.input_mode missing;eval target_vars_for_score missing
configs/experimental/icp_stage4/generated/full/benchmark_icp_stage4_core4_full_cno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet;cno,
