bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_boundary_penalty,objective_density_floor_penalty,objective_density_ratio,objective_main,objective_negative_penalty,objective_physics_penalty,objective_total,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.870469721966983,19.687936782836914,0.08704697219669831,0.0,0.9751681475943592,0.43420097385780904,0.0,0.0013604986481368542,0.5226084447026442,0.027209972962737083,2823.804,0.08349,1.0577445473656921,5.655157008433588,3.472319766657085,3.0,6.71290155579928,3.7195357084941474,23.858240375891985,2.140822495468042,0,0.5226084447026442,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.906688177442269,22.917572021484375,0.09066881774422691,0.1970186128014495,0.930298138719855,0.47056985806134904,0.0,0.001295603159815073,0.7595528917668406,0.02591206319630146,2823.804,0.08349,0.5152896565967116,4.1527770468566185,3.016163655170557,3.0,4.66806670345333,6.833166836511441,20.83736694687143,4.988818404614882,1,0.7595528917668406,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8894120015483231,21.80863380432129,0.08894120015483231,0.0,1.0002113519672853,0.46286419301768583,0.0,0.0013054933398962021,0.5531108865124144,0.026109866797924042,2823.804,0.08349,1.0675398131484446,3.866316712606106,4.437360548180414,4.0,4.933856525754551,2.055412636114146,21.790838739132347,0.8246110676319784,2,0.5531108865124144,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8167870061935257,15.241177558898926,0.08167870061935258,0.0,1.002357862380476,0.42021857282287817,0.0,0.0013041537255048753,0.5032014271677356,0.026083074510097504,2823.804,0.08349,0.9519092238371517,1.6301352578372077,5.679102720433051,6.0,2.5820444816743593,8.51939365495326,24.011660544999415,1.0158077823091538,3,0.5032014271677356,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8237857003120219,20.573389053344727,0.08237857003120219,0.0,0.955109760517983,0.44607011755625137,0.0,0.0012773190625011922,0.5297260066499547,0.025546381250023842,2823.804,0.08349,0.8488155545829247,1.7915690814542091,5.964262488165591,6.0,2.6403846360371337,6.526150716060495,22.3684585322833,3.2934865252559042,4,0.5297260066499547,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8174580035615219,16.207374572753906,0.0817458003561522,0.0,0.9618813070667052,0.37464186144780315,0.0,0.0013652224093675615,0.4577528842133229,0.027304448187351227,2823.804,0.08349,0.779092971659151,3.360779340217353,4.519672787338006,5.0,4.139872311876504,5.833526589384837,26.532888148767352,2.7112013854441304,5,0.4577528842133229,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8837888583471241,20.997699737548828,0.08837888583471241,0.0,0.9571938917228732,0.45082464312281134,0.0,0.0013377590104937554,0.5405412879680175,0.026755180209875107,2823.804,0.08349,0.5172132603875571,6.16931715094267,3.2430425155748397,3.0,6.686530411330227,3.3709084914166088,23.43049972540729,3.0875736731245498,6,0.5405412879680175,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8170025907382681,17.00047492980957,0.08170025907382682,0.0,0.9658378405655973,0.3905507010985127,0.0,0.001382642798125744,0.47363360297046525,0.027652855962514877,2823.804,0.08349,0.9894537339227958,3.1499151836886456,5.365991992433937,5.0,4.139368917611441,4.783605637029907,25.480450225087115,2.5221964539789936,7,0.47363360297046525,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.873227356568653,21.02046775817871,0.08732273565686531,0.0,0.977393249763171,0.4650407093767456,0.0,0.0012955148704349995,0.5536589599040459,0.02591029740869999,2823.804,0.08349,0.5836572359774456,6.376136267660048,2.995279163448616,3.0,6.959793503637493,2.052702417481253,22.932082928393733,1.8694362648120162,8,0.5536589599040459,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.851015670453137,18.793914794921875,0.0851015670453137,0.0,1.0058148285597097,0.4293385686814407,0.0,0.0013272731564939024,0.5157674088832483,0.026545463129878044,2823.804,0.08349,0.9154901010574061,2.314339529287418,4.526673930189853,5.0,3.229829630344824,6.158122776537513,22.307270928261634,0.9946252621709012,9,0.5157674088832483,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8092024512106605,14.7814302444458,0.08092024512106605,0.0,0.9948706884139442,0.3682376840953257,0.0,0.001323782652616501,0.45048171186900826,0.026475653052330017,2823.804,0.08349,1.0932773814789916,2.580894400456004,4.797288230171307,5.0,3.6741717819349957,7.841794003164031,26.21265291283901,1.2214445575637711,10,0.45048171186900826,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8996679595920284,22.777172088623047,0.08996679595920284,0.0,0.9611327642381329,0.48585765474034487,0.0,0.001237579993903637,0.5770620306934513,0.02475159987807274,2823.804,0.08349,0.5111123046850858,4.565306812370333,3.1820182363465275,3.0,5.076419117055419,4.874146319113957,20.103403670280215,2.8108370146147275,11,0.5770620306934513,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8317495442861679,22.404573440551758,0.08317495442861679,0.12839367909535215,0.9371606320904647,0.4488572625288087,0.0,0.0012749729678034783,0.6617008690205811,0.025499459356069565,2823.804,0.08349,0.7492314950977337,2.100507103541128,5.617143237077062,6.0,2.8497385986388615,5.506108685431379,22.604540277264547,4.3134248076553385,12,0.6617008690205811,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8227050156661604,17.36359405517578,0.08227050156661604,0.23674280257451108,0.9263257197425488,0.38363925761038903,0.0,0.001450568623840809,0.7041031303753569,0.029011372476816177,2823.804,0.08349,1.4038509374768768,4.565944546774669,4.17991020021358,4.0,5.969795484251546,3.2600961894860108,27.139278126492194,4.677538240852698,13,0.7041031303753569,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8364719903076713,16.485488891601562,0.08364719903076713,0.0,0.9643124927414131,0.40838486891409737,0.0,0.001362666953355074,0.49339473489821956,0.02725333906710148,2823.804,0.08349,1.3742693156268353,4.118647501909308,2.6245133302384667,3.0,5.492916817536144,8.259683112423044,24.738433565031475,2.762942339041264,14,0.49339473489821956,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.7999002796614362,14.209898948669434,0.07999002796614363,0.0,1.0045450709554615,0.3520567491428692,0.0,0.0013242676854133607,0.43337104479442623,0.026485353708267212,2823.804,0.08349,0.6339331171426752,4.543811448952614,3.65906350251063,4.0,5.1777445660952885,7.406231972276549,28.117210236657705,0.8036035711619183,15,0.43337104479442623,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8468302062443238,17.22679328918457,0.08468302062443239,0.0,0.9950024441834942,0.4114919839554452,0.0,0.0013574191369116308,0.4975324237167892,0.027148382738232613,2823.804,0.08349,0.577758051776523,4.134270383087946,4.077828456303036,4.0,4.712028434864469,5.590416798420411,24.438530537878286,1.3377450446707022,16,0.4975324237167892,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8102103327347703,14.994369506835938,0.08102103327347704,0.0,0.9770555752230874,0.35313958212519275,0.0,0.0013238350860774518,0.43548445048474727,0.026476701721549034,2823.804,0.08349,0.8422851877813836,3.139178460671022,5.435361299687102,5.0,3.9814636484524057,7.616501704562703,27.52381994682473,2.0132586959468766,17,0.43548445048474727,ood:cond:pp:2823.8 outside [505.725,2097.14]
