method,n_measurements,trials_per_measurement,best_trials_total,surrogate_search_s,direct_fixed_budget_mean_est_s,direct_fixed_budget_median_est_s,direct_oracle_best_mean_est_s,direct_oracle_best_median_est_s,surrogate_65_build_s,surrogate_78_benchmark_s,surrogate_65_build_plus_3_validation_s,fixed_budget_speedup_65_build,fixed_budget_speedup_existing_model
cmaes,3,100,266,58.41625139999087,85051.26805555556,39588.9,76037.85195833334,35486.371,18696.676909000005,22991.117908999997,19547.18958955556,4.549004535378931,1455.952171137925
tpe,3,100,160,58.51053309999406,85051.26805555556,39588.9,49318.45361111111,22778.9,18696.77119070001,22991.2121907,19547.283871255564,4.548981596237378,1453.6061038822459
random,3,100,117,58.74612660000275,85051.26805555556,39588.9,37043.64099074074,17000.533,18697.006784200017,22991.44778420001,19547.519464755573,4.548924276340771,1447.7766106123424
