measurement_id,case_id,method,budget,best_loss
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.1333124348684367
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.06937669275740423
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,0.059356573181031574
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,100,0.05597905614288291
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,10,0.05605447881840917
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,25,0.05469950113920545
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,50,0.05384094708295357
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,100,0.05384094708295357
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,10,0.10647037972045617
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,25,0.05479646723973834
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,50,0.05479646723973834
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,100,0.05479646723973834
M2,case_td016_pp0_1_gamma_007__steady,cmaes,10,0.9632733638257763
M2,case_td016_pp0_1_gamma_007__steady,cmaes,25,0.10852981087922113
M2,case_td016_pp0_1_gamma_007__steady,cmaes,50,0.051448220751216106
M2,case_td016_pp0_1_gamma_007__steady,cmaes,100,0.04248456516474752
M2,case_td016_pp0_1_gamma_007__steady,tpe,10,0.7819972539568237
M2,case_td016_pp0_1_gamma_007__steady,tpe,25,0.042925566539968686
M2,case_td016_pp0_1_gamma_007__steady,tpe,50,0.042925566539968686
M2,case_td016_pp0_1_gamma_007__steady,tpe,100,0.042925566539968686
M2,case_td016_pp0_1_gamma_007__steady,random,10,0.05478003625046264
M2,case_td016_pp0_1_gamma_007__steady,random,25,0.05478003625046264
M2,case_td016_pp0_1_gamma_007__steady,random,50,0.05478003625046264
M2,case_td016_pp0_1_gamma_007__steady,random,100,0.05478003625046264
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,10,0.1911148954443264
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,25,0.12822948862302705
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,50,0.12285482814488999
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,100,0.05416876182560097
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,10,0.23021228986192166
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,25,0.06937956819124684
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,50,0.052000553461212025
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,100,0.05157235431250758
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,10,0.15258513696261697
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,25,0.15258513696261697
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,50,0.10960780317952734
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,100,0.06236800239732943
