measurement_id,case_id,method,trial,best_loss,ratio_to_true_input,relative_regret
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1,0.5628434392461068,10.373700474412228,9.453817581977622
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,2,0.5628434392461068,10.373700474412228,9.453817581977622
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,3,0.34071017638144363,6.279588730925592,5.328086611413173
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,4,0.34071017638144363,6.279588730925592,5.328086611413173
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,5,0.3199666854915952,5.897267917924351,4.942813097225382
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,6,0.3199666854915952,5.897267917924351,4.942813097225382
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,7,0.3199666854915952,5.897267917924351,4.942813097225382
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,8,0.274593713777191,5.061004073702126,4.100090705204726
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,9,0.1333124348684367,2.45706562857358,1.4760417877315604
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.1333124348684367,2.45706562857358,1.4760417877315604
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,11,0.1333124348684367,2.45706562857358,1.4760417877315604
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,12,0.1333124348684367,2.45706562857358,1.4760417877315604
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,13,0.1333124348684367,2.45706562857358,1.4760417877315604
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,14,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,15,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,16,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,17,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,18,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,19,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,20,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,21,0.1313377709337762,2.4206708324945314,1.4393659110680592
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,22,0.11485457591430599,2.1168710258869607,1.1332198287178676
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,23,0.06937669275740423,1.2786735713480446,0.28854889291814456
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,24,0.06937669275740423,1.2786735713480446,0.28854889291814456
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.06937669275740423,1.2786735713480446,0.28854889291814456
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,26,0.06937669275740423,1.2786735713480446,0.28854889291814456
