method,n_measurements,mean_sensor_loss,max_sensor_loss,mean_profile_truth_rel_l2,max_profile_truth_rel_l2,mean_fullfield_truth_rel_l2,max_fullfield_truth_rel_l2,mean_condition_normalized_rmse,mean_last_improvement_trial,mean_final_relative_regret,true_input_1p10_success_cases,true_input_1p10_median_hit_trial,true_input_1p00_success_cases,true_input_1p00_median_hit_trial,regret_10pct_success_cases,regret_10pct_median_hit_trial,profile_truth_improved_cases,fullfield_truth_improved_cases,optimizer_wall_s,invalid_trials
cmaes,3,0.05087746104441047,0.05597905614288291,0.019283513746911226,0.02248342572433389,0.040427750330008706,0.05527515343843621,0.14769285075405356,88.66666666666667,0.030018842668579532,3,66.0,1,76.0,3,80.0,3,3,58.41625139999087,0
tpe,3,0.04944628931180994,0.05384094708295357,0.015228020678031627,0.016405253673906245,0.029661314124729832,0.04347439933466968,0.14038978990636133,53.333333333333336,0.0034600909256576884,3,20.0,2,30.0,3,20.0,3,3,58.51053309999406,0
random,3,0.05731483529584347,0.06236800239732943,0.03198046460143469,0.04675079049854522,0.04764554677752494,0.06419419188096115,0.23974694055075765,39.0,0.1721625123694063,1,24.0,0,,1,24.0,3,3,58.74612660000275,0
