bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,part.coil_01.scale_x,part.coil_01.scale_y,part.coil_01.tx,part.coil_01.ty,part.coil_02.scale_x,part.coil_02.scale_y,part.coil_02.tx,part.coil_02.ty,part.coil_03.scale_x,part.coil_03.scale_y,part.coil_03.tx,part.coil_03.ty,part.coil_04.scale_x,part.coil_04.scale_y,part.coil_04.tx,part.coil_04.ty,part.coil_05.scale_x,part.coil_05.scale_y,part.coil_05.tx,part.coil_05.ty,part.coil_06.scale_x,part.coil_06.scale_y,part.coil_06.tx,part.coil_06.ty,poisson_residual_norm,pp,pp0,trial,value,warnings
0.0,0.648641398665368,10.251907348632812,1.0115489094731385,0.9736159883328543,-0.011402321457529263,-0.004567038496432061,0.9856328998187217,1.0222686216997963,0.009455434820531461,-0.019388413736131538,0.9508081827585279,1.0208291709127861,-0.016650532212514273,0.019910547236919058,1.0664692249001408,0.907355471533465,0.002701592525937782,0.004373605481804141,0.9013853159028536,0.9358167747826469,-0.013403111458944173,-0.0015216836186454329,1.0134007232454585,0.9903818447674304,0.016791027204330514,0.012596968274766304,0.13494402170181274,2823.804,0.08349,0,0.7828235119682979,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6470507118862425,10.314408302307129,0.971665107703072,1.0724070072474734,-0.0060473778166830125,0.01964262488165591,1.0131537679015123,0.9473691706456661,0.006347892202047234,0.006409060435825332,1.0029215146427577,0.9558185943318303,0.0051967278733800575,-0.0008323670530758151,1.030657762975347,1.0084480554177653,-0.01515155420708669,0.01634952103253866,0.9034426520775114,0.962152125778742,-0.013145457542916957,-0.006278001098370841,1.0235029469249821,1.010167465221367,0.008643811164644008,-0.00042185064308816744,0.1343100517988205,2823.804,0.08349,1,0.7859957318321475,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6544695225366973,10.144018173217773,1.0096090045017423,1.0008878581591598,-0.01911777315887991,-0.01088084260658829,0.9167314471954892,0.9497639581724309,-0.019736487912593734,-0.008271668286425076,0.9747774505924807,1.0293647149579472,0.013748823880858383,-0.0033803959577037544,1.0263336965094927,1.003953069413438,-0.010770916286953463,-0.012042997902632791,0.9904574484936357,1.0588726890634752,0.0037310952591596627,0.007972882301713068,1.0460448500791009,1.0242530582567804,-0.010228443539489832,-0.002331858740425973,0.13620220124721527,2823.804,0.08349,2,0.7919872909090998,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6477553676185922,10.230965614318848,0.9591009118173264,0.971853657977849,-0.019586385318879143,0.0024866961169178227,1.0097805170652132,0.9178967174745885,-0.010030740196090652,0.016171432370770632,0.9876527171357845,0.9520908055452909,0.014507398461242712,-0.0017731374125991503,1.0250697065625662,1.0807701874953755,0.0017991020021358023,-0.013699519052569945,1.042785562529844,1.087101529634108,-0.003266964715199626,0.006469714724503601,1.0748538631253672,0.9312256665119234,0.011298415562115225,-0.0010462657398741006,0.1340867131948471,2823.804,0.08349,3,0.7829543515824846,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6496057317194343,10.214436531066895,1.0626307979379517,0.926786623428535,-0.0034093649748936986,0.007031159861382745,1.0623442047331542,0.9321441428464767,0.008050210477673937,0.0007567684893529866,0.9155516103553046,1.0038914228151519,-0.0020479160078979465,-0.0022458778484868575,0.9535098017868281,0.9730422387589502,0.010475051372675775,-0.006308592488744656,1.0717680649843553,1.0404125426140676,0.010095279787298916,-0.003893930432424985,0.9345448050960399,0.9019344071704739,-0.003718263525807869,-0.0013727442087410162,0.13486626744270325,2823.804,0.08349,4,0.7808842730870128,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6427278816544791,10.303328514099121,0.9086852444852417,1.0755244188319268,-0.004365736348280098,0.014704251501850122,1.0665876881414804,1.0149297609278338,0.014569356928959939,0.018073641110445345,1.0274183221635589,0.9005606850532248,0.005638907829414425,-0.00026655181162583627,1.0581434169882482,0.9718259298535363,0.007737881323350945,-0.005395834421030799,1.0168009902261383,0.9903367876084395,-0.011570050330871386,-0.007187565045000333,0.9127593534086419,1.024734896012555,0.01569024862931898,0.003818916483766078,0.13324420154094696,2823.804,0.08349,5,0.7780831019033189,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6506476746986877,10.267154693603516,0.9519753040103364,0.976704583019986,-0.01989915773906563,0.018360702035668617,1.0045843364487506,1.0143023577345616,-0.016211578304333073,-0.01472910476908565,1.0764391559034272,1.069180974289171,0.0069458739350632785,0.007797346139714282,1.08630276017925,1.035266733947211,0.004060366457758965,-0.01406226262087652,0.9458934442433747,0.9438217613192246,-0.018254602584109884,-0.0034491758277394313,0.9091921918146688,1.081668268557077,0.004918777300802483,-0.006658398512228159,0.13653481006622314,2823.804,0.08349,6,0.7791728811811066,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6476084045392053,10.293724060058594,1.0796685886098378,1.0989670416204231,-0.016637428076369913,-0.0021890257936147614,1.0946322662517793,1.0174274697482322,0.012028502276882496,-0.004595870658946536,1.0749698485576218,1.0929603806526627,-0.009260995729946875,-0.00664563664246931,0.983707152757464,1.0925360187829145,-0.0173159152277171,0.004274092394739307,1.0150591663273116,1.0533541610413155,-0.016839282808172054,-0.013639615230710365,1.0582569163995754,1.089059619375419,0.001574045605097038,0.0006012268997526195,0.13517926633358002,2823.804,0.08349,7,0.7851905326551324,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6488064439232122,10.261343002319336,1.0654598592931714,0.9049495280283948,0.005164506900434591,0.013682268329057588,0.9256319661611783,0.9721113616319942,-0.00906131193413319,0.011061572749547426,0.9357890385605984,0.9798635394735049,0.0033344686985810647,-0.01844147006568515,0.975082527828958,0.9352093766717339,-0.00927915321634322,-0.013197562086144199,0.9780120266844795,0.9079374665007205,-0.010203779752745197,-0.011374417058146182,1.0356675046750394,1.0376460401427472,-0.0036105459867030038,-0.015723528254553587,0.1345473974943161,2823.804,0.08349,8,0.7876768025347269,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6494581203553138,10.126320838928223,1.00346283896778,0.9759171405573077,-0.00921270663882729,-0.019255750304472855,0.9259946005408192,0.9280582462517933,-0.00765765764207715,-0.009134363905982816,0.9862477781369803,1.072937943581718,0.016778813323117734,-0.004381935741432601,1.01307462631965,1.0874197741587779,0.00696859729940583,-0.018092936586730123,0.9848500445222199,1.054543278739699,-0.004207392325592512,0.017508511843142147,0.9444607334215566,1.0552197916287438,0.006754854963891242,0.006740394346695787,0.13507333397865295,2823.804,0.08349,9,0.786668615968333,ood:cond:pp:2823.8 outside [505.725,2097.14]
