model_id,model_label,family,learning_seed,test_case_count,run_root,value_error_ne_pct,gradient_error_ne_pct,test_r2_ne_plasma,value_error_ni_pct,gradient_error_ni_pct,test_r2_ni_plasma,value_error_Te_pct,gradient_error_Te_pct,test_r2_Te_plasma,value_error_phi_pct,gradient_error_phi_pct,test_r2_phi_plasma,mean_value_error_pct,mean_gradient_error_pct
global_mlp,Global MLP,Neural network,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,19.535142402433657,38.0554867778483,0.9450372885969242,18.925653485718446,40.64136016327048,0.9444782456192152,27.103313903728786,67.2159011371446,0.8951866489513016,11.808940450038355,29.79088111321499,0.9519513128461373,19.34326256047981,43.92590729786959
global_resmlp,ResMLP,Neural network,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_resmlp,3.7490718482350958,8.61187375273085,0.9983304691267039,3.64705149491077,11.361477422876014,0.9982959880014216,6.4676531975341875,22.281936130252152,0.9956873668543125,2.5119830542182644,5.129354415981164,0.9989017734616962,4.09393989872458,11.846160430460044
global_densemlp,DenseMLP,Neural network,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_densemlp,4.228927176948572,7.663349199825239,0.9963965838268503,4.131840332869613,9.53890984701243,0.9963356651402826,5.95626285025941,18.77986975633925,0.9943754295007133,3.4430226134841257,5.822128576730066,0.9973207048771644,4.44001324339043,10.451064344976746
unet,U-Net,Neural network,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/unet,4.009784201321604,31.075732168832033,0.9986152493763295,3.6139140500053464,32.179259692279096,0.998639427880442,3.56081792574956,22.207525553697575,0.997748358244123,2.3452869352075143,11.006499537752457,0.9991917541047425,3.3824507780710062,24.11725423814029
unetpp,U-Net++,Neural network,412,13,runs/gec_ccp_nn_operator_comparison_v2_single_run_additions/seed_412/n78/unetpp,6.314614933177484,37.614497017553525,0.9968526912782992,6.093017235590175,40.58848136850531,0.9966808049538264,4.5650920940154425,26.265710233373834,0.9955102167739258,3.35689916875425,14.710932362640799,0.9982030256285217,5.082405857884338,29.794905245518372
fno,FNO,Neural operator,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/fno,2.2436073448463794,23.931400576326034,0.9994718314753958,2.278636373421844,27.65387703607,0.999452253096801,3.7508830642951345,23.98067926607376,0.9967630812646672,1.8965943277151083,11.414650440166664,0.9994753471279996,2.5424302775696166,21.745151829659115
ffno,FFNO,Neural operator,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno,1.7621232237570073,20.20416365224584,0.9997257595455922,1.7297997276786332,23.922650116163975,0.9997130093229885,2.462049651426549,19.32614865117432,0.9986298984308065,1.2138817199364031,6.676075101528739,0.9998041628873341,1.791963580699648,17.53225938027822
u_no,U-NO,Neural operator,412,13,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/u_no,1.2834492582663513,16.272163489909698,0.9998715178328456,1.30971557541029,20.173715560831944,0.999878568271308,1.4551757458905652,14.749495937152348,0.999528076688284,0.7427938769018536,5.706623970796439,0.9999334130139379,1.1977836141172649,14.225499739672607
cno,CNO,Neural operator,412,13,runs/gec_ccp_nn_operator_comparison_v2_single_run_additions/seed_412/n78/cno,3.8442221532232796,28.773275923866002,0.9985703136071747,3.6622867879362317,33.15117681306518,0.9985477088491678,4.935860564753372,26.15974866911845,0.9954396724646851,2.383499181561495,11.336284159375634,0.9990446931993436,3.7064671718685944,24.855121391356317
deeponet_pod,POD-DeepONet,Neural operator,412,13,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,2.110839003740164,5.727635387364116,0.9994169956656545,2.1099862244302354,8.133973953422467,0.9995293213292678,3.6374475812526397,13.741858156217681,0.9980052833038409,1.4259219931080687,2.520269865811489,0.9996463611175749,2.321048700632777,7.530934340703938
deeponet_plasma,DeepONet,Neural operator,412,13,runs/gec_ccp_nn_operator_comparison_v2_single_run_additions/seed_412/n78/deeponet_plasma,12.929993792936989,65.7636337776708,0.9801342863351677,12.58885543183523,68.66888284435048,0.9833567176589079,20.888781264448845,69.58845533561156,0.9125621434319918,12.39104745129561,46.09104721532844,0.9684386598542908,14.699669485129167,62.52800479324033
