dataset_size,model_id,display_name,family,input_mode,n_cases_effective,dual_r2,interp_r2,extrap_r2,ne_r2,ni_r2,te_r2,phi_r2,sdf_boundary_minus_deep_r2_mean,sdf_boundary_to_deep_rmse_ratio_mean,neg_ne,neg_ni,neg_te,neg_phi,deep_te_r2,deep_ne_r2,deep_ni_r2,deep_phi_r2,wall_time_approx_sec,leaderboard_csv
27,deeponet_plasma_pod,Plasma POD-DeepONet,pod_operator,table_only,27,0.914111,0.896496,0.931725,0.865526,0.865687,0.942525,0.982704,0.496984,3.86444,0.000919118,0,0.00162718,0.0354167,-0.803354,0.799682,0.793165,0.930166,30.8423,runs\benchmarkrun_ext0520\n27\deeponet_plasma_pod\leaderboard.csv
27,geom_deeponet_pod,Geom POD-DeepONet,pod_operator_geom,table_plus_structure,27,0.908894,0.902004,0.915784,0.862268,0.861111,0.940397,0.971799,0.437192,4.30479,0.000231481,0,0.001811,0.0365945,-0.566148,0.814285,0.814002,0.925203,32.9766,runs\benchmarkrun_ext0520\n27\geom_deeponet_pod\leaderboard.csv
27,coord_mlp_pod_residual,Coord MLP POD residual,coord_continuous,table_plus_structure,27,0.900164,0.864014,0.936314,0.851551,0.8492,0.927733,0.972173,0.394874,4.8358,0.0260825,0.0009872,0.000837418,0.0402233,-0.453823,0.753788,0.755837,0.918488,63.9358,runs\benchmarkrun_ext0520\n27\coord_mlp_pod_residual\leaderboard.csv
27,deeponet_pod,POD-DeepONet,pod_operator,table_only,27,0.91411,0.896496,0.931725,0.865526,0.865687,0.942525,0.982704,,,0.000919118,0,0.00162718,0.0354167,-0.803353,0.799682,0.793165,0.930166,,runs\benchmarkrun_ext0520\n27\deeponet_pod\leaderboard.csv
27,fno,FNO,neural_operator,table_plus_structure,27,0.896886,0.897776,0.895997,0.874353,0.872989,0.917644,0.92256,,,0.0542824,0.0118056,0,0.034518,-0.253165,0.8266,0.82296,0.794276,,runs\benchmarkrun_ext0520\n27\fno\leaderboard.csv
27,ffno,FFNO,neural_operator,table_plus_structure,27,0.911692,0.91465,0.908733,0.866836,0.872072,0.94456,0.963299,,,0.060512,0.0138344,0,0.0338099,-0.155728,0.831503,0.840755,0.889629,,runs\benchmarkrun_ext0520\n27\ffno\leaderboard.csv
27,coord_mlp_fourier,Coord MLP Fourier,coord_continuous,table_plus_structure,27,0.879955,0.849547,0.910363,0.846461,0.848296,0.893407,0.931655,,,0.105447,0.0452682,0,0.0375749,-2.02583,0.749549,0.76105,0.728336,,runs\benchmarkrun_ext0520\n27\coord_mlp_fourier\leaderboard.csv
27,coord_mlp_siren,Coord MLP SIREN,coord_continuous,table_plus_structure,27,0.739461,0.817029,0.661894,0.726521,0.771501,0.73259,0.727233,,,0.0825912,0.0583333,0,0.0403595,-12.1295,0.745413,0.737255,-0.19508,,runs\benchmarkrun_ext0520\n27\coord_mlp_siren\leaderboard.csv
27,u_no,U-NO,neural_operator,table_plus_structure,27,0.885963,0.921412,0.850513,0.830176,0.824481,0.927793,0.961401,,,0.107149,0.0526825,0,0.0344567,-0.0872011,0.841097,0.840432,0.911776,,runs\benchmarkrun_ext0520\n27\u_no\leaderboard.csv
27,cno_operator_unet,CNO Operator U-Net,neural_operator_cnn,table_plus_structure,27,0.838969,0.869264,0.808674,0.772733,0.765397,0.890156,0.927592,0.709059,2.76824,0.0810389,0.0164692,0,0.0379902,-1.49417,0.724904,0.730939,0.820785,188.269,runs\benchmarkrun_ext0520\n27\cno_operator_unet\leaderboard.csv
27,cno,CNO legacy,neural_operator_cnn,table_plus_structure,27,0.697159,0.776939,0.617378,0.567524,0.562567,0.802472,0.856072,,,0.0462827,0.0123162,0,0.0376702,-0.322011,0.614174,0.626425,0.48141,,runs\benchmarkrun_ext0520\n27\cno\leaderboard.csv
27,unet_operator_v2,U-Net Operator v2,cnn_operator,table_plus_structure,27,0.8356,0.893939,0.777261,0.74214,0.753254,0.914099,0.932906,0.479512,3.25206,0.114842,0.0604507,0,0.0373162,-0.683987,0.791741,0.796396,0.810355,294.526,runs\benchmarkrun_ext0520\n27\unet_operator_v2\leaderboard.csv
27,unet,U-Net,cnn,table_plus_structure,27,0.484415,0.67866,0.29017,0.204603,0.198823,0.793659,0.740575,,,0.14473,0.0806373,2.72331e-05,0.0451253,-0.828448,0.385384,0.416078,-0.261583,,runs\benchmarkrun_ext0520\n27\unet\leaderboard.csv
27,unetpp,U-Net++,cnn,table_plus_structure,27,0.745152,0.794586,0.695718,0.634941,0.624755,0.864777,0.856135,,,0.0711193,0.0340346,2.04248e-05,0.0359477,-0.130361,0.669288,0.661259,0.467458,,runs\benchmarkrun_ext0520\n27\unetpp\leaderboard.csv
27,unetpp_attn,U-Net++ Attention,cnn_attention,table_plus_structure,27,0.733273,0.800395,0.666151,0.632675,0.630465,0.827831,0.842119,,,0.0787718,0.0626157,4.08497e-05,0.0380787,-0.58945,0.649045,0.651282,0.443929,,runs\benchmarkrun_ext0520\n27\unetpp_attn\leaderboard.csv
27,global_mlp,Global MLP,baseline,table_only,27,0.785914,0.717159,0.854669,0.681284,0.672651,0.861579,0.928143,,,0.142007,0.124755,0.00527642,0.0378745,-2.54592,0.451521,0.451616,0.814197,,runs\benchmarkrun_ext0520\n27\global_mlp\leaderboard.csv
27,deeponet_plasma,Plasma DeepONet legacy,legacy_deeponet,table_plus_structure,27,0.476073,0.515062,0.437084,0.699419,0.706947,0.210728,0.2872,,,0.0531658,0.0408088,0,0.0381536,-12.1618,0.730312,0.747911,-0.422519,,runs\benchmarkrun_ext0520\n27\deeponet_plasma\leaderboard.csv
27,geom_deeponet_siren,Geom DeepONet SIREN,legacy_geom_siren,table_plus_structure,27,0.349752,0.406643,0.292861,0.537727,0.487427,0.105777,0.268077,,,0.11248,0.0751838,0.00498366,0.0314883,-2.96619,0.599657,0.551645,-0.52925,,runs\benchmarkrun_ext0520\n27\geom_deeponet_siren\leaderboard.csv
54,deeponet_plasma_pod,Plasma POD-DeepONet,pod_operator,table_only,54,0.917152,0.898829,0.935474,0.871593,0.870161,0.948481,0.978372,0.186889,5.7689,0.00117647,0,0.000743464,0.0454616,0.382791,0.800321,0.805495,0.941289,60.9128,runs\benchmarkrun_ext0520\n54\deeponet_plasma_pod\leaderboard.csv
54,geom_deeponet_pod,Geom POD-DeepONet,pod_operator_geom,table_plus_structure,54,0.918893,0.899177,0.938609,0.880351,0.876115,0.945747,0.973358,0.186204,5.87294,0.000792484,0,0.000694444,0.038174,0.363883,0.810755,0.809798,0.934271,65.2742,runs\benchmarkrun_ext0520\n54\geom_deeponet_pod\leaderboard.csv
54,coord_mlp_pod_residual,Coord MLP POD residual,coord_continuous,table_plus_structure,54,0.905648,0.869609,0.941687,0.852406,0.848287,0.943653,0.978245,0.217,6.03561,0.0148325,0.000118464,0.000396242,0.042594,0.269896,0.749881,0.749646,0.93463,125.035,runs\benchmarkrun_ext0520\n54\coord_mlp_pod_residual\leaderboard.csv
54,deeponet_pod,POD-DeepONet,pod_operator,table_only,54,0.917152,0.898829,0.935474,0.871593,0.870161,0.94848,0.978372,,,0.00117647,0,0.000743464,0.0454616,0.382791,0.800321,0.805494,0.941289,,runs\benchmarkrun_ext0520\n54\deeponet_pod\leaderboard.csv
54,fno,FNO,neural_operator,table_plus_structure,54,0.881068,0.863446,0.89869,0.840337,0.83836,0.909109,0.936465,,,0.15645,0.0559518,0,0.0482802,0.00986382,0.743902,0.742452,0.851763,,runs\benchmarkrun_ext0520\n54\fno\leaderboard.csv
54,ffno,FFNO,neural_operator,table_plus_structure,54,0.886755,0.855852,0.917659,0.826867,0.831489,0.929589,0.959076,,,0.0752083,0.0187909,0,0.0419077,0.0363305,0.719639,0.729999,0.884923,,runs\benchmarkrun_ext0520\n54\ffno\leaderboard.csv
54,coord_mlp_fourier,Coord MLP Fourier,coord_continuous,table_plus_structure,54,0.871252,0.825472,0.917032,0.814328,0.813891,0.905841,0.950948,,,0.0963644,0.0275694,0,0.0382435,-0.392878,0.683191,0.691407,0.756626,,runs\benchmarkrun_ext0520\n54\coord_mlp_fourier\leaderboard.csv
54,coord_mlp_siren,Coord MLP SIREN,coord_continuous,table_plus_structure,54,0.799326,0.849269,0.749384,0.751273,0.801703,0.806292,0.838037,,,0.0758905,0.0406944,0.000236928,0.0372181,-3.65994,0.729018,0.732943,0.584246,,runs\benchmarkrun_ext0520\n54\coord_mlp_siren\leaderboard.csv
54,u_no,U-NO,neural_operator,table_plus_structure,54,0.857646,0.884439,0.830854,0.792372,0.787447,0.898964,0.951802,,,0.0489951,0.0123203,0,0.0410417,0.20233,0.766339,0.766302,0.915768,,runs\benchmarkrun_ext0520\n54\u_no\leaderboard.csv
54,cno_operator_unet,CNO Operator U-Net,neural_operator_cnn,table_plus_structure,54,0.823603,0.849008,0.798198,0.742945,0.735009,0.882824,0.933634,0.263293,4.49589,0.062741,0.0304698,0,0.0449673,0.0155373,0.71355,0.699846,0.852761,395.468,runs\benchmarkrun_ext0520\n54\cno_operator_unet\leaderboard.csv
54,cno,CNO legacy,neural_operator_cnn,table_plus_structure,54,0.717783,0.827821,0.607744,0.575186,0.593845,0.82564,0.876459,,,0.0421855,0.0069281,0,0.0425163,0.10903,0.67716,0.680994,0.585998,,runs\benchmarkrun_ext0520\n54\cno\leaderboard.csv
54,unet_operator_v2,U-Net Operator v2,cnn_operator,table_plus_structure,54,0.832087,0.859018,0.805157,0.75282,0.750812,0.891858,0.932859,0.290665,4.44859,0.0903799,0.0242484,0,0.0404003,0.0356434,0.717991,0.714146,0.862759,446.896,runs\benchmarkrun_ext0520\n54\unet_operator_v2\leaderboard.csv
54,unet,U-Net,cnn,table_plus_structure,54,0.770173,0.762925,0.77742,0.681021,0.661666,0.843833,0.894171,,,0.0403227,0.00328023,0,0.0393995,-0.251537,0.58754,0.565015,0.350927,,runs\benchmarkrun_ext0520\n54\unet\leaderboard.csv
54,unetpp,U-Net++,cnn,table_plus_structure,54,0.755741,0.793644,0.717838,0.658982,0.656674,0.854048,0.85326,,,0.0306127,0.011781,0,0.0389461,-0.208596,0.605075,0.621722,0.721843,,runs\benchmarkrun_ext0520\n54\unetpp\leaderboard.csv
54,unetpp_attn,U-Net++ Attention,cnn_attention,table_plus_structure,54,0.786212,0.770113,0.802311,0.693928,0.686189,0.867537,0.897194,,,0.0474592,0.0229167,8.16993e-06,0.0385989,0.0169194,0.570285,0.568588,0.681306,,runs\benchmarkrun_ext0520\n54\unetpp_attn\leaderboard.csv
54,global_mlp,Global MLP,baseline,table_only,54,0.828623,0.726495,0.93075,0.747796,0.741089,0.880341,0.945267,,,0.00660539,0.00159314,0.000208333,0.0401593,-0.411621,0.503722,0.503466,0.895076,,runs\benchmarkrun_ext0520\n54\global_mlp\leaderboard.csv
54,deeponet_plasma,Plasma DeepONet legacy,legacy_deeponet,table_plus_structure,54,0.490662,0.519952,0.461372,0.719279,0.728255,0.221036,0.294077,,,0.0907516,0.0744771,0,0.0430474,-9.74686,0.759972,0.770461,-0.51865,,runs\benchmarkrun_ext0520\n54\deeponet_plasma\leaderboard.csv
54,geom_deeponet_siren,Geom DeepONet SIREN,legacy_geom_siren,table_plus_structure,54,0.400688,0.484688,0.316688,0.559846,0.548804,0.155136,0.338966,,,0.112259,0.10435,0.00243464,0.0288685,-1.88074,0.682005,0.669674,-0.357759,,runs\benchmarkrun_ext0520\n54\geom_deeponet_siren\leaderboard.csv
78,deeponet_plasma_pod,Plasma POD-DeepONet,pod_operator,table_only,78,0.946188,0.951073,0.941304,0.921875,0.919788,0.960403,0.982688,0.207766,5.06423,0.000355078,9.42685e-06,0.000992961,0.0350962,0.199243,0.916368,0.91694,0.968211,86.7504,runs\benchmarkrun_ext0520\n78\deeponet_plasma_pod\leaderboard.csv
78,geom_deeponet_pod,Geom POD-DeepONet,pod_operator_geom,table_plus_structure,78,0.941284,0.952064,0.930504,0.92052,0.918355,0.951413,0.974848,0.198135,5.51828,0.000480769,2.82805e-05,0.00153343,0.0432661,0.224105,0.922416,0.922436,0.970196,367.494,runs\benchmarkrun_ext0520\n78\geom_deeponet_pod\leaderboard.csv
78,coord_mlp_pod_residual,Coord MLP POD residual,coord_continuous,table_plus_structure,78,0.948102,0.949642,0.946561,0.923325,0.921375,0.963541,0.984165,0.195202,5.22628,0.0333553,0.00169369,0.00120349,0.0411702,0.251308,0.914677,0.914267,0.967924,175.367,runs\benchmarkrun_ext0520\n78\coord_mlp_pod_residual\leaderboard.csv
78,deeponet_pod,POD-DeepONet,pod_operator,table_only,78,0.946188,0.951073,0.941304,0.921875,0.919788,0.960403,0.982688,0.207766,5.06423,0.000355078,9.42685e-06,0.000992961,0.0350962,0.199243,0.916368,0.91694,0.968211,37727.8,runs\benchmarkrun_ext0520\n78\deeponet_pod\leaderboard.csv
78,fno,FNO,neural_operator,table_plus_structure,78,0.930361,0.943785,0.916936,0.904107,0.906872,0.943112,0.967353,0.28161,4.35831,0.0639486,0.0160476,0,0.0360388,-0.0925381,0.901074,0.901388,0.939674,721.334,runs\benchmarkrun_ext0520\n78\fno\leaderboard.csv
78,ffno,FFNO,neural_operator,table_plus_structure,78,0.919557,0.933765,0.905349,0.889265,0.894304,0.935594,0.959066,0.224328,5.37282,0.102388,0.0214241,0,0.0326012,0.127454,0.898111,0.899066,0.923132,1081.24,runs\benchmarkrun_ext0520\n78\ffno\leaderboard.csv
