model_id,family,n_seeds,validation_selected_seed,seconds_mean,seconds_std,validation_selection_value_mean,validation_selection_value_std,surrogate_quality_score_mean,surrogate_quality_score_std,test_r2_plasma_mean_mean,test_r2_plasma_mean_std,score_spatial_huber_component_mean,score_spatial_huber_component_std,score_avgpool_huber_component_mean,score_avgpool_huber_component_std,score_gradient_huber_component_mean,score_gradient_huber_component_std,test_rmse_ne_plasma_mean,test_rmse_ne_plasma_std,test_r2_ne_plasma_mean,test_r2_ne_plasma_std,score_total_ne_mean,score_total_ne_std,score_physical_rel_l2_median_ne_mean,score_physical_rel_l2_median_ne_std,score_physical_rel_l2_p90_ne_mean,score_physical_rel_l2_p90_ne_std,score_physical_rel_l2_worst_ne_mean,score_physical_rel_l2_worst_ne_std,score_physical_gradient_rel_l2_median_ne_mean,score_physical_gradient_rel_l2_median_ne_std,score_physical_gradient_rel_l2_p90_ne_mean,score_physical_gradient_rel_l2_p90_ne_std,score_physical_gradient_rel_l2_worst_ne_mean,score_physical_gradient_rel_l2_worst_ne_std,test_rmse_ne_boundary_to_deep_ratio_mean,test_rmse_ne_boundary_to_deep_ratio_std,test_neg_ratio_ne_plasma_mean,test_neg_ratio_ne_plasma_std,test_rmse_ni_plasma_mean,test_rmse_ni_plasma_std,test_r2_ni_plasma_mean,test_r2_ni_plasma_std,score_total_ni_mean,score_total_ni_std,score_physical_rel_l2_median_ni_mean,score_physical_rel_l2_median_ni_std,score_physical_rel_l2_p90_ni_mean,score_physical_rel_l2_p90_ni_std,score_physical_rel_l2_worst_ni_mean,score_physical_rel_l2_worst_ni_std,score_physical_gradient_rel_l2_median_ni_mean,score_physical_gradient_rel_l2_median_ni_std,score_physical_gradient_rel_l2_p90_ni_mean,score_physical_gradient_rel_l2_p90_ni_std,score_physical_gradient_rel_l2_worst_ni_mean,score_physical_gradient_rel_l2_worst_ni_std,test_rmse_ni_boundary_to_deep_ratio_mean,test_rmse_ni_boundary_to_deep_ratio_std,test_neg_ratio_ni_plasma_mean,test_neg_ratio_ni_plasma_std,test_rmse_Te_plasma_mean,test_rmse_Te_plasma_std,test_r2_Te_plasma_mean,test_r2_Te_plasma_std,score_total_Te_mean,score_total_Te_std,score_physical_rel_l2_median_Te_mean,score_physical_rel_l2_median_Te_std,score_physical_rel_l2_p90_Te_mean,score_physical_rel_l2_p90_Te_std,score_physical_rel_l2_worst_Te_mean,score_physical_rel_l2_worst_Te_std,score_physical_gradient_rel_l2_median_Te_mean,score_physical_gradient_rel_l2_median_Te_std,score_physical_gradient_rel_l2_p90_Te_mean,score_physical_gradient_rel_l2_p90_Te_std,score_physical_gradient_rel_l2_worst_Te_mean,score_physical_gradient_rel_l2_worst_Te_std,test_rmse_Te_boundary_to_deep_ratio_mean,test_rmse_Te_boundary_to_deep_ratio_std,test_neg_ratio_Te_plasma_mean,test_neg_ratio_Te_plasma_std,test_rmse_phi_plasma_mean,test_rmse_phi_plasma_std,test_r2_phi_plasma_mean,test_r2_phi_plasma_std,score_total_phi_mean,score_total_phi_std,score_physical_rel_l2_median_phi_mean,score_physical_rel_l2_median_phi_std,score_physical_rel_l2_p90_phi_mean,score_physical_rel_l2_p90_phi_std,score_physical_rel_l2_worst_phi_mean,score_physical_rel_l2_worst_phi_std,score_physical_gradient_rel_l2_median_phi_mean,score_physical_gradient_rel_l2_median_phi_std,score_physical_gradient_rel_l2_p90_phi_mean,score_physical_gradient_rel_l2_p90_phi_std,score_physical_gradient_rel_l2_worst_phi_mean,score_physical_gradient_rel_l2_worst_phi_std,test_rmse_phi_boundary_to_deep_ratio_mean,test_rmse_phi_boundary_to_deep_ratio_std
u_no,neural_operator,3,413,1051.5333333333335,1.3051181300301906,0.02378931762002232,0.00019979993123554217,0.0002042025819779762,8.638549287086247e-06,0.9998105684088218,7.375611153520254e-06,7.000370411939609e-05,2.410704134644065e-06,2.1612925087942534e-05,7.078699728277871e-07,5.8964203769088876e-05,4.288376178663081e-06,22026006134665.996,593518870030.2474,0.9998790545607287,6.5630022751319715e-06,0.0001093653456670533,5.633904746300368e-06,0.012344512822096504,0.0005563266966227775,0.01614233573677426,0.0006343820871749969,0.018265215890005803,0.0014128219871939703,0.16407403604543921,0.001579336280601545,0.2258659291890802,0.006331820631953559,0.2476957951444532,0.011231322823400284,0.8549920214700428,0.016395670329631757,0.03090539698799451,0.0018418109862758413,21518940952092.71,602244978290.3345,0.9998823480888234,6.528774209817237e-06,0.00011512016490390429,5.490753599406828e-06,0.012352560940901475,0.0006753666836725055,0.016418444147625694,0.0009923329548467315,0.017206791084391434,0.0011781093442778643,0.20121671935846938,0.0022398500566716962,0.26066519098363294,0.0010494401531597258,0.27782597516956925,0.008931297160627441,1.2451331087243467,0.033644007174039,0.0013585135457105935,0.0006245585147407667,0.130808654823331,0.003789424965841046,0.9995473461845622,2.601985151221347e-05,0.00043827111480519926,2.1334397261649e-05,0.014782421357582164,0.0003438936689334938,0.02140532670576617,0.0007933333968047982,0.022316268676385087,0.0005112126203410022,0.14719368180218007,0.0019333642197825807,0.1808251885056872,0.0027501928387290153,0.20439038187678607,0.00901180297175356,6.884536525518271,0.7048634110335585,0.0,0.0,0.1929532955675162,0.003212766283197687,0.999933524801173,2.2117610025666476e-06,6.209387584325062e-05,2.2056877339065584e-06,0.0069658437797433985,0.0005363365940240436,0.009168805761575733,0.0004508699588449376,0.00988310967142194,0.0008019998668540891,0.05721016907798963,0.0011112347375843452,0.07480095243596781,0.0016602112744450981,0.07661607397846525,0.0005003333364050453,2.788198370540064,0.1526613258249828
ffno,neural_operator,3,412,906.1333333333333,1.1718930554164935,0.0379151993379557,0.0005407889732537753,0.0005028605554677295,9.357229217842366e-06,0.9994492242884151,1.6614808456284994e-05,0.00015308766281426264,2.3912830260999557e-06,7.613087533779132e-05,4.864701474382238e-06,9.488705715436178e-05,2.711338896081057e-06,35183502585479.062,1831193624598.6365,0.9996909921257003,3.183129995991708e-05,0.0002606387389581263,2.5865093523703163e-05,0.018105002509798438,0.0006115436006570174,0.02537924047684251,0.0013548824146447196,0.032115106157514436,0.00019229158597507356,0.2108879062678757,0.010794852604744352,0.26729728177634776,0.01439773092481127,0.30091732252738573,0.015615082015487515,0.8692514499456504,0.014232547104000933,0.0401059997578462,0.0052033148854072914,34742326043254.184,1259827425241.4546,0.9996932187512929,2.2340133972043443e-05,0.0002801183047995437,1.7556175631682398e-05,0.01726838215049804,0.001252722573818192,0.025117065784758863,0.001394654458370099,0.031305247659779704,0.0022799076518172303,0.2425707537145018,0.00766923433968018,0.30885831172707445,0.006363452969223265,0.3467658778050963,0.009937663750470234,1.0692236407385964,0.05037967396054954,0.0028228171868249774,0.0009330533536081039,0.2295105112217571,0.0018201363103671443,0.9986072483360805,2.2082243094250804e-05,0.0010433337704913966,1.5018607120286074e-05,0.025284971963607326,0.0006429202484218605,0.03292463465879916,0.00023877487726105528,0.04491860454601207,0.0002591352213566532,0.19199324400762888,0.0011205461126364083,0.25988068467409325,0.002837526474453373,0.29148869913513026,0.0024286167397018395,5.5682224987793,0.24463573800669888,0.0,0.0,0.3301165943008135,0.00427095661507208,0.9998054379405868,5.022108230981925e-06,0.00019486937403295694,9.324119533045157e-06,0.011797882337331901,0.00049277036603853,0.014186820365621884,0.0003068095784860858,0.014492886988401954,0.00016326892144115647,0.07106211998627324,0.0044738302155432,0.08696061273030942,0.0020791785120847944,0.08875358318046127,0.0026341608294891887,2.9551501997788185,0.09894584063044454
fno,neural_operator,3,412,815.9,2.778488797889967,0.05932902049625063,0.0021074606972774686,0.001203998847696413,5.3957048186871274e-05,0.998706598714317,7.72400604983883e-05,0.00033354974018746155,9.261115794160618e-06,0.0001709309063800093,1.8017527748480964e-05,0.00012894914127375363,4.248658597003652e-06,47936483978298.98,2579692978466.116,0.999426309260392,6.246895003250949e-05,0.0004893884630049191,5.8683178621964313e-05,0.024220069517976155,0.0017100650950654021,0.040347883368823736,0.003067430490639578,0.048917290360003696,0.0005850675119083681,0.24691633258620874,0.010213798782031366,0.31878330565352936,0.017971437636427414,0.38218660792713627,0.02045194874719945,1.1104051864194033,0.08289755474340074,0.06176365911960602,0.006124522960746061,47666128092403.15,1660512039078.219,0.9994225671926565,4.055327252167031e-05,0.000540734475289355,3.940502032414266e-05,0.023863918185693275,0.0011373711226532266,0.03914599920404857,0.001480829830686314,0.04857166651781188,0.0030870347719918166,0.29074808448043227,0.014762548133095459,0.3807699903841473,0.02174841984879355,0.4720340201453695,0.03711318276339321,1.2651585322765382,0.0556244672139448,0.01100532105192542,0.0033436490394489152,0.36218826759643274,0.01073641239894447,0.9965296489181498,0.0002040000530786154,0.0025308648008892007,0.00011795225177831074,0.03648223336147363,0.0026740981014825847,0.054401746589561845,0.0005567245667550185,0.06964100698845561,0.0026147580864286286,0.24773804354600634,0.012371819537621474,0.3513406316785927,0.01815182704514931,0.4194401480301422,0.01346955663936977,5.512449215572125,0.28163513541288476,0.0,0.0,0.5560499217448854,0.012193269571832033,0.9994478694860692,2.4068563251283783e-05,0.000566070273052901,3.091064281974785e-05,0.019498275806211773,0.0004775462570862497,0.021941923847583773,0.0005794998832943812,0.02360754989289923,0.0021043922779680826,0.11551072008530487,0.003243916331369558,0.14085086816361844,0.0024558091396853898,0.14456630467708312,0.0006857577090247873,3.336872475576454,0.11837660533046408
unet,convolutional_nn,3,412,651.0,3.7040518354904313,0.06935711490433723,0.0019063423803017706,0.001336077628988682,3.766938446365941e-05,0.9984682337518459,6.968448369143759e-05,0.0005656276933021016,5.133527026205205e-05,0.00038034392895901366,3.1680239092463054e-05,0.00014204702610085302,3.86607228967541e-06,76636388163789.19,2671185361763.256,0.9985353647933061,0.00010282992949060132,0.001245280669342416,8.604922774782643e-05,0.04154192405693482,0.0013670503004495674,0.06227154279579897,0.0036687309965829527,0.07338098779935004,0.005300345462982335,0.3281905218761505,0.025531451518518107,0.4436934695282356,0.01781178609080492,0.5582244251242529,0.021059907924144087,0.775559593008976,0.053903523814055145,0.06626864398519199,0.006165798358696358,77314183379045.3,4022176976806.9883,0.998479341386123,0.00015765318495138938,0.0013176803149690386,0.00012696417174150117,0.038891476977547974,0.0023845112826515955,0.06335753383085613,0.0057108882870777755,0.07207887706281023,0.011740308475715817,0.36303105660187235,0.03604764329376039,0.49830622695170906,0.02384055529659258,0.6117871651860101,0.030107235509454516,0.8281297349065713,0.050135927409802536,0.025462963928778965,0.008406479933589511,0.29909119216922264,0.0074628217383306845,0.9976338744593091,0.00011814410043488576,0.0019995206801589425,0.00011046895090798163,0.03426605695045118,0.001244057294184732,0.04957253986016727,0.0019561605957102686,0.056854842211697655,0.003745694928984521,0.2155487051317778,0.0073309900237283595,0.3007715161777067,0.00249034004276978,0.32510363757168187,0.004842180616179486,4.846010598915517,0.5322815891212902,0.0,0.0,0.6583546826394492,0.04001934599748402,0.9992243543686459,9.272017631517682e-05,0.0007272317146513767,7.707604254232114e-05,0.02331154716204513,0.0016644872655394377,0.0286051996580055,0.0020072984022431284,0.03162247375288054,0.0034666048243158503,0.11022638326556067,0.0011699884616587586,0.1548369807473492,0.002592146013892208,0.16218060277445465,0.002306437453160675,2.4561088500957364,0.2039383356864381
global_resmlp,vector_nn,3,413,351.6666666666667,5.41233159861196,0.07609518741989524,0.011748542279110187,0.002180385853927823,0.0005882068864965331,0.998200042667773,0.0005095167502128218,0.000929599328729738,0.00030149776218927086,0.0006077760149815326,0.0002218269381753402,0.00010897311954573119,5.236381645850804e-05,64089623139467.27,15576090823711.736,0.998936208210525,0.0005288376072403401,0.000886760636647826,0.0004324843264462028,0.025372426368140175,0.010495237127891802,0.0720130820132882,0.015202712974966223,0.09650393242455302,0.03504297568140205,0.07035428747536143,0.017118960260795988,0.16816113887737152,0.023295974898380797,0.18609107979189998,0.03145372827621524,0.49169793648446536,0.09598519827332608,0.00027233116391774576,0.0002568483770396444,63937206555269.96,15739806006512.908,0.9989199624096111,0.0005441847241821525,0.0009092849413597531,0.00044576558699912025,0.02504457813751002,0.00990200832692073,0.0709698633433773,0.01516550544300575,0.09533829718063036,0.035015717481384795,0.09756509012359617,0.016703913809757703,0.19496077591574582,0.02068285058582135,0.2213867542027693,0.024153082493530077,0.5069025291072039,0.09850135904245046,1.2569130679670101e-05,5.442593236040337e-06,0.38362234398515405,0.05062278242699444,0.9960638578975515,0.000992936708608252,0.004038671046825281,0.0010154836363831347,0.052341480848807104,0.010787782529586407,0.10102906489683515,0.029936873351295006,0.1386909332612635,0.07103890630753398,0.18488763383959006,0.03359535630262376,0.5119332578104178,0.2144499697368858,0.8093792048888391,0.1705625006240591,43.46731955160542,14.984622925941844,0.00043258757796138525,9.021872776441005e-05,0.7815671954156865,0.15718281588526603,0.998880142153404,0.00043817695777241213,0.0016044637259543986,0.0005269960727180352,0.023960322412955,0.0051367320987330736,0.0413097800690014,0.015377559226673745,0.05306298025990097,0.02918103266417631,0.047428702795914345,0.007734583220525468,0.08264955368480265,0.0358215356348584,0.13060289218733082,0.09379518724162732,19.73627116943579,7.0959270864194055
deeponet_pod,pod_operator,3,411,419.1666666666667,27.772168322501077,0.09777934515887599,0.003114524916855659,0.003022443608636473,0.00019016760331874092,0.9976033201032618,8.81022575313391e-05,0.0014404523406281238,0.00011349157016456583,0.0009392022394523439,7.58096660254554e-05,9.127316234803908e-05,2.902250713033636e-06,79393790930020.0,1530516518612.0833,0.9984289555651022,6.087375360025368e-05,0.0013253451689843132,0.00013013747223431275,0.03486794286535366,0.0008573527953292704,0.08629135561476743,0.008134420723157483,0.10784075114621246,0.010882928210724794,0.09401092247644427,0.0026920483719801917,0.16589714453517337,0.004087961015424321,0.18507053484401562,0.01004810778792381,0.46242597843454414,0.01446165493278055,0.0015166750721012552,0.00015567252912477756,78634029658859.36,2033110204969.7117,0.9984291126128245,8.129385865542459e-05,0.0012977382075132482,9.223680791931595e-05,0.03373339943683137,0.0009070787426115217,0.08367217483294699,0.003050769006566277,0.10288455884639018,0.007007191070092493,0.10322149190681408,0.0006185522583959433,0.1521000766475126,0.006449146672661673,0.19475792728941102,0.01325717967757537,0.4956891160000438,0.008271351703121625,1.990112347508936e-05,1.8141975703144421e-06,0.43364775188954097,0.005100980845018159,0.9950276169838683,0.00011677088076565261,0.005458889707030419,0.00030434585318257106,0.052050259988179894,0.0010043147759653003,0.11288142930671403,0.005405458981509285,0.1203557692949036,0.0039320264865335035,0.18405995253255783,0.006824593416996663,0.4456155890773295,0.008995623332996607,0.46023294607659126,0.017338987989994482,10.862347496740533,0.2734884808374889,0.0005582788920340439,9.59983120037926e-06,0.9078315812631949,0.031191563201931477,0.998527595251252,0.00010080332688383218,0.00229689943063022,0.00020133011884406878,0.025279223862257158,0.0011093156910450025,0.04265927139531974,0.0019960073667538596,0.047597496296931684,0.0025147488372790463,0.043269646351312176,0.003456670013349049,0.09822479676308847,0.0015716741357624429,0.10909370083375412,0.0010658234734544898,11.446999724816456,0.20317137777706082
global_densemlp,vector_nn,3,413,343.6333333333334,5.18684232778802,0.09875887113103367,0.014899403912281853,0.003581531879005727,0.0011213076936893598,0.996896411228784,0.0011873699849410146,0.0015351292450860555,0.00047568313553652343,0.0010046487311936088,0.0003772433826834986,0.00010910023487061456,4.094770684152659e-05,98270341673783.67,24792713636704.285,0.9974915743992939,0.001173177027814495,0.002171028633347305,0.000958486992222093,0.03968103583200794,0.0023737735605498574,0.11815393372700793,0.04599841053883335,0.1659396800101839,0.0804303998877234,0.0723326251069369,0.006749109465418183,0.19257918513314862,0.06481242964502272,0.2586565056640061,0.11439000326010654,0.5844229568187772,0.06813900446155084,0.0001738729733915534,0.00015097133885528703,98102639913561.75,24810583328870.41,0.9974518416059238,0.0011946122505069555,0.002204045370572203,0.0009643588552374467,0.038958523931837345,0.002105840256887448,0.11663792575005381,0.04535255505276726,0.164177600323043,0.07963633855344174,0.09791733382616581,0.02816213640042351,0.24254563759297396,0.10115303857050495,0.2540638490358682,0.10275462786561972,0.5954140433107592,0.06881396249134034,1.4663985742420968e-05,7.256791068903285e-06,0.4387796996993565,0.08702840837752245,0.9947762001451022,0.0019489919457262564,0.0054485121955319,0.001634867275973744,0.05662420772801526,0.009710614190043152,0.09776060013483502,0.030261757829505614,0.17958277758066235,0.09981943026209597,0.18026317233575997,0.027529359237068923,0.4401047380453411,0.16077624012801756,0.487969296413498,0.16115845562986744,17.028170033545045,4.239345510165708,0.00043258757311074686,0.00033204774210161413,1.080791595754831,0.20232558007824297,0.9978660287648164,0.0007425215215660048,0.0031085464395255256,0.0010440466155747224,0.03224736938610199,0.0041746840525396485,0.04969806960852213,0.012880569746575862,0.08543756399189047,0.041113332265245814,0.06096732515807516,0.008374523221366077,0.09911365205492956,0.03130089061523752,0.15406844651518115,0.051920427186414646,17.217997302879123,1.9553790669486861
global_mlp,vector_nn,3,413,532.7333333333333,2.8148416178061275,0.4370833638963069,0.03143588446930092,0.058663343629208005,0.011763381597528101,0.9066159460977499,0.03470730786690216,0.025266416370868683,0.003917937621015379,0.020002955053415563,0.003314995542439578,0.0012466949620930892,0.00020418602679499897,578579690292912.4,120901888216230.9,0.9141587260688372,0.03583729569695486,0.05614265044299827,0.014687094632938564,0.2065699721684294,0.0223334484742332,0.7350377969778678,0.057713561121825706,1.054755894190403,0.40309085221974,0.3829340470409554,0.11052055046568408,1.1322545269420197,0.14719193330847627,1.662231401385726,0.7435060461798461,0.6148050029576431,0.06346569258062708,0.03603464985887209,0.0032188981645521154,576305721365185.1,120300156887053.64,0.9132094353267547,0.036175160053031834,0.05658394776912853,0.014996034949724266,0.20082039140337937,0.021279749257583507,0.7261630234509201,0.05627787533786319,1.036789102072882,0.3995813991371909,0.39457510986580996,0.10396926995845843,1.207470534423126,0.14878626392731803,1.7230392778158425,0.6991197289981793,0.6213098183091111,0.0622430383564437,0.005030794457222025,0.0055114589382413955,2.276598845561411,0.375786421655719,0.8604784828214546,0.04705194355795288,0.07241046071906264,0.012986812714179919,0.2698734011816332,0.0013139798507719477,0.5765824172126949,0.13670797214155142,1.2210588225727206,0.5898984265407217,0.7302850307826536,0.05695329917106875,1.9257311353065678,0.287189623359791,3.666426837528867,1.3997972723783254,22.63302325228641,1.1924092811912652,0.002192265858563284,0.0006863448377880753,5.813505032038003,0.9394721286191778,0.9386171401739535,0.02037716394732899,0.04721627106249798,0.00877583583993262,0.14670573676607612,0.02626856186506911,0.2716038076495732,0.03706600576289081,0.6047949904145319,0.24972703754987657,0.31184234159820307,0.03357439075032469,0.6027777975353333,0.13423599905243416,1.3103210950664301,0.2360133245681402,23.975158142847246,1.6800919985096991
