model_id,model_label,family,test_case_count,case_macro_relative_rmse_ne_pct,case_macro_relative_rmse_ni_pct,case_macro_relative_rmse_Te_pct,case_macro_relative_rmse_phi_pct
global_resmlp,ResMLP,neural_network,13,4.628609655460376,4.584724855836413,6.559974937500702,2.537480120928098
global_densemlp,DenseMLP,neural_network,13,7.26102603061161,7.173027078687453,7.3428108364886056,4.305062918187462
unet,U-Net,neural_network,13,4.244208007134983,4.053490891585108,3.6911028317640127,2.377634783295627
unetpp,U-Net++,neural_network,13,6.498336627192315,6.7867234455346885,4.89065573597393,3.50693288398274
fno,FNO,neural_operator,13,2.657166126747527,2.6082573297647036,3.948148968536137,1.8738581367890725
ffno,FFNO,neural_operator,13,1.8127943421517758,1.7974346440060882,2.583363100729769,1.171978917564442
cno,CNO,neural_operator,13,4.148206349534996,4.124106272834095,5.174269142376879,2.544017625635566
deeponet_pod,DeepONet,neural_operator,13,2.944702786836829,2.5967172571250727,4.370083167287248,1.5184384120475154
