measurement_id,case_id,method,true_input_sensor_loss,case_global_best_loss,final_loss,final_ratio_to_true_input,final_relative_regret,hit_true_input_1p10,first_hit_true_input_1p10,hit_true_input_1p00,first_hit_true_input_1p00,hit_regret_2pct,first_hit_regret_2pct,hit_regret_5pct,first_hit_regret_5pct,hit_regret_10pct,first_hit_regret_10pct,last_improvement_trial
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,0.05425676600499663,0.054842441619538954,0.05493880777311972,1.012570630694433,0.0017571455743945474,True,57,False,,True,74,True,74,True,57,93
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,0.05425676600499663,0.054842441619538954,0.054842441619538954,1.010794517581243,0.0,True,24,False,,True,66,True,63,True,24,66
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,0.05425676600499663,0.054842441619538954,0.05579193848069671,1.0282945812796638,0.017313176312330203,True,21,False,,True,21,True,21,True,21,21
M2,case_td016_pp0_1_gamma_007__steady,cmaes,0.04631699798266529,0.04258771753567274,0.04258771753567274,0.9194835457948229,0.0,True,28,True,40,True,40,True,40,True,40,66
M2,case_td016_pp0_1_gamma_007__steady,tpe,0.04631699798266529,0.04258771753567274,0.04381817556691637,0.9460495601056844,0.028892321599836013,True,21,True,23,False,,True,23,True,21,89
M2,case_td016_pp0_1_gamma_007__steady,random,0.04631699798266529,0.04258771753567274,0.04624014499641918,0.9983407174559354,0.0857624609181522,True,3,True,8,False,,False,,True,8,8
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,0.050309085967164796,0.05071010778759677,0.056479172090204637,1.1226435743051835,0.11376556971190133,False,,False,,False,,False,,False,,91
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,0.050309085967164796,0.05071010778759677,0.05071010778759677,1.0079711609289366,0.0,True,23,False,,True,44,True,42,True,23,44
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,0.050309085967164796,0.05071010778759677,0.058443933489307334,1.161697382605041,0.1525105356530554,False,,False,,False,,False,,False,,58
