measurement_id,case_id,method,budget,best_loss
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.20876561567667842
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.16400759322292413
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,0.06380498977807818
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,100,0.05493880777311972
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,10,0.06462440832556486
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,25,0.05860056251030821
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,50,0.05848139776068384
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,100,0.054842441619538954
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,10,0.11824892166040743
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,25,0.05579193848069671
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,50,0.05579193848069671
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,100,0.05579193848069671
M2,case_td016_pp0_1_gamma_007__steady,cmaes,10,0.31005563444644174
M2,case_td016_pp0_1_gamma_007__steady,cmaes,25,0.15440361275346728
M2,case_td016_pp0_1_gamma_007__steady,cmaes,50,0.04283713961590478
M2,case_td016_pp0_1_gamma_007__steady,cmaes,100,0.04258771753567274
M2,case_td016_pp0_1_gamma_007__steady,tpe,10,0.22752005565573025
M2,case_td016_pp0_1_gamma_007__steady,tpe,25,0.04467389409952668
M2,case_td016_pp0_1_gamma_007__steady,tpe,50,0.04467389409952668
M2,case_td016_pp0_1_gamma_007__steady,tpe,100,0.04381817556691637
M2,case_td016_pp0_1_gamma_007__steady,random,10,0.04624014499641918
M2,case_td016_pp0_1_gamma_007__steady,random,25,0.04624014499641918
M2,case_td016_pp0_1_gamma_007__steady,random,50,0.04624014499641918
M2,case_td016_pp0_1_gamma_007__steady,random,100,0.04624014499641918
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,10,0.39546412104872025
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,25,0.2412177389309332
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,50,0.12879832938053926
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,100,0.056479172090204637
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,10,0.15968028364295542
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,25,0.05441822438382396
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,50,0.05071010778759677
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,100,0.05071010778759677
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,10,0.41968308013047706
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,25,0.1741069691463048
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,50,0.09016287639581867
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,100,0.058443933489307334
