measurement_id,case_id,Td,truth_PP0,truth_PA,truth_gamma,realized_sensor_noise_rel,initial_sensor_loss,initial_profile_truth_rel_l2,initial_fullfield_truth_rel_l2,truth_input_sensor_loss,truth_input_profile_truth_rel_l2,truth_input_fullfield_truth_rel_l2,case_total_wall_s,engine_load_s
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.03,3.0,0.05,0.1,0.051418192385038836,0.5628434392461068,0.5506242146893123,0.49007615650163294,0.05425676600499663,0.013277025640316105,0.024353289677698325,60.95737800002098,1.762613600003533
M2,case_td016_pp0_1_gamma_007__steady,0.16,1.0,0.1,0.07,0.04555054715632155,1.7278961645927335,1.7504060242044541,1.700202995592583,0.04631699798266529,0.009610722744429192,0.033446358479028486,61.53801089999615,1.754897600010736
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.3,5.0,0.2,0.04,0.045684609598840104,0.4420755918508906,0.4344063520442718,0.42336713440300755,0.050309085967164796,0.013868441827018938,0.016967188777437192,61.573798800003715,1.7805224000185262
