method,n_measurements,trials_per_measurement,best_trials_total,surrogate_search_s,direct_fixed_budget_mean_est_s,direct_fixed_budget_median_est_s,direct_oracle_best_mean_est_s,direct_oracle_best_median_est_s,surrogate_65_build_s,surrogate_78_benchmark_s,surrogate_65_build_plus_3_validation_s,fixed_budget_speedup_65_build,fixed_budget_speedup_existing_model
cmaes,3,100,250,56.30339939997066,85051.26805555556,39588.9,70832.8329537037,33307.345,18694.564056999985,22989.005056999977,19545.07673755554,4.549518662014961,1510.5885073006777
tpe,3,100,199,57.60557759998483,85051.26805555556,39588.9,54915.927199074074,25439.502000000004,18695.8662352,22990.30723519999,19546.378915755555,4.549201785334967,1476.4415460974035
random,3,100,87,57.339910000009695,85051.26805555556,39588.9,27107.634481481484,12516.386,18695.600567600024,22990.041567600016,19546.11324815558,4.549266430250531,1483.2822035392307
