,PC1,PC2,PC3
pp,0.004495300609356992,0.13030316521956362,0.14947227255719636
pp0,0.040043999026646945,0.14284645512027574,0.19037560491347733
series.nncoil_effective,-0.3279833421285241,0.10590568961618584,-0.07337966795581026
series.llcoil,-0.1935843360380604,-0.17359664249928392,-0.3288542331336727
series.rrc,-0.09205594576218103,-0.03457421253168148,-0.04475333308902773
series.rrce,0.16494408731273877,-0.14115143983816175,-0.5021297842866626
series.zzc,-0.049737031809996876,-0.520220141533537,0.22338591483105738
series.pitch_effective,0.37490160757218477,-0.13835103967348597,-0.10560323754696926
series.min_gap_effective,0.39611628795924475,-0.11641544550928407,-0.06500939304321898
series.span_r,0.19102514574192597,-0.0929075476842629,-0.37921351804992925
series.fill_ratio,-0.42225929407920487,-0.009728772764987306,-0.0972650694032922
series.total_coil_area_proxy,-0.3306282195045634,-0.10186087858703693,-0.3150033442238694
series.z_min,-0.049737031809996876,-0.5202201415335369,0.22338591483105733
series.z_max,-0.08642816242161432,-0.5385459062953253,0.15162034155123652
series.r_mid,0.07320726649546042,-0.13024999499711035,-0.41668668320281915
series.radial_compactness,-0.4222592940792049,-0.00972877276498732,-0.09726506940329216
