group,feature,count,min,q10,q25,median,q75,q90,max
all,pp,512,523.6909244921446,972.5748453420665,1443.7093793586453,2060.95459735153,2513.28827739433,2833.6444943730876,2999.2701227282305
all,pp0,512,0.0043525565438539,0.02061908725900072,0.0465722560534787,0.0781449035166176,0.08883314711836887,0.09510061860812467,0.0998042261173218
all,series.nncoil_effective,512,2.0,2.0,3.0,4.0,5.0,5.0,6.0
all,series.llcoil,512,0.5023957203694225,0.628032916107336,0.769755167485467,0.9390680148342203,1.2030912994557648,1.3638677355837174,1.4998964818503695
all,series.rrc,512,2.005988301019193,3.0099180482123176,3.969336569704546,5.590991942167588,7.370664078697131,8.944174432819395,9.996592460082564
all,series.rrce,512,20.016937809706324,20.997920502171844,22.305464133870863,24.130536430040507,26.82598823775343,28.85746315460676,29.987099040333188
all,series.zzc,512,0.0034112292368489,0.5576619429654179,1.1826338426296337,2.258363408851104,3.17886508931287,4.283809509803163,4.987827805422653
all,series.pitch_effective,512,2.0651846745967632,3.0867827035544093,3.6610428673898854,4.936398287506444,6.307858930504695,8.529313160064058,13.345368420696634
all,series.min_gap_effective,512,0.9172817072916276,2.0909338642342807,2.6122880991125124,3.9853036207840935,5.514786615106415,7.604065864757659,12.642600163248682
all,series.span_r,512,10.325923372983816,14.310043046249369,16.749778447365877,18.65457142474721,21.322229572071727,23.540455856969267,27.08528146240457
all,series.fill_ratio,512,0.05266008665283945,0.09811467251976032,0.13033512562256108,0.1927528669592541,0.26490759975397354,0.36069172615088485,0.5774135430210047
all,series.total_coil_area_proxy,512,0.5222179247380974,1.3050572656610093,1.9961128137801034,3.4545784782314524,5.535930650944593,7.977338293583564,12.451904787031623
all,series.z_min,512,14.00341122923685,14.557661942965417,15.182633842629635,16.258363408851103,17.17886508931287,18.283809509803163,18.987827805422654
all,series.z_max,512,14.6344584492153,15.49476049429384,16.18325112136007,17.08791103406068,18.197937698051874,19.36178586198354,20.294604204768785
all,series.r_mid,512,11.597484196892886,12.679005809148277,13.952154288314794,14.962605049875972,16.543194325726372,17.5917738682397,19.541544582035797
all,series.radial_compactness,512,0.05266008665283945,0.09811467251976032,0.13033512562256108,0.1927528669592541,0.26490759975397354,0.36069172615088485,0.5774135430210047
all,value,512,0.1323982968063745,0.16916211951884996,0.19506257242416358,0.3056019200029979,0.7102875908905486,2.156946743117243,688.5542527709831
all,objective_uniformity,512,0.0954624846611928,0.19094928607345957,0.2122162564001206,0.23840585233395273,0.26361291355061234,0.292578150444574,0.4741724238299556
all,objective_density_ratio,512,0.0005822995363204,0.11570022155167631,0.3299007788917424,0.8059104602026737,1.2630553161964035,1.5420522952143159,2.111853812636388
all,boundary_gamma_uniformity,512,0.4755005314283031,0.5086906161195806,0.5289359743445725,0.559762688889152,0.5878804374606544,0.6097658468367978,0.7796595675298257
top10pct,pp,52,1846.590345693427,1922.1775236549418,2212.4998212439077,2508.9845891505306,2819.6388044799537,2941.3818462871113,2998.7874841271973
top10pct,pp0,52,0.0857844372113849,0.08859752621170428,0.09172677092940484,0.09553623851800949,0.09838603960789649,0.0995647013414292,0.0998042261173218
top10pct,series.nncoil_effective,52,2.0,2.0,3.0,4.0,5.0,6.0,6.0
top10pct,series.llcoil,52,0.5108741202293053,0.6162697828096444,0.685587640828219,0.8597154447548255,0.9928444663578307,1.1170376802945883,1.248297389449399
top10pct,series.rrc,52,2.0775266172289326,2.9520776263944026,3.5554693399481283,5.112597671777482,6.712086189260691,7.566584460708281,9.023140930104312
top10pct,series.rrce,52,20.41185493463086,20.799437720859117,21.407872190168202,22.88292295999474,24.133457786522612,25.342321558191564,28.47603057384746
top10pct,series.zzc,52,0.1420960995103851,0.41936071061015295,1.1745098160423684,2.1672489968949975,2.743829662445775,3.918397979043321,4.9384615135027765
top10pct,series.pitch_effective,52,2.784827906508625,2.896351937232169,3.3822093246252387,4.3156602997126665,6.252932573074456,9.35660945908226,11.606346538151884
top10pct,series.min_gap_effective,52,1.630479507964274,2.195005813254864,2.4282393220399294,3.5175976242684452,5.46540751618653,8.42707973762199,10.602196078508571
top10pct,series.span_r,52,11.456812765097649,13.400761675250665,16.783235304165796,17.802571040793822,18.897586866355127,20.80982336531186,24.918876493759072
top10pct,series.fill_ratio,52,0.0865173598205525,0.09854757753771422,0.11185191040758566,0.19383178714196378,0.25141261359337375,0.31961864095916037,0.42165862208682797
top10pct,series.total_coil_area_proxy,52,1.0439694668802668,1.1841975174629853,1.6603289365903988,2.440686916885071,3.8104243203616504,5.905424972273952,8.783958724493377
top10pct,series.z_min,52,14.142096099510384,14.419360710610153,15.174509816042368,16.167248996894998,16.743829662445776,17.91839797904332,18.938461513502777
top10pct,series.z_max,52,14.795590730158974,15.14567882673545,16.03843357544945,16.944366493336744,17.6626881679961,18.791156447662562,20.087165355914454
top10pct,series.r_mid,52,11.666502214800982,12.40706066936341,13.196715521172777,14.396096220382296,14.808873196159679,15.416201308295246,16.679183130096757
top10pct,series.radial_compactness,52,0.08651735982055252,0.09854757753771422,0.11185191040758566,0.1938317871419638,0.25141261359337375,0.31961864095916037,0.4216586220868281
top10pct,value,52,0.1323982968063745,0.14290042623943824,0.15421567261362185,0.15938137842908245,0.16540618617141337,0.168066241957793,0.1691528370575955
top10pct,objective_uniformity,52,0.2099148936570554,0.23514109111529363,0.24736868378134322,0.25745788899445216,0.270176187859052,0.29483206629419567,0.3203880760897099
top10pct,objective_density_ratio,52,1.2409776703040494,1.4380517926915413,1.559619047654394,1.6559272217867003,1.8104872123449134,1.9300083942458177,2.111853812636388
