count,n_trials,n_top10,top10_rate,median_objective,best_objective
2,72,10,0.1388888888888889,0.21880234570407203,0.1323982968063745
3,141,11,0.07801418439716312,0.2624358795829635,0.148816062586361
4,108,11,0.10185185185185185,0.37139200713881926,0.1342377668428139
5,140,9,0.06428571428571428,0.3587717370630918,0.1348361155796144
6,51,11,0.21568627450980393,0.2362420529261064,0.1428273383906624
