model_id,base_pp,base_pp0,best_pp,best_pp0,pp_min,pp_max,pp0_min,pp0_max
ffno,2823.804,0.08349,1061.8467973626869,0.007460421255231402,505.7250061035156,2097.135009765625,0.003005000064149499,0.09980899840593338
unet,2823.804,0.08349,512.6368024380093,0.02488910071181873,505.7250061035156,2097.135009765625,0.003005000064149499,0.09980899840593338
