model_id,trial,value,best_so_far,pp,pp0,boundary_gamma_uniformity,poisson_residual_norm
ffno,0,1.6947074289149414e+17,1.6947074289149414e+17,1850.5854852047805,0.018587838914755555,0.6988522107375422,0.024495167657732964
ffno,1,1.220152792968443e+17,1.220152792968443e+17,1144.1446783643817,0.022671851038994797,0.7717551325059646,0.027473729103803635
ffno,2,4.0962376626671264e+17,1.220152792968443e+17,1844.893338354996,0.03668801949805242,0.7060951418015264,0.02645763009786606
ffno,3,4298293793231101.0,4298293793231101.0,1323.1620597691244,0.004080715588457946,2.992126017104267,0.06394284963607788
ffno,4,8.655033012933495e+17,4298293793231101.0,1385.1198216818866,0.09247622315986562,0.6988049115393147,0.027423253282904625
ffno,5,4.168992259087785e+16,4298293793231101.0,1118.5411008170036,0.01301498469618439,0.8139111322480711,0.024718740954995155
ffno,6,2.896294748444541e+17,4298293793231101.0,776.38225136442,0.055095117727772376,0.6954593824109796,0.02411159686744213
ffno,7,4.724090074066149e+17,4298293793231101.0,926.7800674679768,0.07437760025497737,0.6873101703046793,0.025034360587596893
ffno,8,1.9630864309358998e+17,4298293793231101.0,1635.9493554938065,0.022303904543859315,0.7259019938788455,0.02647136151790619
ffno,9,4.5449830731279066e+17,4298293793231101.0,1346.1691824119243,0.05335503586454242,0.6966341332929081,0.026035668328404427
ffno,10,1.9398155031281827e+17,4298293793231101.0,1025.9079990558732,0.032915352155506845,0.7398574198594159,0.026388486847281456
ffno,11,6.30690698160223e+17,4298293793231101.0,1087.9699629764868,0.08250994369517689,0.697604958418521,0.026025477796792984
ffno,12,3.514447332229747e+17,4298293793231101.0,1772.296062424627,0.03278545918180469,0.7089343580030651,0.0265034232288599
ffno,13,2.3378947366315256e+16,4298293793231101.0,619.890816680692,0.014748557426665245,0.9568690312764185,0.024350352585315704
ffno,14,4.3629154419081683e+17,4298293793231101.0,959.9061625091367,0.06305462396079356,0.697028373260319,0.025156058371067047
ffno,15,3.9487211945447546e+17,4298293793231101.0,2054.3748346395305,0.030004629950607747,0.6913355457363907,0.02562066726386547
ffno,16,6.710813194736155e+17,4298293793231101.0,1767.7394748199415,0.05984169644648574,0.6894997136747125,0.02692236937582493
