model_id,objective,space_mode,condition_mode,base_pp,base_pp0,best_pp,best_pp0,mean_height_row,mean_height_float,sample_count,n_trials,invalid_trial_count,base_score,best_score,absolute_improvement,relative_improvement,base_relative_uniformity,best_relative_uniformity,base_mean_density,best_mean_density,base_boundary_gamma_uniformity,best_boundary_gamma_uniformity,best_mean_density_negative
ffno,mean_height_r_uniformity_times_mean_density,process_plus_coil_layout_rectangles_v1,train_bounds,2823.804,0.08349,1061.8467973626869,0.007460421255231402,132,132.0,600,80,0,1.0159113020464204e+18,1981708453794914.5,1.0139295935926254e+18,0.9980493292575808,0.3543931414972725,0.30654539701796685,2.8666223554843796e+18,6464649194124957.0,0.7903564984463768,1.145926086402187,False
unet,mean_height_r_uniformity_times_mean_density,process_plus_coil_layout_rectangles_v1,train_bounds,2823.804,0.08349,512.6368024380093,0.02488910071181873,132,132.0,600,80,0,7.341405773813341e+17,6.311041053639076e+16,6.710301668449434e+17,0.9140349784757785,0.8031083433716124,1.0960864966895192,9.14123957795361e+17,-5.7577947294307016e+16,0.649543951789388,0.7261639348931322,True
