bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.6956991075389474,11.581841468811035,0.33526861936402985,1.6438109293011527,1.6438109293011527,0.5511182207623003,0.02231511101126671,2613.4032236978405,0.01858783911753423,1.0577445473656921,5.655157008433588,3.472319766657085,3.0,6.71290155579928,3.7195357084941474,23.858240375891985,2.140822495468042,0,1.6438109293011527,ood:cond:pp:2613.4 outside [505.725,2097.14]
0.0,0.8634354131812828,13.523659706115723,0.8678244013311003,0.600862161642967,0.600862161642967,0.5214428457103186,0.030168814584612846,2030.4593406433778,0.07429009780916818,0.5152896565967116,4.1527770468566185,3.016163655170557,3.0,4.66806670345333,6.833166836511441,20.83736694687143,4.988818404614882,1,0.600862161642967,
0.0,0.7867103753861213,28.88359260559082,0.12334286198805924,5.600582468841177,5.600582468841177,0.6907918705070214,0.02654184401035309,2581.656995771844,0.006565195331627712,1.0675398131484446,3.866316712606106,4.437360548180414,4.0,4.933856525754551,2.055412636114146,21.790838739132347,0.8246110676319784,2,5.600582468841177,ood:cond:pp:2581.66 outside [505.725,2097.14]
0.0,0.7236486963113676,8.641961097717285,0.6246005475563869,0.7638340752680588,0.7638340752680588,0.477091181654656,0.027123913168907166,1657.8817493048532,0.05789321806526683,0.9519092238371517,1.6301352578372077,5.679102720433051,6.0,2.5820444816743593,8.51939365495326,24.011660544999415,1.0158077823091538,3,0.7638340752680588,
0.0,0.761815211116153,10.174603462219238,0.8044623534593384,0.6228925371534585,0.6228925371534585,0.5010935963907296,0.02969413436949253,1399.4150508216196,0.08645343964792208,0.8488155545829247,1.7915690814542091,5.964262488165591,6.0,2.6403846360371337,6.526150716060495,22.3684585322833,3.2934865252559042,4,0.6228925371534585,
0.0,0.7315391252800467,9.9966402053833,0.6092841937272985,0.6984578371769186,0.6984578371769186,0.42555932017685155,0.02790648117661476,2152.378114709005,0.05282107151738755,0.779092971659151,3.360779340217353,4.519672787338006,5.0,4.139872311876504,5.833526589384837,26.532888148767352,2.7112013854441304,5,0.6984578371769186,ood:cond:pp:2152.38 outside [505.725,2097.14]
0.0,0.7987294137425285,9.647894859313965,0.5968333351458338,0.9160286086634634,0.9160286086634634,0.5467164095976127,0.026856625452637672,808.034443601717,0.09097447585084681,0.5172132603875571,6.16931715094267,3.2430425155748397,3.0,6.686530411330227,3.3709084914166088,23.43049972540729,3.0875736731245498,6,0.9160286086634634,
0.0,0.7144920408176799,9.846990585327148,0.7567630962220241,0.5689745510297226,0.5689745510297226,0.4305789429087889,0.029047612100839615,1879.553502435253,0.07232588739955495,0.9894537339227958,3.1499151836886456,5.365991992433937,5.0,4.139368917611441,4.783605637029907,25.480450225087115,2.5221964539789936,7,0.5689745510297226,
0.0,0.9675750809529141,13.64686107635498,0.08456383422689606,7.369867031401627,7.369867031401627,0.6232242139177138,0.026348792016506195,560.7334536078225,0.02507427280779568,0.5836572359774456,6.376136267660048,2.995279163448616,3.0,6.959793503637493,2.052702417481253,22.932082928393733,1.8694362648120162,8,7.369867031401627,
0.0,0.79012436914561,12.343626976013184,1.0054154115101028,0.45200838955253175,0.45200838955253175,0.45445620098797757,0.029726993292570114,2118.9502136465594,0.08468052867406536,0.9154901010574061,2.314339529287418,4.526673930189853,5.0,3.229829630344824,6.158122776537513,22.307270928261634,0.9946252621709012,9,0.45200838955253175,ood:cond:pp:2118.95 outside [505.725,2097.14]
0.0,0.7032309638957613,7.707672119140625,0.7731513175065794,0.5561229327869865,0.5561229327869865,0.42996717817988156,0.027119750156998634,1633.7623996843372,0.07990255896050324,1.0932773814789916,2.580894400456004,4.797288230171307,5.0,3.6741717819349957,7.841794003164031,26.21265291283901,1.2214445575637711,10,0.5561229327869865,
0.0,0.8827970449883765,12.571455955505371,0.6112250418687605,0.983479892675262,0.983479892675262,0.6011275385775211,0.029430843889713287,1607.3658518922393,0.05272894063186174,0.5111123046850858,4.565306812370333,3.1820182363465275,3.0,5.076419117055419,4.874146319113957,20.103403670280215,2.8108370146147275,11,0.983479892675262,
0.0,0.7349864753088537,15.307232856750488,0.07952218296648324,6.756599519835353,6.756599519835353,0.5372995432475998,0.023214703425765038,1874.728117691936,0.011667369192050293,0.7492314950977337,2.100507103541128,5.617143237077062,6.0,2.8497385986388615,5.506108685431379,22.604540277264547,4.3134248076553385,12,6.756599519835353,
0.0,0.7122750306461372,9.225537300109863,0.5703305457076364,0.762922647039452,0.762922647039452,0.43511808961872517,0.028655581176280975,1642.203146348665,0.06354123937041328,1.4038509374768768,4.565944546774669,4.17991020021358,4.0,5.969795484251546,3.2600961894860108,27.139278126492194,4.677538240852698,13,0.762922647039452,
0.0,0.7438160139563154,9.02653980255127,0.6370332584770646,0.7321440437694191,0.7321440437694191,0.46640010587700764,0.028365375474095345,1549.060287796698,0.06706435660477116,1.3742693156268353,4.118647501909308,2.6245133302384667,3.0,5.492916817536144,8.259683112423044,24.738433565031475,2.762942339041264,14,0.7321440437694191,
