coil,dr_center,dz_center,width_ratio,height_ratio
1,4.041790558184935,-0.18546372840550518,1.3663701095116696,1.3663701095116696
2,5.051950780576059,-0.18546372840550518,1.3663701095116696,1.3663701095116696
3,6.06211100696718,-0.18546372840550518,1.3663701095116696,1.3663701095116696
4,7.0722712263583105,-0.18546372840550518,1.3663701095116696,1.3663701095116696
