scenario,coil,dr_center,dz_center,width_ratio,height_ratio,dr_min,dr_max,dz_min,dz_max
mid_height,1,0.11926719907860583,0.27444801605208546,1.085577673738711,0.8474681251469988,0.09554934680192195,0.14298505135529016,0.3167222251675952,0.23217380693657574
mid_height,2,0.0057493298595279185,-0.38432088700147027,1.1395332437822387,1.1408612248848091,-0.03292230865471879,0.04442096837377463,-0.423360575478295,-0.34528119852464556
mid_height,3,-0.29359439989826086,-0.27494073413175,0.9097207971606754,1.2232872417912706,-0.2685735188313423,-0.31861528096517944,-0.3368247931942001,-0.21305667506929993
mid_height,4,-0.35243479308958925,-0.4101156943991118,0.8687246762561456,0.8896830824125084,-0.31605183711398155,-0.38881774906519695,-0.3795413606897373,-0.44069002810848623
mid_height,5,0.3921108886190048,-0.08452233290134359,0.8805492872405953,0.9536691004139678,0.4252166536602715,0.35900512357773806,-0.0716817240810741,-0.09736294172161308
mid_height,6,-0.058306108517630406,-0.2027812683644754,1.0376167412880974,1.118521854714299,-0.0687315883656261,-0.04788062866963472,-0.23562960039854275,-0.16993293633040807
balanced_wide,1,0.8951946946908658,-0.4746026033069324,0.5968721995171339,1.4830185726625422,1.006921564594692,0.7834678247870395,-0.6084712007203557,-0.3407340058935091
balanced_wide,2,0.26143463331855443,0.5584100583033216,1.4055279147740425,0.5972502469749382,0.14904257173892965,0.3738266948981792,0.670032152354219,0.4467879642524242
balanced_wide,3,-0.13485017083348438,-0.6231208927059182,0.9264779773805383,0.9194968042608345,-0.11447354226450024,-0.15522679940246853,-0.6008094320068071,-0.6454323534050292
balanced_wide,4,0.44326665862055137,-0.1530422762631698,0.608533554151292,0.6676899638040314,0.5517615840875187,0.334771733153584,-0.06094254973145574,-0.24514200279488385
balanced_wide,5,-0.44141917456141044,0.4633986924710154,0.9334235646953211,1.0842100811669513,-0.42296751551672074,-0.45987083360610015,0.4400598684755952,0.4867375164664356
balanced_wide,6,-0.2758048483762714,-0.7038380451403086,1.2872680429776475,0.8986524319529274,-0.3554211864875292,-0.1961885102650136,-0.6757495666560622,-0.7319265236245549
