method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
cmaes,1,3.0,0.125,0.07,3.0,0.125,0.07,0.4420755918508906,0.4420755918508906,True
cmaes,2,2.952377638231467,0.1379881607004041,0.05643110950204995,2.952377638231467,0.1379881607004041,0.05643110950204995,0.42349849501904424,0.42349849501904424,True
cmaes,3,2.828704899870286,0.10072212483785926,0.08289266505455867,2.952377638231467,0.1379881607004041,0.05643110950204995,0.5242761533994595,0.42349849501904424,True
cmaes,4,4.647774487105887,0.1383378000021553,0.043280846041267036,4.647774487105887,0.1383378000021553,0.043280846041267036,0.1911148954443264,0.1911148954443264,True
cmaes,5,2.5666024324253756,0.11613554134179309,0.06909788023495814,4.647774487105887,0.1383378000021553,0.043280846041267036,0.5302311322138119,0.1911148954443264,True
cmaes,6,3.9542355376115337,0.10371267398048528,0.061105807012278496,4.647774487105887,0.1383378000021553,0.043280846041267036,0.3687201969700451,0.1911148954443264,True
cmaes,7,4.112534295348555,0.1477826535873767,0.09307126040317734,4.647774487105887,0.1383378000021553,0.043280846041267036,0.22871202658720924,0.1911148954443264,True
cmaes,8,2.901093223869884,0.08783219355175235,0.04495687299632324,4.647774487105887,0.1383378000021553,0.043280846041267036,0.5492359799775011,0.1911148954443264,True
cmaes,9,2.3795788420822133,0.09678071421895101,0.06129879994475396,4.647774487105887,0.1383378000021553,0.043280846041267036,0.6004202721813718,0.1911148954443264,True
cmaes,10,2.2387472079247575,0.11370451182252585,0.08433431077383047,4.647774487105887,0.1383378000021553,0.043280846041267036,0.587766500541823,0.1911148954443264,True
cmaes,11,4.439047586283218,0.13239286815550422,0.053527905266758886,4.647774487105887,0.1383378000021553,0.043280846041267036,0.22916434194762889,0.1911148954443264,True
cmaes,12,2.353111966255263,0.13020026991471612,0.05006061011463436,4.647774487105887,0.1383378000021553,0.043280846041267036,0.5405678190744954,0.1911148954443264,True
cmaes,13,4.5972370945991505,0.10518502703940423,0.07494972971411126,4.647774487105887,0.1383378000021553,0.043280846041267036,0.29515352800035793,0.1911148954443264,True
cmaes,14,2.737076464096155,0.14215941099190083,0.08541712103372942,4.647774487105887,0.1383378000021553,0.043280846041267036,0.4511338794319332,0.1911148954443264,True
cmaes,15,3.2712972814413486,0.15123356429747564,0.08129789831962735,4.647774487105887,0.1383378000021553,0.043280846041267036,0.34440797932229605,0.1911148954443264,True
cmaes,16,4.876540096015484,0.15340952595890334,0.07140353349839636,4.876540096015484,0.15340952595890334,0.07140353349839636,0.12822948862302705,0.12822948862302705,True
cmaes,17,2.575884511564367,0.11820723886390215,0.06859654855505176,4.876540096015484,0.15340952595890334,0.07140353349839636,0.5245283652339654,0.12822948862302705,True
cmaes,18,4.9564194180492205,0.1477325901309318,0.042856090647123826,4.876540096015484,0.15340952595890334,0.07140353349839636,0.13572802929878994,0.12822948862302705,True
cmaes,19,2.5581038995101224,0.15166090475865585,0.07563622213717136,4.876540096015484,0.15340952595890334,0.07140353349839636,0.4673253425967052,0.12822948862302705,True
cmaes,20,4.2525488755770375,0.09921915756408028,0.044978303619062014,4.876540096015484,0.15340952595890334,0.07140353349839636,0.3514249920729454,0.12822948862302705,True
cmaes,21,4.01731588427627,0.10448678730089064,0.06694881301836902,4.876540096015484,0.15340952595890334,0.07140353349839636,0.3587762140939118,0.12822948862302705,True
cmaes,22,3.6663514193360327,0.18830407705688695,0.051990298681400836,4.876540096015484,0.15340952595890334,0.07140353349839636,0.2185723735009551,0.12822948862302705,True
cmaes,23,4.507495135699877,0.16844070213869514,0.05682410964235615,4.876540096015484,0.15340952595890334,0.07140353349839636,0.13637716243402614,0.12822948862302705,True
cmaes,24,3.523388307840512,0.11944065854208466,0.09150744260592061,4.876540096015484,0.15340952595890334,0.07140353349839636,0.37754869587049844,0.12822948862302705,True
cmaes,25,4.982858130515783,0.06249223851722546,0.07347095713599507,4.876540096015484,0.15340952595890334,0.07140353349839636,0.4244370151641975,0.12822948862302705,True
cmaes,26,4.205548315213897,0.19353855433309625,0.04110158774769029,4.876540096015484,0.15340952595890334,0.07140353349839636,0.1321316463570824,0.12822948862302705,True
cmaes,27,4.6939843733013085,0.16478373777324737,0.0553612104296747,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.12285482814488999,0.12285482814488999,True
cmaes,28,4.872749553279229,0.0981303040127787,0.04628770436424079,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.29594024474233876,0.12285482814488999,True
cmaes,29,4.102992487644703,0.14106648597099844,0.057112786762288904,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.24675557896514147,0.12285482814488999,True
cmaes,30,4.694770554284818,0.13877085537782796,0.06992462067840521,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.18348722592822844,0.12285482814488999,True
cmaes,31,3.9901879349848235,0.16030487866084842,0.048560845521470816,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.21966483546325954,0.12285482814488999,True
cmaes,32,2.4025213808451285,0.13547380785948163,0.05413841934013164,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.5226843104706664,0.12285482814488999,True
cmaes,33,2.4487125261622817,0.19342644707983753,0.06686284122780492,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.4317291335291787,0.12285482814488999,True
cmaes,34,1.8504334553884845,0.1959752214189059,0.07434326815463489,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.5502585275858198,0.12285482814488999,True
cmaes,35,2.1896250016187913,0.13009835282680335,0.05732630714610909,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.568826006952659,0.12285482814488999,True
cmaes,36,3.5609035953846018,0.18526806701873277,0.040214149663320174,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.24106900023139238,0.12285482814488999,True
cmaes,37,4.881375630123854,0.15395535836447127,0.06031096901407891,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.12690545401127176,0.12285482814488999,True
cmaes,38,3.2550594714571868,0.13641336081985833,0.0534248702707134,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.378198016686719,0.12285482814488999,True
cmaes,39,3.947180409961713,0.11113724878022353,0.04569151526259306,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.3478833595267789,0.12285482814488999,True
cmaes,40,3.508272359948678,0.09243139481152624,0.09424262200358682,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.45609378039889664,0.12285482814488999,True
cmaes,41,3.858237601302548,0.11157896756617863,0.06313258910720408,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.3562850152098723,0.12285482814488999,True
cmaes,42,3.7277814100608797,0.14703494219908783,0.06003622615609345,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.28381870406543397,0.12285482814488999,True
cmaes,43,3.699370193644566,0.17336360859483088,0.04983708851326835,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.23772561936636086,0.12285482814488999,True
cmaes,44,4.884769575305721,0.0959812794861524,0.06698965577471196,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.3016609045035551,0.12285482814488999,True
cmaes,45,4.246021281311041,0.18027624379942636,0.04420121640703385,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.14793592059624844,0.12285482814488999,True
cmaes,46,4.857291914324624,0.1468260132137149,0.06716714662347603,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.14619015961364615,0.12285482814488999,True
cmaes,47,4.29502891501965,0.1464388998326535,0.05849382179714899,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.20977559526517112,0.12285482814488999,True
cmaes,48,3.512354790691642,0.15682414715479753,0.05181163265117526,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.29668910225269857,0.12285482814488999,True
cmaes,49,4.161534088858874,0.16362197742439177,0.06371735423151106,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.18883594256983374,0.12285482814488999,True
cmaes,50,4.188881201429167,0.16768355731118384,0.05019470822255279,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.17804454346752369,0.12285482814488999,True
cmaes,51,4.345991797331465,0.16937444209176722,0.06626247421298287,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.15363707578584593,0.12285482814488999,True
cmaes,52,4.660539375015027,0.15443783516169504,0.057806374555178244,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.1488193059640057,0.12285482814488999,True
cmaes,53,4.65782848207503,0.1515303079278507,0.05781335058738506,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.15587762311550146,0.12285482814488999,True
cmaes,54,4.371405675087906,0.1839245441722206,0.047585977824767624,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.1254179630093065,0.12285482814488999,True
cmaes,55,4.3124545434344235,0.16167120739746008,0.05344078447034705,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.17398553071669337,0.12285482814488999,True
cmaes,56,4.980609449143624,0.13056239743875722,0.05772653316636542,4.6939843733013085,0.16478373777324737,0.0553612104296747,0.17896596377573784,0.12285482814488999,True
cmaes,57,4.530531935633065,0.18549042360905643,0.06347826256393208,4.530531935633065,0.18549042360905643,0.06347826256393208,0.10285879191725038,0.10285879191725038,True
cmaes,58,4.715446068930975,0.15030958166025965,0.06735687868074566,4.530531935633065,0.18549042360905643,0.06347826256393208,0.1521729512834457,0.10285879191725038,True
cmaes,59,3.8208704550028343,0.1788036124398737,0.0600052097297383,4.530531935633065,0.18549042360905643,0.06347826256393208,0.20932521888439107,0.10285879191725038,True
cmaes,60,4.4410154518048515,0.18251995367498058,0.059989312003532205,4.530531935633065,0.18549042360905643,0.06347826256393208,0.11843597187650265,0.10285879191725038,True
cmaes,61,3.892183624033748,0.1580055091395412,0.06025545204583921,4.530531935633065,0.18549042360905643,0.06347826256393208,0.23727227769249715,0.10285879191725038,True
cmaes,62,4.713682022715629,0.15880208780945526,0.0526731830694485,4.530531935633065,0.18549042360905643,0.06347826256393208,0.13361358533156154,0.10285879191725038,True
cmaes,63,3.928714792899048,0.18143598957882917,0.06015259217154373,4.530531935633065,0.18549042360905643,0.06347826256393208,0.18892853477749424,0.10285879191725038,True
cmaes,64,4.744254366469264,0.1745144697880618,0.045513882428682595,4.744254366469264,0.1745144697880618,0.045513882428682595,0.09944056288371025,0.09944056288371025,True
cmaes,65,4.515238809268752,0.19629280487720313,0.06761241240586811,4.515238809268752,0.19629280487720313,0.06761241240586811,0.08827770384229154,0.08827770384229154,True
cmaes,66,4.947158182996123,0.18621058005897756,0.05271929080836249,4.947158182996123,0.18621058005897756,0.05271929080836249,0.06269549805409179,0.06269549805409179,True
cmaes,67,4.891382944275075,0.17853047489646623,0.06547013514603084,4.947158182996123,0.18621058005897756,0.05271929080836249,0.07733703069841957,0.06269549805409179,True
cmaes,68,4.818257996629622,0.1832376259986117,0.04632057066990639,4.947158182996123,0.18621058005897756,0.05271929080836249,0.07763836696800212,0.06269549805409179,True
cmaes,69,4.335837997019211,0.14835124280949244,0.06669630335292465,4.947158182996123,0.18621058005897756,0.05271929080836249,0.19988705402197182,0.06269549805409179,True
cmaes,70,4.415699462782822,0.19353636654576667,0.043014920920807734,4.947158182996123,0.18621058005897756,0.05271929080836249,0.10519544126137988,0.06269549805409179,True
cmaes,71,4.492493261966428,0.19757332345239897,0.04115384829881862,4.947158182996123,0.18621058005897756,0.05271929080836249,0.09059067876015162,0.06269549805409179,True
cmaes,72,4.701307463758937,0.17144857116461037,0.05508171532782379,4.947158182996123,0.18621058005897756,0.05271929080836249,0.10894963776174992,0.06269549805409179,True
cmaes,73,4.3277662568632795,0.17181643376006162,0.06369184841244005,4.947158182996123,0.18621058005897756,0.05271929080836249,0.15138163172133418,0.06269549805409179,True
cmaes,74,4.811515896195244,0.19375334656805038,0.04303893671461643,4.947158182996123,0.18621058005897756,0.05271929080836249,0.06449413500693076,0.06269549805409179,True
cmaes,75,4.878169563332474,0.17061275447754504,0.05054660814313802,4.947158182996123,0.18621058005897756,0.05271929080836249,0.09293417321384781,0.06269549805409179,True
cmaes,76,4.822950049320916,0.15887508815806167,0.05657933322943874,4.947158182996123,0.18621058005897756,0.05271929080836249,0.12184702091013401,0.06269549805409179,True
cmaes,77,4.9765085222297065,0.15191779549107043,0.058828740785804794,4.947158182996123,0.18621058005897756,0.05271929080836249,0.1225878995209324,0.06269549805409179,True
cmaes,78,4.240254677387156,0.18334643203655704,0.04623952791889623,4.947158182996123,0.18621058005897756,0.05271929080836249,0.1433088405075109,0.06269549805409179,True
cmaes,79,4.73478125324331,0.1823270027590882,0.07282599830548168,4.947158182996123,0.18621058005897756,0.05271929080836249,0.08576728846768679,0.06269549805409179,True
cmaes,80,4.86550273812909,0.19123773594432197,0.051574036414301444,4.947158182996123,0.18621058005897756,0.05271929080836249,0.06278963723360174,0.06269549805409179,True
