measurement_id,case_id,method,trial,best_loss,ratio_to_true_input,relative_regret
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1,0.5628434392461068,10.373700474412228,9.494313992839146
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,2,0.3241375768653316,5.974141120675734,5.043601597380355
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,3,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,4,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,5,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,6,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,7,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,8,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,9,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,11,0.07504698610022666,1.3831820734268496,0.39926413179286446
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,12,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,13,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,14,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,15,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,16,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,17,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,18,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,19,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,20,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,21,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,22,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,23,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,24,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,26,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,27,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,28,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,29,0.059903358366568564,1.1040716721127817,0.11690855412007317
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,30,0.059903358366568564,1.1040716721127817,0.11690855412007317
