method,n_measurements,trials_per_measurement,best_trials_total,surrogate_search_s,direct_fixed_budget_mean_est_s,direct_fixed_budget_median_est_s,direct_oracle_best_mean_est_s,direct_oracle_best_median_est_s,surrogate_65_build_s,surrogate_78_benchmark_s,surrogate_65_build_plus_3_validation_s,fixed_budget_speedup_65_build,fixed_budget_speedup_existing_model
cmaes,3,100,280,56.73394909998751,85051.26805555556,39588.9,79737.71581018518,37200.45,18694.994606700002,22989.435606699994,19545.507287255557,4.549413885633028,1499.1247640043848
tpe,3,100,227,57.2432100000151,85051.26805555556,39588.9,64710.330120370374,29701.53,18695.50386760003,22989.94486760002,19546.016548155585,4.549289960724322,1485.7878874286248
random,3,100,209,57.60421900000074,85051.26805555556,39588.9,61797.62818518519,28049.927000000003,18695.864876600015,22990.305876600007,19546.37755715557,4.549202115918521,1476.4763680860679
