measurement_id,case_id,method,budget,best_loss
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.07504698610022666
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.059903358366568564
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,0.059903358366568564
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,100,0.053633180751992575
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,10,0.0873106515488962
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,25,0.05526845786140783
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,50,0.05526845786140783
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,100,0.05413004176383241
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,10,0.07070873316396169
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,25,0.07070873316396169
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,50,0.05512018331455809
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,100,0.05512018331455809
M2,case_td016_pp0_1_gamma_007__steady,cmaes,10,0.8302965258945921
M2,case_td016_pp0_1_gamma_007__steady,cmaes,25,0.550386213362587
M2,case_td016_pp0_1_gamma_007__steady,cmaes,50,0.044486142733604794
M2,case_td016_pp0_1_gamma_007__steady,cmaes,100,0.04426231575676992
M2,case_td016_pp0_1_gamma_007__steady,tpe,10,0.24069909843944792
M2,case_td016_pp0_1_gamma_007__steady,tpe,25,0.04230264164534193
M2,case_td016_pp0_1_gamma_007__steady,tpe,50,0.04230264164534193
M2,case_td016_pp0_1_gamma_007__steady,tpe,100,0.04208608574352204
M2,case_td016_pp0_1_gamma_007__steady,random,10,0.22526419514291482
M2,case_td016_pp0_1_gamma_007__steady,random,25,0.07912377871489888
M2,case_td016_pp0_1_gamma_007__steady,random,50,0.07912377871489888
M2,case_td016_pp0_1_gamma_007__steady,random,100,0.05316142867234856
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,10,0.25859531769592087
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,25,0.08808843656257323
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,50,0.08808843656257323
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,100,0.05720703885789091
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,10,0.2330311659631814
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,25,0.050669219732189644
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,50,0.05064677265766859
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,100,0.05046057658553898
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,10,0.1353051299233825
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,25,0.06166478266738769
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,50,0.06166478266738769
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,100,0.056881740069373354
