method,n_measurements,mean_sensor_loss,max_sensor_loss,mean_profile_truth_rel_l2,max_profile_truth_rel_l2,mean_fullfield_truth_rel_l2,max_fullfield_truth_rel_l2,mean_condition_normalized_rmse,mean_last_improvement_trial,mean_final_relative_regret,true_input_1p10_success_cases,true_input_1p10_median_hit_trial,true_input_1p00_success_cases,true_input_1p00_median_hit_trial,regret_10pct_success_cases,regret_10pct_median_hit_trial,profile_truth_improved_cases,fullfield_truth_improved_cases,optimizer_wall_s,invalid_trials
cmaes,3,0.05170084512221781,0.05720703885789091,0.015483324619612458,0.02324832936337485,0.029664815473953388,0.03265267214124958,0.2884554547099171,93.33333333333333,0.061802233123401086,2,58.5,2,60.5,2,58.5,3,3,56.73394909998751,0
tpe,3,0.04889223469763115,0.05413004176383241,0.015729473120788155,0.01697937917635247,0.029150052291291792,0.04135708384152741,0.30720779473415116,75.66666666666667,0.0030880200457585882,3,16.0,2,39.5,3,16.0,3,3,57.2432100000151,0
random,3,0.05505445068542667,0.056881740069373354,0.02866770910941163,0.046709992799140704,0.052083767395490144,0.0819586124612377,0.24918444450514746,69.66666666666667,0.1393785893646388,1,44.0,0,,1,44.0,3,3,57.60421900000074,0
