representation,display_name,case_id,relative_rmse,r2,audit_physical_rel_l2,signed_error_percent_mean,signed_error_percent_abs_mean,signed_error_percent_abs_p99,signed_error_percent_abs_max
dimension,Dimension vector,case_g011_op03,0.0573737653233854,0.9920009569608844,0.05736325901694594,1.8646223015381957,1.9670353727891876,6.9243061626424405,7.800081518862186
sdf,Union SDF,case_g011_op03,0.034142128176939505,0.9971673526852194,0.03416850883698023,0.1631811443477351,1.2236175461834582,4.468587893501417,5.518288285942443
