model,primary_r2,ne_r2,ni_r2,Te_r2,phi_r2,selected_epoch,train_seconds,run
unet,0.8548261803985165,0.837361175891015,0.837506654118695,0.8468374782834052,0.8975994133009507,70.0,,runs\icp_stage4_core4\struct_spatial_v1_compact_fast_e80_primary\full\unet
ffno,0.7770014259073372,0.5852670323327576,0.5865364042139398,0.9563247240632936,0.9798775430193579,60.0,3431.974782699999,runs\icp_stage4_core4\struct_spatial_v1_realistic_e80_primary\full\ffno
cno,0.7569201464650375,0.5699715905523168,0.5691002489465299,0.9445374509609209,0.9440712954003818,75.0,3095.713587099999,runs\icp_stage4_core4\struct_spatial_v1_realistic_e80_primary\full\cno
