model_id,param,default,min,max,best,delta_from_default
ffno,layout.coil_01.height,0.5543,0.415725,0.692875,0.4697515817689814,-0.08454841823101861
ffno,layout.coil_01.r_center,4.02295,3.5729499999999996,4.47295,4.142217199078606,0.11926719907860583
ffno,layout.coil_01.width,0.5543,0.415725,0.692875,0.6017357045533676,0.04743570455336754
ffno,layout.coil_01.z_center,15.17845,14.72845,15.628449999999999,15.452898016052085,0.27444801605208546
ffno,layout.coil_02.height,0.5543,0.415725,0.692875,0.6323793769536497,0.07807937695364964
ffno,layout.coil_02.r_center,8.348616667,7.898616667,8.798616667,8.354365996859528,0.0057493298595279185
ffno,layout.coil_02.width,0.5543,0.415725,0.692875,0.631643277028495,0.07734327702849497
ffno,layout.coil_02.z_center,15.17845,14.72845,15.628449999999999,14.79412911299853,-0.38432088700147027
ffno,layout.coil_03.height,0.5543,0.415725,0.692875,0.6780681181249013,0.1237681181249013
ffno,layout.coil_03.r_center,12.67428333,12.22428333,13.124283329999999,12.380688930101739,-0.29359439989826086
ffno,layout.coil_03.width,0.5543,0.415725,0.692875,0.5042582378661624,-0.0500417621338376
ffno,layout.coil_03.z_center,15.17845,14.72845,15.628449999999999,14.90350926586825,-0.27494073413175
ffno,layout.coil_04.height,0.5543,0.415725,0.692875,0.4931513325812534,-0.06114866741874664
ffno,layout.coil_04.r_center,16.99995,16.54995,17.449949999999998,16.64751520691041,-0.35243479308958925
ffno,layout.coil_04.width,0.5543,0.415725,0.692875,0.4815340880487815,-0.07276591195121851
ffno,layout.coil_04.z_center,15.17845,14.72845,15.628449999999999,14.768334305600888,-0.4101156943991118
ffno,layout.coil_05.height,0.5543,0.415725,0.692875,0.5286187823594624,-0.025681217640537657
ffno,layout.coil_05.r_center,21.32561667,20.87561667,21.775616669999998,21.717727558619004,0.3921108886190048
ffno,layout.coil_05.width,0.5543,0.415725,0.692875,0.488088469917462,-0.066211530082538
ffno,layout.coil_05.z_center,15.17845,14.72845,15.628449999999999,15.093927667098656,-0.08452233290134359
ffno,layout.coil_06.height,0.5543,0.415725,0.692875,0.6199966640681359,0.0656966640681359
ffno,layout.coil_06.r_center,25.65128333,25.20128333,26.101283329999998,25.592977221482368,-0.058306108517630406
ffno,layout.coil_06.width,0.5543,0.415725,0.692875,0.5751509596959924,0.020850959695992377
ffno,layout.coil_06.z_center,15.17845,14.72845,15.628449999999999,14.975668731635524,-0.2027812683644754
unet,layout.coil_01.height,0.5543,0.415725,0.692875,0.49762408855086004,-0.05667591144913997
unet,layout.coil_01.r_center,4.02295,3.5729499999999996,4.47295,3.89629146090032,-0.12665853909967995
unet,layout.coil_01.width,0.5543,0.415725,0.692875,0.41859083272181613,-0.13570916727818388
unet,layout.coil_01.z_center,15.17845,14.72845,15.628449999999999,15.23440066263065,0.05595066263065007
unet,layout.coil_02.height,0.5543,0.415725,0.692875,0.5678533515231191,0.013553351523119095
unet,layout.coil_02.r_center,8.348616667,7.898616667,8.798616667,7.979151895635647,-0.36946477136435263
unet,layout.coil_02.width,0.5543,0.415725,0.692875,0.48479950886633694,-0.06950049113366308
unet,layout.coil_02.z_center,15.17845,14.72845,15.628449999999999,15.542307228342338,0.36385722834233825
unet,layout.coil_03.height,0.5543,0.415725,0.692875,0.5371897527709134,-0.017110247229086606
unet,layout.coil_03.r_center,12.67428333,12.22428333,13.124283329999999,12.458691954953808,-0.2155913750461913
unet,layout.coil_03.width,0.5543,0.415725,0.692875,0.6548181370883355,0.10051813708833546
unet,layout.coil_03.z_center,15.17845,14.72845,15.628449999999999,15.13855440821652,-0.039895591783480455
unet,layout.coil_04.height,0.5543,0.415725,0.692875,0.589040345869076,0.03474034586907604
unet,layout.coil_04.r_center,16.99995,16.54995,17.449949999999998,17.363415843729186,0.36346584372918755
unet,layout.coil_04.width,0.5543,0.415725,0.692875,0.5667655279972985,0.012465527997298498
unet,layout.coil_04.z_center,15.17845,14.72845,15.628449999999999,14.870210821317176,-0.3082391786828236
unet,layout.coil_05.height,0.5543,0.415725,0.692875,0.6135900932757312,0.059290093275731204
unet,layout.coil_05.r_center,21.32561667,20.87561667,21.775616669999998,21.717573553353482,0.3919568833534832
unet,layout.coil_05.width,0.5543,0.415725,0.692875,0.5316640182295606,-0.02263598177043946
unet,layout.coil_05.z_center,15.17845,14.72845,15.628449999999999,15.324018581301331,0.14556858130133143
unet,layout.coil_06.height,0.5543,0.415725,0.692875,0.6580287408259775,0.1037287408259775
unet,layout.coil_06.r_center,25.65128333,25.20128333,26.101283329999998,25.341798829303652,-0.30948450069634603
unet,layout.coil_06.width,0.5543,0.415725,0.692875,0.6325838968260059,0.0782838968260059
unet,layout.coil_06.z_center,15.17845,14.72845,15.628449999999999,15.154909020852832,-0.023540979147167462
