method,n_measurements,trials_per_measurement,best_trials_total,surrogate_search_s,direct_fixed_budget_mean_est_s,direct_fixed_budget_median_est_s,direct_oracle_best_mean_est_s,direct_oracle_best_median_est_s,surrogate_65_build_s,surrogate_78_benchmark_s,surrogate_65_build_plus_3_validation_s,fixed_budget_speedup_65_build,fixed_budget_speedup_existing_model
cmaes,3,100,230,56.438574300002074,85051.26805555556,39588.9,65488.881356481485,31289.286,18694.699231900016,22989.140231900008,19545.211912455572,4.549485766020075,1506.970526992076
tpe,3,100,195,57.35167270002421,85051.26805555556,39588.9,58721.05806481482,26460.896,18695.61233030004,22990.05333030003,19546.125010855594,4.549263567993047,1482.9779856711948
random,3,100,152,57.38615639999625,85051.26805555556,39588.9,48101.435046296305,21152.903,18695.64681400001,22990.087814000002,19546.159494555566,4.549255176978736,1482.0868549328582
