case_id,coil_index,active,order,r_min,r_max,z_min,z_max,r_center,z_center,width,height,pitch
best,1,1,1,2.477758101375176,4.318396980937795,8.231914207856637,10.072553087419255,3.3980775411564856,9.152233647637946,1.840638879562619,1.840638879562619,10.638907225493671
best,2,1,2,13.116665326868848,14.957304206431466,8.231914207856637,10.072553087419255,14.036984766650157,9.152233647637946,1.840638879562619,1.840638879562619,10.638907225493671
best,3,0,3,nan,nan,nan,nan,nan,nan,0.0,0.0,10.638907225493671
best,4,0,4,nan,nan,nan,nan,nan,nan,0.0,0.0,10.638907225493671
best,5,0,5,nan,nan,nan,nan,nan,nan,0.0,0.0,10.638907225493671
best,6,0,6,nan,nan,nan,nan,nan,nan,0.0,0.0,10.638907225493671
