seed,dataset_size,model_id,family,status,seconds,leaderboard,diagnostics,run_root,validation_selection_metric,validation_selection_value,validation_selection_mode,validation_selection_reliable,selection_split,protocol_variant,scaler_fit_split,loss_protocol_definition_hash,quality_score_definition_hash,split_hash,target_schema_hash,feature_schema_hash,surrogate_quality_score,test_r2_plasma_mean,score_spatial_huber_component,score_avgpool_huber_component,score_gradient_huber_component,test_rmse_ne_plasma,test_r2_ne_plasma,score_total_ne,score_physical_rel_l2_median_ne,score_physical_rel_l2_p90_ne,score_physical_rel_l2_worst_ne,score_physical_gradient_rel_l2_median_ne,score_physical_gradient_rel_l2_p90_ne,score_physical_gradient_rel_l2_worst_ne,test_rmse_ne_boundary_to_deep_ratio,test_neg_ratio_ne_plasma,test_rmse_ni_plasma,test_r2_ni_plasma,score_total_ni,score_physical_rel_l2_median_ni,score_physical_rel_l2_p90_ni,score_physical_rel_l2_worst_ni,score_physical_gradient_rel_l2_median_ni,score_physical_gradient_rel_l2_p90_ni,score_physical_gradient_rel_l2_worst_ni,test_rmse_ni_boundary_to_deep_ratio,test_neg_ratio_ni_plasma,test_rmse_Te_plasma,test_r2_Te_plasma,score_total_Te,score_physical_rel_l2_median_Te,score_physical_rel_l2_p90_Te,score_physical_rel_l2_worst_Te,score_physical_gradient_rel_l2_median_Te,score_physical_gradient_rel_l2_p90_Te,score_physical_gradient_rel_l2_worst_Te,test_rmse_Te_boundary_to_deep_ratio,test_neg_ratio_Te_plasma,test_rmse_phi_plasma,test_r2_phi_plasma,score_total_phi,score_physical_rel_l2_median_phi,score_physical_rel_l2_p90_phi,score_physical_rel_l2_worst_phi,score_physical_gradient_rel_l2_median_phi,score_physical_gradient_rel_l2_p90_phi,score_physical_gradient_rel_l2_worst_phi,test_rmse_phi_boundary_to_deep_ratio
411,78,deeponet_pod,pod_operator,passed,434.0,runs/gec_ccp_pod_branch_tuned_v2/final/seed_411/n78/deeponet_pod/leaderboard.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_411/n78/deeponet_pod/diagnostics/diagnostics.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_411/n78/deeponet_pod,selected_epoch_score,0.06279771854498264,min,True,interp,pod_branch_tuned_v2_final_three_seed_n78_seed411,interp,fa85b4f0f30678c67474a90e56121a29d93d074cea03f18f7887a3cade5bb9d3,33bc33dd17cd65bec0e72356881fc17dbcc35b8cf0780566739ff34b86810a62,03902108ac9c1c2e969e080e66bd06b58d2d45e8,2437e1810927827d288930c31cffd890c1cb7f7641ce448588792ffca2cccad7,17c29ecf1caecb23a081528434d87daff4a92d80fe33936b3ff4fcc8673253a2,0.0010785650308594086,0.9990539305539419,0.0005113188429580381,0.00034718904256199795,5.2422688668229966e-05,47323832578051.18,0.999441957050031,0.0004974153422654126,0.02152478500913011,0.04132899589540226,0.04648783781731108,0.055901778489649646,0.09204965238302296,0.11561384668957837,0.4608914620281903,9.426848009752575e-06,50010727631535.15,0.9993648784799903,0.0005251284876612772,0.022480614136901417,0.03768491228461797,0.04223929864535189,0.07682419211463389,0.10437229424261997,0.10772568035895703,0.4873244053136755,2.51382607530104e-05,0.2857207884075087,0.9978415897439733,0.002139893463754561,0.035867079097692364,0.07254730793641079,0.08203217469351633,0.1488198847746821,0.34866375588044035,0.38726900317061336,10.07661885621969,0.00014768728578928858,0.4923313500555236,0.999567296941773,0.0005845297138603201,0.012504387390661379,0.027101434099511306,0.028385884632331368,0.026096762787217617,0.05499857963665273,0.06731635758424889,11.714435760838809
412,78,deeponet_pod,pod_operator,passed,437.3,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/diagnostics/diagnostics.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,selected_epoch_score,0.057746245110952284,min,True,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,fa85b4f0f30678c67474a90e56121a29d93d074cea03f18f7887a3cade5bb9d3,33bc33dd17cd65bec0e72356881fc17dbcc35b8cf0780566739ff34b86810a62,03902108ac9c1c2e969e080e66bd06b58d2d45e8,2437e1810927827d288930c31cffd890c1cb7f7641ce448588792ffca2cccad7,17c29ecf1caecb23a081528434d87daff4a92d80fe33936b3ff4fcc8673253a2,0.0009842077849405466,0.9991494903540845,0.00045834690051075694,0.00031394916732097045,5.068227668895512e-05,48370657201042.06,0.9994169956656545,0.000465996029681719,0.021108390037401642,0.04930705583593011,0.06275423650467471,0.05727635387364116,0.11266956442187319,0.12770431797852,0.5333209632001543,0.0,43052365471232.76,0.9995293213292678,0.00040743622282775506,0.021099862244302353,0.05114611278823804,0.05380230033038736,0.08133973953422467,0.11829750223749612,0.1257611692954622,0.523429060956547,1.5711413652752526e-05,0.27467267259437056,0.9980052833038409,0.0020197385522624247,0.0363744758125264,0.06751510050607988,0.08979476216050364,0.13741858156217682,0.3298790039587361,0.4044933427291383,9.9890564096158,0.0002011060860240832,0.4450845442521695,0.9996463611175749,0.0004961686763044782,0.014259219931080687,0.021289490136199296,0.03205087480268214,0.02520269865811489,0.04507421629423956,0.08172578717029835,9.518655127679818
413,78,deeponet_pod,pod_operator,passed,435.3,runs/gec_ccp_pod_branch_tuned_v2/final/seed_413/n78/deeponet_pod/leaderboard.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_413/n78/deeponet_pod/diagnostics/diagnostics.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_413/n78/deeponet_pod,selected_epoch_score,0.06869660000685318,min,True,interp,pod_branch_tuned_v2_final_three_seed_n78_seed413,interp,fa85b4f0f30678c67474a90e56121a29d93d074cea03f18f7887a3cade5bb9d3,33bc33dd17cd65bec0e72356881fc17dbcc35b8cf0780566739ff34b86810a62,03902108ac9c1c2e969e080e66bd06b58d2d45e8,2437e1810927827d288930c31cffd890c1cb7f7641ce448588792ffca2cccad7,17c29ecf1caecb23a081528434d87daff4a92d80fe33936b3ff4fcc8673253a2,0.0014428154711204875,0.9988260657894157,0.000606350341210297,0.00038787447071323794,5.691241995009477e-05,46308139078480.81,0.9994656541198972,0.00048699392333219295,0.02297257419694535,0.03948842666283789,0.046038536438867766,0.05422473600864746,0.09651447508932993,0.10364662756385876,0.47924464772865527,0.0,64094364514756.15,0.9989567937664814,0.0008890273343718036,0.03064045869624363,0.07527231647274307,0.10911405788948901,0.09224237079230473,0.14058862793250032,0.15841712307545902,0.4960437783849159,2.1995978386257775e-05,0.30577427368578974,0.997527978732469,0.0026153504315880134,0.03580720954169147,0.07229935857689879,0.08749498790788526,0.15774338160138426,0.353680682906994,0.4208669765833109,10.478692445553754,0.00021995978022459894,0.601635849953264,0.9993538365388149,0.0010250853529214514,0.01566557357680881,0.028225771805978482,0.032505462504967705,0.03184641616321771,0.06926087299565693,0.08609012777932216,12.300807218453508
