model_id,trial,value,best_so_far,poisson_residual_norm,boundary_gamma_uniformity
ffno,0,0.3415952055000769,0.3415952055000769,0.026729490607976913,0.7898934576975376
ffno,1,0.34302167402171163,0.3415952055000769,0.0267794132232666,0.7961660169226135
ffno,2,0.3340553183223033,0.3340553183223033,0.02667437121272087,0.7920658883079064
ffno,3,0.34208773923438784,0.3340553183223033,0.026721740141510963,0.7939596306441916
ffno,4,0.34674110732277097,0.3340553183223033,0.026749184355139732,0.7894342954655558
ffno,5,0.3515811283594954,0.3340553183223033,0.026714738458395004,0.7981741453440725
ffno,6,0.34568422904063306,0.3340553183223033,0.026557864621281624,0.79075548054376
ffno,7,0.33018372875186164,0.33018372875186164,0.02657158300280571,0.789720835645768
ffno,8,0.3513765148248407,0.33018372875186164,0.026549888774752617,0.7921819777148927
ffno,9,0.3307090118190576,0.33018372875186164,0.026689739897847176,0.7955014872667123
ffno,10,0.35150575106936993,0.33018372875186164,0.026748640462756157,0.7992083235829108
ffno,11,0.33702108516353346,0.33018372875186164,0.026777667924761772,0.7944947271162981
ffno,12,0.3478489775347324,0.33018372875186164,0.02673867903649807,0.7964947927862918
ffno,13,0.3391720517663728,0.33018372875186164,0.02677597478032112,0.7926769320702559
ffno,14,0.3601025151597805,0.33018372875186164,0.02665264718234539,0.79581260030574
ffno,15,0.3456291634497636,0.33018372875186164,0.026555174961686134,0.7885074218693853
ffno,16,0.34539055675611197,0.33018372875186164,0.02662496455013752,0.7897649150049298
ffno,17,0.343854847020874,0.33018372875186164,0.026650551706552505,0.7967783686201696
ffno,18,0.33914190048821685,0.33018372875186164,0.026495475322008133,0.7942592911851514
ffno,19,0.32359612845995506,0.32359612845995506,0.026741672307252884,0.7948405464405702
ffno,20,0.34616953994541827,0.32359612845995506,0.02672690898180008,0.798571371924125
ffno,21,0.3423093319516509,0.32359612845995506,0.026581022888422012,0.7842432629196657
ffno,22,0.34060845707049286,0.32359612845995506,0.026686882600188255,0.7896837721481146
ffno,23,0.33332710194318294,0.32359612845995506,0.026707280427217484,0.7938422909531943
ffno,24,0.3434914308154337,0.32359612845995506,0.02676604688167572,0.7966523157586839
ffno,25,0.33176687780359987,0.32359612845995506,0.02667388506233692,0.7877272075291261
ffno,26,0.34520644044608456,0.32359612845995506,0.026665542274713516,0.790358924026583
ffno,27,0.35338391359832505,0.32359612845995506,0.0266110822558403,0.7916083920609714
ffno,28,0.3385426710813073,0.32359612845995506,0.026626132428646088,0.7883836595409498
ffno,29,0.3372036678540728,0.32359612845995506,0.026636430993676186,0.7878841301675572
ffno,30,0.32771414714017394,0.32359612845995506,0.026798812672495842,0.7943778541495657
ffno,31,0.33721277534685085,0.32359612845995506,0.02669370360672474,0.7895994633221038
ffno,32,0.35036355308367756,0.32359612845995506,0.02673482336103916,0.7941778497692528
ffno,33,0.3502018290048963,0.32359612845995506,0.02678620256483555,0.798764487168741
ffno,34,0.34352078762021715,0.32359612845995506,0.02668958716094494,0.788651181466232
