model_id,param,default,min,max,best,delta_from_default
ffno,layout.coil_01.height,0.5543,0.415725,0.692875,0.4358041237003924,-0.11849587629960762
ffno,layout.coil_01.r_center,4.02295,3.5729499999999996,4.47295,3.617012046400727,-0.40593795359927265
ffno,layout.coil_01.width,0.5543,0.415725,0.692875,0.6766786584807352,0.12237865848073515
ffno,layout.coil_01.z_center,15.17845,14.72845,15.628449999999999,14.886277981125076,-0.2921720188749237
ffno,layout.coil_02.height,0.5543,0.415725,0.692875,0.530773787082793,-0.023526212917207023
ffno,layout.coil_02.r_center,8.348616667,7.898616667,8.798616667,8.397864525083442,0.0492478580834419
ffno,layout.coil_02.width,0.5543,0.415725,0.692875,0.5281694192277355,-0.02613058077226449
ffno,layout.coil_02.z_center,15.17845,14.72845,15.628449999999999,14.959369292709948,-0.21908070729005225
ffno,layout.coil_03.height,0.5543,0.415725,0.692875,0.6702538635472389,0.11595386354723891
ffno,layout.coil_03.r_center,12.67428333,12.22428333,13.124283329999999,13.080678300650789,0.4063949706507888
ffno,layout.coil_03.width,0.5543,0.415725,0.692875,0.5612637900651214,0.006963790065121378
ffno,layout.coil_03.z_center,15.17845,14.72845,15.628449999999999,15.586047136981529,0.4075971369815292
ffno,layout.coil_04.height,0.5543,0.415725,0.692875,0.5059766940201261,-0.04832330597987389
ffno,layout.coil_04.r_center,16.99995,16.54995,17.449949999999998,16.765829292402195,-0.23412070759780335
ffno,layout.coil_04.width,0.5543,0.415725,0.692875,0.5652709337677014,0.010970933767701418
ffno,layout.coil_04.z_center,15.17845,14.72845,15.628449999999999,15.628073030931366,0.4496230309313667
ffno,layout.coil_05.height,0.5543,0.415725,0.692875,0.4673677286035484,-0.0869322713964516
ffno,layout.coil_05.r_center,21.32561667,20.87561667,21.775616669999998,21.42177333945005,0.09615666945004975
ffno,layout.coil_05.width,0.5543,0.415725,0.692875,0.5814174224987739,0.027117422498773913
ffno,layout.coil_05.z_center,15.17845,14.72845,15.628449999999999,15.423112285005008,0.24466228500500797
ffno,layout.coil_06.height,0.5543,0.415725,0.692875,0.5486680988785743,-0.005631901121425753
ffno,layout.coil_06.r_center,25.65128333,25.20128333,26.101283329999998,25.84716426977284,0.1958809397728416
ffno,layout.coil_06.width,0.5543,0.415725,0.692875,0.6457072411859497,0.09140724118594967
ffno,layout.coil_06.z_center,15.17845,14.72845,15.628449999999999,15.062737768280574,-0.11571223171942613
unet,layout.coil_01.height,0.5543,0.415725,0.692875,0.5400706469322936,-0.014229353067706452
unet,layout.coil_01.r_center,4.02295,3.5729499999999996,4.47295,3.9268203209484174,-0.09612967905158243
unet,layout.coil_01.width,0.5543,0.415725,0.692875,0.4279288991564014,-0.1263711008435986
unet,layout.coil_01.z_center,15.17845,14.72845,15.628449999999999,15.611287399159332,0.4328373991593324
unet,layout.coil_02.height,0.5543,0.415725,0.692875,0.6120070673594062,0.05770706735940623
unet,layout.coil_02.r_center,8.348616667,7.898616667,8.798616667,8.752707686467073,0.4040910194670726
unet,layout.coil_02.width,0.5543,0.415725,0.692875,0.533198624656698,-0.02110137534330203
unet,layout.coil_02.z_center,15.17845,14.72845,15.628449999999999,15.347953587384323,0.16950358738432314
unet,layout.coil_03.height,0.5543,0.415725,0.692875,0.5284922774302414,-0.025807722569758607
unet,layout.coil_03.r_center,12.67428333,12.22428333,13.124283329999999,12.333375907197848,-0.340907422802152
unet,layout.coil_03.width,0.5543,0.415725,0.692875,0.6804106571659392,0.12611065716593917
unet,layout.coil_03.z_center,15.17845,14.72845,15.628449999999999,15.616289195849165,0.43783919584916475
unet,layout.coil_04.height,0.5543,0.415725,0.692875,0.42162690494636634,-0.13267309505363367
unet,layout.coil_04.r_center,16.99995,16.54995,17.449949999999998,17.268492500131497,0.26854250013149894
unet,layout.coil_04.width,0.5543,0.415725,0.692875,0.5502530917554973,-0.004046908244502712
unet,layout.coil_04.z_center,15.17845,14.72845,15.628449999999999,14.892130019879728,-0.2863199801202718
unet,layout.coil_05.height,0.5543,0.415725,0.692875,0.6753625131652001,0.12106251316520011
unet,layout.coil_05.r_center,21.32561667,20.87561667,21.775616669999998,21.14236020762216,-0.18325646237783744
unet,layout.coil_05.width,0.5543,0.415725,0.692875,0.5066050243682785,-0.04769497563172154
unet,layout.coil_05.z_center,15.17845,14.72845,15.628449999999999,15.605740423816577,0.42729042381657756
unet,layout.coil_06.height,0.5543,0.415725,0.692875,0.5254834936444487,-0.02881650635555133
unet,layout.coil_06.r_center,25.65128333,25.20128333,26.101283329999998,26.069205846795775,0.41792251679577674
unet,layout.coil_06.width,0.5543,0.415725,0.692875,0.4159014677641996,-0.1383985322358004
unet,layout.coil_06.z_center,15.17845,14.72845,15.628449999999999,14.849087299298768,-0.32936270070123186
