coil,before_r_center,after_r_center,dr_center,before_z_center,after_z_center,dz_center,before_width,after_width,width_ratio,before_height,after_height,height_ratio,dr_min,dr_max,dz_min,dz_max
1,4.02295,6.196200870114004,2.1732508701140043,15.17845,15.401689982990229,0.22323998299022918,0.5543,0.7588982327924594,1.3691110099088208,0.5543,0.5508117556697656,0.9937069378851986,2.0709517537177744,2.275549986510234,0.22498410515534673,0.22149586082511163
2,8.348616667,5.982695922419229,-2.3659207445807713,15.17845,13.085178866761334,-2.093271133238666,0.5543,0.5157617510132335,0.9304740231160626,0.5543,0.36657954276487814,0.6613378004056976,-2.3466516200873873,-2.3851898690741553,-1.9994109046211044,-2.1871313618562276
3,12.67428333,14.339410102174002,1.665126772174002,15.17845,16.403827203354833,1.2253772033548334,0.5543,0.9482025284356985,1.7106305762866651,0.5543,0.7610333796023241,1.3729629796181202,1.468175507956154,1.8620780363918499,1.122010513553672,1.3287438931559947
4,16.99995,19.110440607144163,2.1104906071441647,15.17845,17.31451858105745,2.136068581057449,0.5543,0.708109397765684,1.277484029885773,0.5543,0.44018234974875536,0.7941229474089038,2.0335859082613226,2.187395306027007,2.1931274061830734,2.079009755931825
5,21.32561667,22.558197652298407,1.2325809822984084,15.17845,16.015471875488057,0.8370218754880572,0.5543,0.8806024472249538,1.588674810075688,0.5543,0.9731781479578073,1.7556885223846423,1.0694297586859314,1.3957322059108854,0.6275828015091545,1.0464609494669617
6,25.65128333,26.969369217022276,1.3180858870222778,15.17845,14.73982752908568,-0.4386224709143196,0.5543,0.3443918732738804,0.6213095314340256,0.5543,0.9113129844728742,1.6440789905698614,1.4230399503853377,1.213131823659218,-0.6171289631507566,-0.2601159786778826
