figure_id,path,split,model,case_id,case_hash,target,notes
F30_spatial_gt_pred_error_interp,docs\reports\icddps_invited_talk\figures\spatial_fields\F30_spatial_gt_pred_error_interp.png,interp,coord_mlp_pod_residual,case_td003_pp0_5_gamma_007__steady,a40814871c5759b4b72e3b6278ba595098d7fc3e,,78-case saved interp; high all-plasma R2 case among saved inference
F31_spatial_gt_pred_error_extrap,docs\reports\icddps_invited_talk\figures\spatial_fields\F31_spatial_gt_pred_error_extrap.png,extrap,coord_mlp_pod_residual,case_td030_pa200_pp0_5_gamma_010__steady,8fc21073606208c04c6e882d0e697579a65073c7,,78-case saved extrap; close to median all-plasma R2 among full metrics
F32_model_comparison_one_case,docs\reports\icddps_invited_talk\figures\spatial_fields\F32_model_comparison_one_case.png,interp,"global_mlp,deeponet_pod,coord_mlp_pod_residual,fno,ffno",case_td003_pp0_5_gamma_007__steady,a40814871c5759b4b72e3b6278ba595098d7fc3e,"Te,phi",78-case model comparison on the same saved high-quality interp case
F33_error_map_boundary_failure_case,docs\reports\icddps_invited_talk\figures\spatial_fields\F33_error_map_boundary_failure_case.png,extrap,coord_mlp_pod_residual,case_td003_pa050_pp0_5_gamma_004__steady,6fb5256a05de9bb1eb099d0990f8d6adaf89488c,phi,78-case percent-normalized conference figure
F34_te_deep_failure_case,docs\reports\icddps_invited_talk\figures\spatial_fields\F34_te_deep_failure_case.png,interp,coord_mlp_pod_residual,case_td003_pa200_pp0_1_gamma_010__steady,436360fc9f4a30360ba85cd7a4aad5c39963d97b,Te,78-case percent-normalized conference figure
