method,effective_sampler,loss,PP0,PA,gamma,PP0_abs_error,PA_abs_error,gamma_abs_error,condition_normalized_rmse,profile_sensor_rel_l2,profile_truth_rel_l2,fullfield_truth_rel_l2,wall_s,n_trials,invalid_trials
cmaes,cmaes,0.05597905614288291,2.2073311283250456,0.08638198978192002,0.09098237345408536,0.7926688716749544,0.03638198978192002,0.009017626545914648,0.200571946989707,0.05597905614288291,0.02248342572433389,0.05527515343843621,19.49482480000006,100,0
tpe,tpe,0.05384094708295357,2.789169591581624,0.05714123702201164,0.07164414554389521,0.21083040841837608,0.007141237022011637,0.028355854456104793,0.2759185288502454,0.05384094708295357,0.015238354416079793,0.028249558918335076,19.30331619999197,100,0
random,random,0.05479646723973834,2.3198094321608598,0.07975031411581623,0.07395671852636251,0.6801905678391402,0.02975031411581623,0.026043281473637492,0.29249308669312973,0.05479646723973834,0.018554854957524635,0.047257879130804294,19.60703270000522,100,0
