bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_negative_penalty,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings,cand_pp,cand_pp0,cand_sampler_area_proxy,cand_sampler_fill_ratio,cand_sampler_min_gap,cand_sampler_nncoil_effective,cand_sampler_pitch,cand_sampler_r_center_mean,cand_sampler_r_center_std,cand_sampler_rank,cand_sampler_span_r,cand_sampler_structure_signature,cand_sampler_z_max,cand_sampler_z_min,cand_series.llcoil,cand_series.nncoil,cand_series.rrc,cand_series.rrce,cand_series.zzc,sampler_area_proxy,sampler_fill_ratio,sampler_min_gap,sampler_nncoil_effective,sampler_pitch,sampler_r_center_mean,sampler_r_center_std,sampler_span_r,sampler_z_min,sampler_z_max,nncoil_eff_int,span_r,fill_ratio,area_proxy,r_mid,z_min,z_max,radial_compactness
0.0,0.635396482563336,14.97781467437744,2.2786741155585264,0.1174223501836472,0.0,0.1174223501836472,0.267567269951526,0.0300259683281183,2777.059202581465,0.0994044848511219,0.9322004616260527,1.9374244858821237,6.0,6.0,2.8696249475081763,3.4557164907455444,20.6734661757946,0.8308439701795578,450,0.1174223501836472,"ood:cond:pp:2777.06 outside [505.725,2097.14]",2777.059202581465,0.0994044848511219,5.213985919952393,0.3248509748409889,1.9374244858821237,6.0,2.8696249475081763,11.09587860107422,4.900817394256592,450,17.217749685049057,8fa11e9cfd359ee4,15.76304443180561,14.830843970179558,0.9322004616260527,6.0,3.4557164907455444,20.6734661757946,0.8308439701795578,5.213985919952393,0.3248509748409889,1.9374244858821237,6.0,2.8696249475081763,11.09587860107422,4.900817394256592,17.217749685049057,14.830843970179558,15.76304443180561,6,17.217749685049057,0.3248509748409889,5.213985919952393,12.064591333270073,14.830843970179558,15.76304443180561,0.3248509748409889
0.0,0.6194675834733913,15.181976318359377,2.2536455865352845,0.1179536181500383,0.0,0.1179536181500383,0.265825650959702,0.0300194770097732,2832.2948422700165,0.0996542206075191,0.8295598924160004,6.081246544917424,3.0,3.0,6.910806437333425,2.6726828813552856,23.40510219335556,0.430217795073986,147,0.1179536181500383,"ood:cond:pp:2832.29 outside [505.725,2097.14]",2832.2948422700165,0.0996542206075191,2.0645089149475098,0.1200380736949262,6.081246544917424,3.0,6.910806437333425,9.998269081115724,5.6426496505737305,147,20.732419312000275,c1667ea2fa64d1c6,15.259777687489986,14.430217795073986,0.8295598924160004,3.0,2.6726828813552856,23.40510219335556,0.430217795073986,2.0645089149475098,0.1200380736949262,6.081246544917424,3.0,6.910806437333425,9.998269081115724,5.6426496505737305,20.732419312000275,14.430217795073986,15.259777687489986,3,20.732419312000275,0.1200380736949262,2.0645089149475098,13.038892537355423,14.430217795073986,15.259777687489986,0.12003807369492625
0.0,0.6349768571765906,15.31629753112793,2.1378686446665736,0.1239560931465181,0.0,0.1239560931465181,0.2650018448533103,0.0305127128958702,2777.834901774585,0.0970497031972408,0.5244384128600359,4.048551676794887,4.0,4.0,4.5729900896549225,3.183387517929077,21.475347876548767,0.097122685983777,205,0.1239560931465181,"ood:cond:pp:2777.83 outside [505.725,2097.14]",2777.834901774585,0.0970497031972408,1.1001427173614502,0.1146817295857315,4.048551676794887,4.0,4.5729900896549225,10.305091857910156,5.112758636474609,205,18.29196035861969,e48ae2faaac4eef6,14.621561098843811,14.097122685983775,0.5244384128600359,4.0,3.183387517929077,21.475347876548767,0.097122685983777,1.1001427173614502,0.1146817295857315,4.048551676794887,4.0,4.5729900896549225,10.305091857910156,5.112758636474609,18.29196035861969,14.097122685983775,14.621561098843811,4,18.29196035861969,0.1146817295857315,1.1001427173614502,12.329367697238922,14.097122685983777,14.621561098843813,0.1146817295857315
0.0,0.6268610889732608,14.260884284973145,2.027901333698782,0.1292967364049279,0.0,0.1292967364049279,0.2622010241984531,0.0326346866786479,2597.4284978651403,0.0992702984745502,0.5912811830639839,2.4279167937735715,6.0,6.0,3.0191979768375554,2.0539820231497288,20.169169884175066,4.096645712852478,411,0.1292967364049279,"ood:cond:pp:2597.43 outside [505.725,2097.14]",2597.4284978651403,0.0992702984745502,2.0976805686950684,0.1958404806839856,2.4279167937735715,6.0,3.0191979768375554,9.89761734008789,5.156261920928955,411,18.115187861025333,28ec4484e9848818,18.687926895916465,18.09664571285248,0.5912811830639839,6.0,2.0539820231497288,20.169169884175066,4.096645712852478,2.0976805686950684,0.1958404806839856,2.4279167937735715,6.0,3.0191979768375554,9.89761734008789,5.156261920928955,18.115187861025333,18.09664571285248,18.687926895916465,6,18.115187861025337,0.1958404806839856,2.0976805686950684,11.111575953662397,18.096645712852478,18.687926895916462,0.19584048068398568
0.0,0.7108737486365388,15.484848976135254,2.390118375845653,0.1343858971002255,0.0,0.1343858971002255,0.3211982021137521,0.0282753948122262,2994.45715199095,0.0980045001974105,0.9646932780742644,2.7282375593980155,3.0,3.0,3.69293083747228,9.924814701080322,21.00360721349716,0.6184106320142746,158,0.1343858971002255,"ood:cond:pp:2994.46 outside [505.725,2097.14]",2994.45715199095,0.0980045001974105,2.7918996810913086,0.2612270092592834,2.7282375593980155,3.0,3.69293083747228,14.100092887878418,3.0152649879455566,158,11.07879251241684,aafb21a10b1d3b22,15.58310391008854,14.618410632014276,0.9646932780742644,3.0,9.924814701080322,21.00360721349716,0.6184106320142746,2.7918996810913086,0.2612270092592834,2.7282375593980155,3.0,3.69293083747228,14.100092887878418,3.0152649879455566,11.07879251241684,14.618410632014276,15.58310391008854,3,11.078792512416836,0.2612270092592834,2.7918996810913086,15.46421095728874,14.618410632014275,15.58310391008854,0.2612270092592834
0.0,0.5802814881133384,14.61730670928955,1.740255664956116,0.1370907204214407,0.0,0.1370907204214407,0.2385729028263272,0.031363159418106,2919.6247759218213,0.0993908273367881,1.0537492632865906,4.763168126344681,4.0,4.0,5.816917389631271,3.338187456130981,26.605857014656067,0.6178150698542595,259,0.1370907204214407,"ood:cond:pp:2919.62 outside [505.725,2097.14]",2919.6247759218213,0.0993908273367881,4.441550731658936,0.181152523356256,4.763168126344681,4.0,5.816917389631271,12.59043788909912,6.503511428833008,259,23.267669558525085,eaf544aefd8a3e59,15.67156433314085,14.61781506985426,1.0537492632865906,4.0,3.338187456130981,26.605857014656067,0.6178150698542595,4.441550731658936,0.181152523356256,4.763168126344681,4.0,5.816917389631271,12.59043788909912,6.503511428833008,23.267669558525085,14.61781506985426,15.67156433314085,4,23.267669558525085,0.181152523356256,4.441550731658936,14.972022235393524,14.61781506985426,15.67156433314085,0.181152523356256
0.0,0.6102767027871024,13.930431365966797,2.07580504083415,0.1403806766331685,0.0,0.1403806766331685,0.29140291619084,0.0316617488861084,2775.583768604517,0.0989236561050415,0.6565223336219788,3.2754900008440018,4.0,4.0,3.932012334465981,7.277196884155273,23.0052462220192,1.307675838470459,305,0.1403806766331685,"ood:cond:pp:2775.58 outside [505.725,2097.14]",2775.583768604517,0.0989236561050415,1.7240862846374512,0.1669685336099392,3.2754900008440018,4.0,3.932012334465981,13.503477096557615,4.39612340927124,305,15.728049337863922,cb7b2de8a2589047,15.964198172092438,15.30767583847046,0.6565223336219788,4.0,7.277196884155273,23.0052462220192,1.307675838470459,1.7240862846374512,0.1669685336099392,3.2754900008440018,4.0,3.932012334465981,13.503477096557615,4.39612340927124,15.728049337863922,15.30767583847046,15.964198172092438,4,15.728049337863926,0.1669685336099392,1.7240862846374512,15.141221553087236,15.307675838470459,15.964198172092438,0.16696853360993924
0.0,0.595550155246784,13.988524436950684,1.916399175662236,0.141596299303079,0.0,0.141596299303079,0.2713550312612438,0.0322503484785556,2740.758621023476,0.0990206319577693,0.7431537210941315,3.0854763448238374,5.0,5.0,3.828630065917969,5.304405212402344,24.447555541992188,0.5222571641206741,338,0.141596299303079,"ood:cond:pp:2740.76 outside [505.725,2097.14]",2740.758621023476,0.0990206319577693,2.76138687133789,0.1941043423624553,3.0854763448238374,5.0,3.828630065917969,13.333242416381836,5.414500236511231,338,19.143150329589844,38949b855b0d4d23,15.265410885214806,14.522257164120674,0.7431537210941315,5.0,5.304405212402344,24.447555541992188,0.5222571641206741,2.76138687133789,0.1941043423624553,3.0854763448238374,5.0,3.828630065917969,13.333242416381836,5.414500236511231,19.143150329589844,14.522257164120674,15.265410885214806,5,19.143150329589844,0.1941043423624553,2.76138687133789,14.875980377197266,14.522257164120674,15.265410885214806,0.19410434236245536
0.0,0.6037783661388784,14.215009689331056,1.2065742523326808,0.1423866082540388,0.0,0.1423866082540388,0.1718000153963031,0.0333934500813484,2582.516580260336,0.0921271530594825,1.2863100171089172,10.083538234233856,2.0,2.0,11.369848251342772,5.417457818984985,28.15715432167053,0.1111651398241519,14,0.1423866082540388,"ood:cond:pp:2582.52 outside [505.725,2097.14]",2582.516580260336,0.0921271530594825,3.3091866970062256,0.1131334375511128,10.083538234233856,2.0,11.369848251342772,11.74553680419922,5.684924602508545,14,22.739696502685547,ff5cef9bb7c2d5e8,15.39747515693307,14.111165139824152,1.2863100171089172,2.0,5.417457818984985,28.15715432167053,0.1111651398241519,3.3091866970062256,0.1131334375511128,10.083538234233856,2.0,11.369848251342772,11.74553680419922,5.684924602508545,22.739696502685547,14.111165139824152,15.39747515693307,2,22.739696502685543,0.1131334375511128,3.3091866970062256,16.78730607032776,14.111165139824152,15.39747515693307,0.11313343755111287
0.0,0.6717442941452316,14.370914459228516,2.0015003311027546,0.1430527647826362,0.0,0.1430527647826362,0.2863201560776108,0.0312229637056589,2494.44915260756,0.098199103909254,1.496784269809723,5.2971459329128265,2.0,2.0,6.793930202722549,7.702132225036621,21.28999263048172,1.2369567155838013,34,0.1430527647826362,"ood:cond:pp:2494.45 outside [505.725,2097.14]",2494.44915260756,0.098199103909254,4.480725765228272,0.2203119880757551,5.2971459329128265,2.0,6.793930202722549,11.847489356994627,3.3969650268554688,34,13.5878604054451,304d68d65e672bdb,16.733740985393524,15.2369567155838,1.496784269809723,2.0,7.702132225036621,21.28999263048172,1.2369567155838013,4.480725765228272,0.2203119880757551,5.2971459329128265,2.0,6.793930202722549,11.847489356994627,3.3969650268554688,13.5878604054451,15.2369567155838,16.733740985393524,2,13.587860405445099,0.2203119880757551,4.480725765228272,14.49606242775917,15.236956715583801,16.733740985393524,0.2203119880757551
