count,n_trials,n_top10,top10_rate,median_objective,best_objective
2,103,16,0.1553398058252427,0.5741968362200235,0.1423866082540388
3,102,9,0.08823529411764706,0.7345460583122897,0.1179536181500383
4,102,16,0.1568627450980392,0.6397169213781195,0.1239560931465181
5,102,6,0.058823529411764705,0.845459079430344,0.141596299303079
6,103,5,0.04854368932038835,0.8437509249948754,0.1174223501836472
