,PC1,PC2,PC3
pp,0.013716095210635219,-0.004166116535437972,-0.027215560135327676
pp0,0.005628004300033345,-0.001314171513719625,0.021187545426154936
series.nncoil_effective,0.3168055497362322,-0.05040425569660343,0.16792771972483564
series.llcoil,0.19723022529429393,0.09622949729042417,0.28516597534735155
series.rrc,0.14198524320726982,-0.016053808177785102,-0.04934984626906753
series.rrce,-0.16113892386041873,0.03671377753920558,0.5809797471250905
series.zzc,0.0049723226934356435,0.5676366365566463,-0.07673630641168465
series.pitch_effective,-0.3756136078354629,0.06697892393205952,0.10218061900181084
series.min_gap_effective,-0.3979082156690905,0.05409923271360293,0.06478349001338732
span_r,-0.21296026817459796,0.038280812552320645,0.47715359899507415
fill_ratio,0.4218095358704708,0.013146862607878809,0.07814907923157505
area_proxy,0.3325796933084695,0.05736270896305117,0.32374033885810743
r_mid,-0.03506840329340026,0.01839191404094459,0.4217034643948131
z_min,0.0049723226934356565,0.567636636556646,-0.0767363064116846
z_max,0.04342171584176275,0.5738459166263751,-0.019280579605364057
radial_compactness,0.4218095358704708,0.01314686260787876,0.07814907923157519
