method,effective_sampler,loss,PP0,PA,gamma,PP0_abs_error,PA_abs_error,gamma_abs_error,condition_normalized_rmse,profile_sensor_rel_l2,profile_truth_rel_l2,fullfield_truth_rel_l2,wall_s,n_trials,invalid_trials
cmaes,cmaes,0.04384446466352651,1.4277971549079242,0.060365192684290477,0.06971725708226345,0.42779715490792425,0.03963480731570953,0.0002827429177365559,0.16459944562573248,0.04384446466352651,0.027959093081481992,0.06209421232501751,18.6278729000187,100,0
tpe,tpe,0.04273549534319884,1.191106081703731,0.08039654866838515,0.06239034904772217,0.1911060817037309,0.019603451331614855,0.0076096509522778355,0.10870082179989196,0.04273549534319884,0.018813777028375975,0.04188048328283507,18.941684500023257,100,0
random,random,0.047255228083155375,1.54223565996565,0.05389061446129427,0.04694846406312452,0.5422356599656499,0.046109385538705736,0.023051535936875485,0.2946592144248887,0.047255228083155375,0.036628346145087094,0.07658952394707279,18.687802800006466,100,0
