var,region,boundary_type,n_points,rmse,r2
ne,boundary_in,na,4998.0,1.147640818153413e+17,0.8797236490919608
ne,plasma_mid,na,12932.0,9.869614156364394e+16,0.9247244475579258
ne,plasma_deep,na,110070.0,2.149060165122695e+17,0.9549669737935409
ne,chamber_near,na,2072.0,3.1659103705404668e+16,0.0
ne,chamber_far,na,124681.0,5.475291024166082e+16,0.0
ne,all_plasma,na,128000.0,2.0301123334635738e+17,0.9557108756362002
ni,boundary_in,na,4998.0,1.1325456353465598e+17,0.8828302959920266
ni,plasma_mid,na,12932.0,9.873966412128115e+16,0.9246569065682388
ni,plasma_deep,na,110070.0,2.1273449396427587e+17,0.955872430454407
ni,chamber_near,na,2072.0,2.911341601498315e+16,0.0
ni,chamber_far,na,124681.0,5.228222152464127e+16,0.0
ni,all_plasma,na,128000.0,2.0100357964161578e+17,0.9565819462861718
Te,boundary_in,na,4998.0,0.38009393805359515,0.926085124082118
Te,plasma_mid,na,12932.0,0.33676906585643773,0.9412930775372718
Te,plasma_deep,na,110070.0,0.3311960349690594,0.9442027042373858
Te,chamber_near,na,2072.0,0.3007080875475477,0.0
Te,chamber_far,na,124681.0,0.457093758688364,0.0
Te,all_plasma,na,128000.0,0.33380381183069946,0.9432353016153925
phi,boundary_in,na,4998.0,1.01773930114464,0.9157320634304059
phi,plasma_mid,na,12932.0,0.7050520600480277,0.94706603479338
phi,plasma_deep,na,110070.0,0.64654616431641,0.9657897166228138
phi,chamber_near,na,2072.0,1.2265909003832547,0.0
phi,chamber_far,na,124681.0,1.2432384452670335,0.0
phi,all_plasma,na,128000.0,0.6709196502297468,0.971096594367723
