case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score
case_g008_op01,0.0,ne,128000.0,1.1829152644254987e+23,1.2299400448846922e+23,0.03975329583901501,2.241838506343556e+18,2.370041802660407e+18,0.05718667778882546,2.4161040391070126e+18,2.5656037307874017e+18,0.061876346904185434,11.40175425099138,2.968348928536313,6.054394107652137e+16,3.990346288438051e+16,3175379407038520.0,1.3098966603152363e+17,0.9983924299668264,0.05036812298464624
case_g053_op01,1.0,ne,128000.0,3.155287260509009e+22,3.6935825519657334e+22,0.1706010410506608,5.425025006063058e+17,6.442009146484063e+17,0.18746165027523634,5.811548120837363e+17,6.884486304916675e+17,0.18462174996577604,22.47220505424423,7.575103862894175,5.249643876979573e+16,4.5283287254776856e+16,1260554376811524.5,1.006963690943551e+17,0.9971664228881919,0.1642561364093266
case_g001_op01,2.0,ne,128000.0,2.5752338593739073e+21,4.0980037442485035e+21,0.5913132430018658,4.853426925537853e+16,8.051444606178424e+16,0.6589195077427007,5.0225308174573896e+16,8.583261750420307e+16,0.7089515350680328,107.37783756436893,1.0600941479176291,1.4191724743944314e+16,1.3299068381376022e+16,373465048144334.7,3.241778309078569e+16,0.9928184756677063,0.5896388757952997
case_g057_op06,3.0,ne,128000.0,6.207871655280191e+21,7.801310157668679e+21,0.2566803231238144,1.037144059778433e+17,1.3674703896507842e+17,0.3184960919921958,1.1037210539263525e+17,1.481182073750919e+17,0.34198950765847513,21.540659228538015,6.107368706179542,1.5161100772069944e+16,1.4030425113025472e+16,440750939008670.5,3.388510743935531e+16,0.9967532437086508,0.27718592458882
case_g058_op02,4.0,ne,128000.0,5.151383970308241e+22,5.633611706746897e+22,0.09361129731702011,9.6586521288974e+17,1.1127676766859034e+18,0.15209416576527354,1.0535576265668375e+18,1.2282369062430205e+18,0.16579945441180993,8.602325267042627,1.4183638778323824,5.568787131520022e+16,4.235944395295185e+16,1840648487508495.8,1.4953629397703837e+17,0.9981244221624995,0.1279834987625131
case_g045_op02,5.0,ne,128000.0,2.2948480535521765e+23,1.9056957523459524e+23,0.16957650011026149,4.524724063238619e+18,3.600678039812938e+18,0.2042215194807449,4.902918347195951e+18,3.894987013772007e+18,0.20557783386304904,33.06055050963308,9.732728572994892,4.1125036732251526e+17,3.615873517966582e+17,1.2336717184652624e+16,9.755617839743318e+17,0.9908018366178907,0.18270860587979043
case_g050_op03,6.0,ne,128000.0,1.4402042397092153e+23,1.4023213598568507e+23,0.026303824699206165,2.6170284118865085e+18,2.564347085204121e+18,0.020130208156361455,2.832349160449696e+18,2.761032799426854e+18,0.025179226494631356,18.027756377319946,4.753199910997818,5.52181755073936e+16,3.3238571036305844e+16,3271259622190925.0,7.023199940505236e+16,0.9982681681034463,0.029330702998142427
case_g028_op04,7.0,ne,128000.0,1.3872285684441027e+22,1.6604604203829303e+22,0.19696238828564563,2.742525992194014e+17,3.376466257460067e+17,0.23115196248656242,2.88408046235644e+17,3.524317228705828e+17,0.2219899114140115,44.91102314577124,4.06566152565177,2.7916083112233956e+16,2.425022054708275e+16,740963865835792.6,6.2879767289738024e+16,0.9987824409848233,0.19632671947391622
case_g022_op02,8.0,ne,128000.0,2.363575887654008e+23,2.1685890067030853e+23,0.08249656038946092,4.519341912588969e+18,3.8453205589680973e+18,0.1491414826887371,4.955279861679946e+18,4.126052947515586e+18,0.16734209516134857,7.615773105863909,0.3311310189902733,2.1309219842466323e+17,1.938551723915165e+17,1.004716164696441e+16,7.030237447399479e+17,0.9955494492936655,0.12804188683344198
case_g024_op04,9.0,ne,128000.0,2.3955880988597373e+21,3.3085006456061145e+21,0.3810807655877525,4.091290390521446e+16,6.020015290958479e+16,0.47142214713124075,4.282954083494526e+16,6.555240560469212e+16,0.5305418719597136,66.0,4.6202153109777235,8320934583662123.0,7952791374658779.0,239327313736924.94,1.8800899489856544e+16,0.9909532775547871,0.4076628240940816
case_g012_op02,10.0,ne,128000.0,9.99880485322929e+22,1.0094645440123002e+23,0.009585204261963291,1.7078796783775122e+18,1.7517183614641503e+18,0.025668484520106758,1.8113479996514657e+18,1.851447426485846e+18,0.022137892244944706,5.0,4.211611987900289,3.315077674081821e+16,1.1531565542554822e+16,2356044792184754.0,5.302065266928404e+16,0.9976479955273507,0.02419101369040201
case_g013_op01,11.0,ne,128000.0,3.455003211061009e+22,3.9211340342356945e+22,0.13491472936476367,6.328721137714856e+17,7.58909499312649e+17,0.1991514285406994,6.890109248612808e+17,8.435354678311727e+17,0.2242700912195297,8.54400374531753,0.8530269977828143,5.04449654414771e+16,4.032627584498559e+16,1484090811010233.8,1.2941221267363678e+17,0.9970027375606643,0.1735407407480961
case_g017_op04,12.0,ne,128000.0,5.768030010958468e+21,7.391699025096109e+21,0.28149455031490667,9.945171020711197e+16,1.3605347218423805e+17,0.36803552096692477,1.0545316241319395e+17,1.4391327144124874e+17,0.36471271366294067,6.324555320336759,6.964463343035189,1.5853665962914054e+16,1.4460240766381522e+16,438961973153640.94,3.640763747258827e+16,0.9947035710456417,0.298029151878848
case_g025_op03,13.0,ne,128000.0,2.7376880542281875e+23,2.2175367402017628e+23,0.18999656050041333,5.173318811894205e+18,3.8683118693729167e+18,0.25225720470211305,5.625603805086723e+18,4.148273497520556e+18,0.26260830992583434,10.295630140987,9.546873122700969,5.149762043653699e+17,5.000319371817406e+17,1.7108514279623618e+16,1.3365007250500073e+18,0.9890785806715341,0.21563790190507004
case_g046_op04,14.0,ne,128000.0,4.839927878673685e+22,5.62169276660079e+22,0.16152407794583432,9.807045482357193e+17,1.1796896580689198e+18,0.20290016008508716,1.0608113013129792e+18,1.2860617304530798e+18,0.21233788597586148,7.211102550927978,4.08695502829922,8.504937089708338e+16,6.756550807385263e+16,2174763115786193.8,2.018077647297916e+17,0.9989452189807695,0.1664089415693478
case_g033_op01,15.0,ne,128000.0,1.1277942112366033e+22,1.596308534703514e+22,0.41542536643559674,2.3276838456267898e+17,3.4339033361458125e+17,0.47524473420106766,2.4231339824783555e+17,3.547400523566232e+17,0.4639720911915853,116.01724009818541,4.031288331683897,4.702246830998811e+16,4.152732682715168e+16,1084228186371854.0,1.1011568693971325e+17,0.9976627425445801,0.4159957316966308
case_g029_op01,16.0,ne,128000.0,1.1332359348647545e+22,1.4843083967764818e+22,0.3097964431860572,1.982421612363776e+17,2.6701206861937373e+17,0.34689849502294867,2.1110356123513258e+17,2.8254602266958365e+17,0.3384237623299809,9.219544457292887,9.23487270578399,3.4268541192085156e+16,3.0246093216042304e+16,772008012717494.6,6.8218482617035064e+16,0.9960403441170989,0.28786621272373364
case_g010_op01,17.0,ne,128000.0,1.935893953673428e+22,2.551475060775124e+22,0.31798286571101103,3.482366389904212e+17,4.6593510157225805e+17,0.33798414469843985,3.7157163955021414e+17,4.964019375895373e+17,0.3359521684443669,7.280109889280518,7.146962484064725,5.993489398662147e+16,5.221019802657534e+16,1306427430001120.5,1.1742959418857974e+17,0.9978752026830645,0.2819898846264932
case_g024_op03,18.0,ne,128000.0,5.5984898683784965e+22,6.046790347212107e+22,0.0800752505359902,1.0072887018628579e+18,1.1419669053325704e+18,0.13370367722842674,1.0894021956022043e+18,1.2520108050440256e+18,0.1492640735425853,13.0,1.6506771213666316,5.054873458222954e+16,3.9121647154158536e+16,1861863225387373.5,1.377473473110823e+17,0.9977147827931911,0.11480822816205721
case_g026_op04,19.0,ne,128000.0,5.356112944541966e+22,6.060142648747435e+22,0.13144414830215545,1.0518883397672106e+18,1.227601591931817e+18,0.16704553660466734,1.132415761870089e+18,1.3308273155858286e+18,0.17521087254038192,8.0,4.4952545639353545,7.68594381102747e+16,6.081552159040449e+16,1998524493934025.5,1.779558226338883e+17,0.9987140988893451,0.1379332475969061
case_g023_op04,20.0,ne,128000.0,4.496025730154957e+22,5.3034670100152565e+22,0.17959000422189986,8.768863685465604e+17,1.0823552847048603e+18,0.2343164673649389,9.491579330448116e+17,1.188934126435377e+18,0.2526199118637561,7.211102550927978,4.140121224129165,8.629637749100037e+16,6.954090986998968e+16,2182697356859529.8,2.0916969949815882e+17,0.9986118853031822,0.19401200940711807
case_g009_op04,21.0,ne,128000.0,2.445902290963307e+23,2.0233723177112927e+23,0.1727501441137303,4.6704626390012e+18,3.682547950495046e+18,0.21152394631239865,5.059954418677827e+18,3.9646068420970854e+18,0.21647380311124562,15.297058540778355,4.551151584957481,4.025417654180903e+17,4.024908809901558e+17,1.3756963333912112e+16,1.0133907232504325e+18,0.9936709238376497,0.18078348385970391
case_g012_op05,22.0,ne,128000.0,2.1737188822052617e+22,2.5464364531965743e+22,0.17146539694828733,3.7081218968904006e+17,4.27876599216472e+17,0.15389032808032999,3.947237920135027e+17,4.6263609046295635e+17,0.1720501774241429,32.2490309931942,2.8853862168017264,3.4461287096660624e+16,3.176379427575137e+16,1022641005301345.1,5.8336380464614936e+16,0.9937957285283506,0.14836528412606723
case_g032_op01,23.0,ne,128000.0,3.978020781864762e+22,4.467072237371352e+22,0.12293838627895232,7.257457718976315e+17,8.679818087022721e+17,0.19598603576116105,7.884533581967314e+17,9.584549216457536e+17,0.21561397599704835,14.212670403551895,0.7392686947080691,5.4090953477186424e+16,4.26810883728253e+16,1666906156936765.2,1.4435077472521558e+17,0.9966657041916203,0.16691076540725847
