case_id,case_index,var,region,boundary_type,n_points,rmse,r2
case_g001_op01,2.0,Te,plasma_mid,na,12932.0,0.512691733955753,0.13748727405401562
case_g001_op01,2.0,Te,plasma_deep,na,110070.0,0.6710935206520634,-1.5243193963458812
case_g001_op01,2.0,Te,chamber_near,na,2072.0,0.1895567437737262,0.0
case_g001_op01,2.0,Te,chamber_far,na,124681.0,0.18311965308684366,0.0
case_g001_op01,2.0,Te,all_plasma,na,128000.0,0.6499958303193517,-1.1195535093397142
case_g001_op01,2.0,phi,boundary_in,na,4998.0,1.055583270741582,0.9567992772375511
case_g001_op01,2.0,phi,plasma_mid,na,12932.0,0.847571896869097,0.9669256912898363
case_g001_op01,2.0,phi,plasma_deep,na,110070.0,1.289725323289627,0.9084851870872303
case_g001_op01,2.0,phi,chamber_near,na,2072.0,0.32557011470220365,0.0
case_g001_op01,2.0,phi,chamber_far,na,124681.0,0.7103813935189904,0.0
case_g001_op01,2.0,phi,all_plasma,na,128000.0,1.2435728831025281,0.9430287107941762
case_g057_op06,3.0,ne,boundary_in,na,4998.0,1907833850362334.8,0.9900284901893736
case_g057_op06,3.0,ne,plasma_mid,na,12932.0,4442069737174257.5,0.942274306631237
case_g057_op06,3.0,ne,plasma_deep,na,110070.0,1.8447616158373136e+16,0.6566242617348113
case_g057_op06,3.0,ne,chamber_near,na,2072.0,562154928762524.9,0.0
case_g057_op06,3.0,ne,chamber_far,na,124681.0,507987776346834.6,0.0
case_g057_op06,3.0,ne,all_plasma,na,128000.0,1.7169146453258234e+16,0.7354464974040891
case_g057_op06,3.0,ni,boundary_in,na,4998.0,1936587622172495.8,0.9896893432912716
case_g057_op06,3.0,ni,plasma_mid,na,12932.0,4178091963579118.5,0.9489080755713672
case_g057_op06,3.0,ni,plasma_deep,na,110070.0,1.4430042577315892e+16,0.7898939533352208
case_g057_op06,3.0,ni,chamber_near,na,2072.0,568193834747557.1,0.0
case_g057_op06,3.0,ni,chamber_far,na,124681.0,603157489270967.8,0.0
case_g057_op06,3.0,ni,all_plasma,na,128000.0,1.3452445524557626e+16,0.8375137690986751
case_g057_op06,3.0,Te,boundary_in,na,4998.0,0.3483194893289522,0.2565113461916859
case_g057_op06,3.0,Te,plasma_mid,na,12932.0,0.2511681411775508,0.6050033748862096
