case_id,case_index,var,region,boundary_type,n_points,rmse,r2
case_g001_op01,2.0,Te,plasma_mid,na,12932.0,0.7158907950292501,-0.6816919188746107
case_g001_op01,2.0,Te,plasma_deep,na,110070.0,0.70276949877391,-1.7682417942930657
case_g001_op01,2.0,Te,chamber_near,na,2072.0,0.28524546016499497,0.0
case_g001_op01,2.0,Te,chamber_far,na,124681.0,0.10330872877538216,0.0
case_g001_op01,2.0,Te,all_plasma,na,128000.0,0.7156753576592831,-1.569539931357121
case_g001_op01,2.0,phi,boundary_in,na,4998.0,0.6061628991950238,0.9857542696975213
case_g001_op01,2.0,phi,plasma_mid,na,12932.0,0.8809205292639143,0.964271799636588
case_g001_op01,2.0,phi,plasma_deep,na,110070.0,1.35289725324238,0.8993006720820431
case_g001_op01,2.0,phi,chamber_near,na,2072.0,0.30875154119236603,0.0
case_g001_op01,2.0,phi,chamber_far,na,124681.0,0.2889801637101575,0.0
case_g001_op01,2.0,phi,all_plasma,na,128000.0,1.2910039288269688,0.9385999551634331
case_g057_op06,3.0,ne,boundary_in,na,4998.0,5476968942461211.0,0.9178210899055719
case_g057_op06,3.0,ne,plasma_mid,na,12932.0,5382795788105108.0,0.9152354577185634
case_g057_op06,3.0,ne,plasma_deep,na,110070.0,1.216171475509522e+16,0.8507622388659402
case_g057_op06,3.0,ne,chamber_near,na,2072.0,2305519307785910.0,0.0
case_g057_op06,3.0,ne,chamber_far,na,124681.0,2469526595070044.0,0.0
case_g057_op06,3.0,ne,all_plasma,na,128000.0,1.145806934830203e+16,0.8821745795191028
case_g057_op06,3.0,ni,boundary_in,na,4998.0,4025021741303081.0,0.9554601771796187
case_g057_op06,3.0,ni,plasma_mid,na,12932.0,5777777034849524.0,0.9022947662886879
case_g057_op06,3.0,ni,plasma_deep,na,110070.0,1.009745858429566e+16,0.8971208216134949
case_g057_op06,3.0,ni,chamber_near,na,2072.0,2089578577398565.5,0.0
case_g057_op06,3.0,ni,chamber_far,na,124681.0,1779069178790147.2,0.0
case_g057_op06,3.0,ni,all_plasma,na,128000.0,9575060200154434.0,0.9176815646855432
case_g057_op06,3.0,Te,boundary_in,na,4998.0,0.5595646913790822,-0.9187544522837481
case_g057_op06,3.0,Te,plasma_mid,na,12932.0,0.29631557109040146,0.45023988379163915
case_g057_op06,3.0,Te,plasma_deep,na,110070.0,0.29638658013252894,-0.1972723348504668
case_g057_op06,3.0,Te,chamber_near,na,2072.0,0.2522327552265394,0.0
case_g057_op06,3.0,Te,chamber_far,na,124681.0,0.11114233713047404,0.0
case_g057_op06,3.0,Te,all_plasma,na,128000.0,0.3108645204890018,-0.10948795074067896
case_g057_op06,3.0,phi,boundary_in,na,4998.0,0.6828042978270935,0.9683969315426159
case_g057_op06,3.0,phi,plasma_mid,na,12932.0,1.012071237628387,0.9047254012987168
case_g057_op06,3.0,phi,plasma_deep,na,110070.0,1.102823135732664,0.8487801049063707
case_g057_op06,3.0,phi,chamber_near,na,2072.0,0.2752252577289821,0.0
case_g057_op06,3.0,phi,chamber_far,na,124681.0,0.2689387125296554,0.0
case_g057_op06,3.0,phi,all_plasma,na,128000.0,1.0805289570332048,0.9203644060604596
case_g058_op02,4.0,ne,boundary_in,na,4998.0,1.042452814015769e+16,0.993379357425952
case_g058_op02,4.0,ne,plasma_mid,na,12932.0,1.7214548983821212e+16,0.9812101010423998
case_g058_op02,4.0,ne,plasma_deep,na,110070.0,7.267142981843152e+16,0.9391811100127987
case_g058_op02,4.0,ne,chamber_near,na,2072.0,4242274832240296.0,0.0
case_g058_op02,4.0,ne,chamber_far,na,124681.0,3300099494538706.0,0.0
case_g058_op02,4.0,ne,all_plasma,na,128000.0,6.764279643124603e+16,0.9508878756077846
case_g058_op02,4.0,ni,boundary_in,na,4998.0,1.1876455592319362e+16,0.9913931183171347
case_g058_op02,4.0,ni,plasma_mid,na,12932.0,1.4222512951013852e+16,0.9871733588141022
case_g058_op02,4.0,ni,plasma_deep,na,110070.0,7.052268172728723e+16,0.9427244162067444
case_g058_op02,4.0,ni,chamber_near,na,2072.0,3850380775255705.0,0.0
case_g058_op02,4.0,ni,chamber_far,na,124681.0,2491756172817575.5,0.0
case_g058_op02,4.0,ni,all_plasma,na,128000.0,6.559513271596586e+16,0.9538115169925718
case_g058_op02,4.0,Te,boundary_in,na,4998.0,0.2719287453913844,0.2289066944260243
case_g058_op02,4.0,Te,plasma_mid,na,12932.0,0.24010001137368114,0.3621180997349642
case_g058_op02,4.0,Te,plasma_deep,na,110070.0,0.13313622093622163,0.45278364563486695
case_g058_op02,4.0,Te,chamber_near,na,2072.0,0.17057430099383886,0.0
case_g058_op02,4.0,Te,chamber_far,na,124681.0,0.10861607981234671,0.0
case_g058_op02,4.0,Te,all_plasma,na,128000.0,0.1547705229681254,0.4207529103247286
case_g058_op02,4.0,phi,boundary_in,na,4998.0,0.35907799176646304,0.9809593790983375
case_g058_op02,4.0,phi,plasma_mid,na,12932.0,0.38585037092766744,0.9645082706033241
case_g058_op02,4.0,phi,plasma_deep,na,110070.0,0.3248367999300123,0.965774619557465
case_g058_op02,4.0,phi,chamber_near,na,2072.0,0.2104288652880541,0.0
case_g058_op02,4.0,phi,chamber_far,na,124681.0,0.27804585290118555,0.0
case_g058_op02,4.0,phi,all_plasma,na,128000.0,0.3328877008580022,0.9805629454377337
case_g045_op02,5.0,ne,boundary_in,na,4998.0,3.3479830136804294e+17,0.8293592009002088
case_g045_op02,5.0,ne,plasma_mid,na,12932.0,3.883517676208653e+17,0.7655959680679726
case_g045_op02,5.0,ne,plasma_deep,na,110070.0,8.795748301955319e+17,0.6578957127404268
case_g045_op02,5.0,ne,chamber_near,na,2072.0,7912432652113408.0,0.0
case_g045_op02,5.0,ne,chamber_far,na,124681.0,3496585624747181.5,0.0
case_g045_op02,5.0,ne,all_plasma,na,128000.0,8.275833353680753e+17,0.7047046514143364
case_g045_op02,5.0,ni,boundary_in,na,4998.0,3.268909469977167e+17,0.8372568227212475
case_g045_op02,5.0,ni,plasma_mid,na,12932.0,3.889059284414591e+17,0.7649247778654825
