method,effective_sampler,loss,PP0,PA,gamma,PP0_abs_error,PA_abs_error,gamma_abs_error,condition_normalized_rmse,profile_sensor_rel_l2,profile_truth_rel_l2,fullfield_truth_rel_l2,wall_s,n_trials,invalid_trials
cmaes,cmaes,0.053633180751992575,2.600483078767576,0.0661550045815124,0.06548668657348661,0.3995169212324239,0.016155004581512394,0.0345133134265134,0.34276103457537,0.053633180751992575,0.010482860004690314,0.03139007278293751,19.107554899994284,100,0
tpe,tpe,0.05413004176383241,2.7688836049882894,0.05787522073195712,0.05571580682829601,0.23111639501171055,0.007875220731957115,0.044284193171704,0.4285020364304914,0.05413004176383241,0.01697937917635247,0.029420757493424612,18.91084980001324,100,0
random,random,0.05512018331455809,2.220454022386663,0.0876206356378185,0.056017023432663834,0.7795459776133371,0.03762063563781849,0.04398297656733617,0.46124658669546625,0.05512018331455809,0.01703384866440108,0.04990774783044081,19.200516599987168,100,0
