case,coil_index,mask_r_center_cm,mask_z_center_cm,mask_width_cm,mask_height_cm,mask_active_pixels,layout_r_center_cm,layout_z_center_cm,layout_width_cm,layout_height_cm
anchor,1,8.449999809265137,17.799999237060547,1.0000014305114746,1.0000038146972656,400,8.4481,17.7927,0.9982,0.9982
anchor,2,12.799999237060547,17.799999237060547,1.0000014305114746,1.0000038146972656,400,12.77616667,17.7927,0.9982,0.9982
anchor,3,17.100000381469727,17.799999237060547,1.0000014305114746,1.0000038146972656,400,17.10423333,17.7927,0.9982,0.9982
spacing_left,1,8.449999809265137,17.799999237060547,1.0000014305114746,1.0000038146972656,400,8.4481,17.7927,0.9982,0.9982
spacing_left,2,10.299999237060547,17.799999237060547,1.0000014305114746,1.0000038146972656,400,10.27616667,17.7927,0.9982,0.9982
spacing_left,3,17.100000381469727,17.799999237060547,1.0000014305114746,1.0000038146972656,400,17.10423333,17.7927,0.9982,0.9982
spacing_right,1,8.449999809265137,17.799999237060547,1.0000014305114746,1.0000038146972656,400,8.4481,17.7927,0.9982,0.9982
spacing_right,2,15.299999237060547,17.799999237060547,1.0000014305114746,1.0000038146972656,400,15.27616667,17.7927,0.9982,0.9982
spacing_right,3,17.100000381469727,17.799999237060547,1.0000014305114746,1.0000038146972656,400,17.10423333,17.7927,0.9982,0.9982
size_gradient,1,8.450000762939453,17.799999237060547,0.6000008583068848,0.6000022888183594,144,8.4481,17.7927,0.6,0.6
size_gradient,2,12.799999237060547,17.799999237060547,1.0000014305114746,1.0000038146972656,400,12.77616667,17.7927,1.0,1.0
size_gradient,3,17.099998474121094,17.799999237060547,1.4000020027160645,1.4000053405761719,784,17.10423333,17.7927,1.4,1.4
height_gradient_mild,1,8.449999809265137,17.549999237060547,1.0000014305114746,1.0000038146972656,400,8.4481,17.5427,0.9982,0.9982
height_gradient_mild,2,12.799999237060547,17.799999237060547,1.0000014305114746,1.0000038146972656,400,12.77616667,17.7927,0.9982,0.9982
height_gradient_mild,3,17.100000381469727,18.049999237060547,1.0000014305114746,1.0000038146972656,400,17.10423333,18.0427,0.9982,0.9982
