r_m,truth_ne,sensor_ne,point_noise_draw,calibration_noise_draw
0.0,2105439941230213.0,2199609540737090.5,0.044726803962811756,0.0
0.005,2137119989858248.5,2174616623662923.2,0.017545404087096494,0.0
0.01,2204819973558423.5,2338988401032655.0,0.060852327665416234,0.0
0.015,2298019972593266.0,2455804530465443.5,0.06866109074505593,0.0
0.02,2393700047924382.5,2257365515506811.0,-0.056955562387939675,0.0
0.025,2462539945396656.5,2452251797965753.5,-0.004177860119643963,0.0
0.03,2471559966899520.0,2602154748294564.0,0.052839009833481915,0.0
0.035,2398819926977785.0,2399982837498597.5,0.00048478441742720227,0.0
0.04,2251160032699284.0,2282878222695220.5,0.014089709098959369,0.0
0.045,2064120116794157.0,1873102020971859.8,-0.09254214145200657,0.0
0.05,1868339983811255.8,1793312950271762.0,-0.040157056097704924,0.0
0.055,1691599972665311.0,1693751029832521.8,0.0012716110203180014,0.0
0.06,1538999912786190.2,1599091253487188.5,0.03904570767142493,0.0
0.065,1394579893753325.8,1372211984771128.2,-0.016039173576493544,0.0
0.07,1239459974455834.2,1232858911884825.2,-0.005325756948228371,0.0
0.075,1070580124644408.5,1060811353103358.6,-0.009124745842161577,0.0
0.08,883199937769527.8,846881264610168.4,-0.04112168899273258,0.0
0.085,680592029374889.9,699039120492895.6,0.027104477163726104,0.0
0.09,465042123840793.4,434669449760190.94,-0.06531166215600824,0.0
