method,effective_sampler,loss,PP0,PA,gamma,PP0_abs_error,PA_abs_error,gamma_abs_error,condition_normalized_rmse,profile_sensor_rel_l2,profile_truth_rel_l2,fullfield_truth_rel_l2,wall_s,n_trials,invalid_trials
cmaes,cmaes,0.04426231575676992,1.0272021473225288,0.09881576753799062,0.07591096407473667,0.02720214732252879,0.0011842324620093825,0.005910964074736666,0.05719554795299242,0.04426231575676992,0.01271878449077221,0.03265267214124958,18.866516499983845,100,0
tpe,tpe,0.04208608574352204,1.2200252095361817,0.07614588940645978,0.09887718686506865,0.22002520953618165,0.02385411059354023,0.02887718686506864,0.29436488315250386,0.04208608574352204,0.01660508649006983,0.04135708384152741,19.21194400000968,100,0
random,random,0.05316142867234856,1.526232511653637,0.056087644668423774,0.08196780602062363,0.526232511653637,0.04391235533157623,0.011967806020623625,0.21817057562541398,0.05316142867234856,0.046709992799140704,0.0819586124612377,19.253527699998813,100,0
