profile,model,run_root,status,seconds,primary_metric,test_r2_plasma_mean_extrap,test_r2_ne_plasma,test_r2_ni_plasma,test_r2_Te_plasma,test_r2_phi_plasma,test_rmse_ne_plasma,test_rmse_ni_plasma,test_rmse_Te_plasma,test_rmse_phi_plasma,test_neg_ratio_ne_plasma,test_neg_ratio_ni_plasma,geometry_provider_mode,role
icp_part_sdf_lite_v1,ffno,runs/icp_stage4_conference_part_sdf_lite_v1_e80_baseline,passed,7162.2,test_r2_plasma_mean_extrap,0.9658373388390478,0.9448066235906012,0.9357640443653971,0.9889792299911714,0.9937994574090213,2.2662875027954928e+17,2.4448809167711952e+17,0.14708151480777465,0.31074979474745174,0.0,0.0,parametric_parts,current runnable optimization candidate
icp_struct_spatial_v1,ffno,runs/icp_stage4_conference_struct_spatial_v1_e80_baseline,passed,5952.8,test_r2_plasma_mean_extrap,0.9878181141859158,0.9872080234256585,0.976238122209532,0.994449911312437,0.9933763997960358,1.0910391892819272e+17,1.4869932426053843e+17,0.10437634525453215,0.3211759803264835,0.0,0.0,fixed,current best field-prediction baseline
icp_part_sdf_lite_v1,unet,runs/icp_stage4_part_sdf_lite_v1_e80_primary,reference_existing,not_rerun,test_r2_plasma_mean_extrap,0.9009810734646104,0.8828511923477713,0.8822186102715908,0.9012886421775673,0.9375658490615123,3.301721661608128e+17,3.3106018480899744e+17,0.44018545426260985,0.9860685510815069,0.005770833231508732,0.0076269530691206455,parametric_parts,cross-model reference only
