model,config,run_dir,status,epochs,seconds,structure_profile,targets,primary_metric_value,r2_ne_plasma,r2_ni_plasma,r2_Te_plasma,r2_phi_plasma,r2_Br_plasma,r2_Bz_plasma,r2_Jelr_plasma,r2_Jelz_plasma,finite_all_targets,decision
ffno,configs/experimental/icp_stage4/generated_multifield_8field_part_sdf_lite_v1_e80/full/benchmark_icp_stage4_core4_full_ffno.yaml,runs/icp_stage4_multifield_8field_part_sdf_lite_v1_e80/full/ffno,passed,80,9334.4,icp_part_sdf_lite_v1,"ne,ni,Te,phi,Br,Bz,Jelr,Jelz",0.9604430878305055,0.9635706080363902,0.9827239426766513,0.974516479624067,0.986421323474728,0.9777763356483249,0.9234719902080926,0.9457213885449,0.9293426344308905,true,primary multi-field surrogate candidate
unet,configs/experimental/icp_stage4/generated_multifield_8field_part_sdf_lite_v1_e80/full/benchmark_icp_stage4_core4_full_unet.yaml,runs/icp_stage4_multifield_8field_part_sdf_lite_v1_e80/full/unet,passed,80,9882.9,icp_part_sdf_lite_v1,"ne,ni,Te,phi,Br,Bz,Jelr,Jelz",0.829608775555801,0.4875972844287342,0.6831558170421793,0.968501810007916,0.9617765965715626,0.9286577366638258,0.8848608712862936,0.8606248711721012,0.8616952172737955,true,cross-check model; weaker density than FFNO
